"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.90617410306715e-17,-2.09338206543886,0.629,1,6.8639291339096e-13,"Car2",6.8639291339096e-13,"Down"
3.94111511906473e-17,-1.69595790328822,0.829,1,6.92532748722055e-13,"Eef1a1",6.92532748722055e-13,"Down"
2.60245361737727e-16,-1.7852717909825,0.8,0.995,4.57303149645534e-12,"Pabpc1",4.57303149645534e-12,"Down"
6.30478809950805e-16,1.55008246014427,1,0.931,1.10787736484555e-11,"Tpt1",1.10787736484555e-11,"Up"
8.84318586819176e-15,2.47308782259247,0.971,0.986,1.55392462075866e-10,"Zc3h7a",1.55392462075866e-10,"Up"
1.09303965538722e-13,-3.68061473978484,0.086,0.802,1.92068928244642e-09,"Gypa",1.92068928244642e-09,"Down"
1.19812585540395e-13,-2.27462238010901,0.4,0.917,2.10534675311582e-09,"H3f3a",2.10534675311582e-09,"Down"
1.92159488746433e-13,2.68713015053403,0.857,0.373,3.37662653625232e-09,"Hbb-bt",3.37662653625232e-09,"Up"
2.48603425543263e-13,2.58164214242955,0.914,0.442,4.36845939364622e-09,"Ftl1-ps1",4.36845939364622e-09,"Up"
2.71322681060835e-13,-2.62939935457038,0.229,0.88,4.76768215160099e-09,"Slc39a8",4.76768215160099e-09,"Down"
3.230207165972e-13,2.87327631500331,0.657,0.147,5.67612003204599e-09,"Grik3",5.67612003204599e-09,"Up"
3.27487474236922e-13,-1.58274467547134,0.686,0.977,5.7546098972912e-09,"Slc4a1",5.7546098972912e-09,"Down"
5.96130356441798e-13,-1.71418219852192,0.6,0.977,1.04752026233953e-08,"Ucp2",1.04752026233953e-08,"Down"
5.60162313559769e-12,2.68637562083896,0.971,0.949,9.84317217387227e-08,"Peak1",9.84317217387227e-08,"Up"
7.16176154228234e-12,1.80524181826939,1,0.889,1.25846473820985e-07,"Hbb-bs",1.25846473820985e-07,"Up"
1.36058391155278e-11,-2.49701480144545,0.343,0.843,2.39081804938055e-07,"Hemgn",2.39081804938055e-07,"Down"
1.41561738102445e-11,-1.61818812425481,0.571,0.991,2.48752286193616e-07,"Nudt4",2.48752286193616e-07,"Down"
3.41934932159699e-11,-1.76004920727925,0.429,0.935,6.00848062791022e-07,"Spta1",6.00848062791022e-07,"Down"
2.23958030658604e-10,-1.24252875039915,0.829,0.982,3.93539051473299e-06,"Slc25a37",3.93539051473299e-06,"Down"
3.13278173871559e-10,-2.43382097495826,0.171,0.76,5.50492407127104e-06,"Alad",5.50492407127104e-06,"Down"
4.37687758207497e-10,3.23952938332944,0.743,0.373,7.69104928722213e-06,"Itga9",7.69104928722213e-06,"Up"
9.74100111877165e-10,-1.84577908130513,0.429,0.885,1.71168871659055e-05,"Sptb",1.71168871659055e-05,"Down"
1.41573083788367e-09,-1.2678244898491,0.857,0.991,2.48772222832919e-05,"Hbb-bh1",2.48772222832919e-05,"Down"
1.41683520093754e-09,-2.2031150384627,0.686,0.862,2.48966281508745e-05,"Mki67",2.48966281508745e-05,"Down"
1.86935361916041e-09,1.28536759238069,0.971,0.968,3.28482817958867e-05,"Cntnap5b",3.28482817958867e-05,"Up"
1.92113650378518e-09,-2.23191792915477,0.171,0.737,3.37582106445132e-05,"Ank1",3.37582106445132e-05,"Down"
4.0176870122691e-09,-1.51904110777545,0.429,0.862,7.05987961795926e-05,"Cpox",7.05987961795926e-05,"Down"
5.99685591810308e-09,-2.78727067601427,0.114,0.659,0.000105376752192907,"Serinc3",0.000105376752192907,"Down"
1.57356101728332e-08,-1.57488969214177,0.314,0.848,0.000276506141957025,"Tspan33",0.000276506141957025,"Down"
2.14815563060473e-08,-1.73530254494356,0.314,0.793,0.000377473907409863,"Ncoa4",0.000377473907409863,"Down"
2.35816619773724e-08,-2.3450117080004,0.2,0.696,0.000414376964266388,"Tfrc",0.000414376964266388,"Down"
3.31031588287693e-08,-1.10316177975547,0.629,0.94,0.000581688706939134,"Fech",0.000581688706939134,"Down"
3.85509545217998e-08,-1.78919555293876,0.286,0.779,0.000677417372857067,"Eif4g2",0.000677417372857067,"Down"
5.00953903909177e-08,-1.94599963264764,0.171,0.705,0.000880276199949205,"Tal1",0.000880276199949205,"Down"
6.50540299662274e-08,-2.09262454636612,0.171,0.696,0.00114312941456655,"Wdr26",0.00114312941456655,"Down"
6.53027161743667e-08,-1.88161118716016,0.229,0.742,0.00114749932861597,"Serbp1",0.00114749932861597,"Down"
