"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
8.59983015427346e-16,2.00268798549211,1,1,2.51975023520212e-13,"Bhlhe41",2.51975023520212e-13,"Up"
1.36754409065606e-15,1.53041388355657,1,1,4.00690418562226e-13,"Mafb",4.00690418562226e-13,"Up"
1.88835803130356e-15,1.23751621180177,1,1,5.53288903171942e-13,"Irf7",5.53288903171942e-13,"Up"
5.9029251921027e-15,1.83466909353524,1,1,1.72955708128609e-12,"Cebpa",1.72955708128609e-12,"Up"
1.65516215238002e-14,1.53458146132999,1,1,4.84962510647346e-12,"Runx3",4.84962510647346e-12,"Up"
3.8725258863305e-14,-1.66462118754949,0.6,0.976,1.13465008469484e-11,"Tal1",1.13465008469484e-11,"Down"
7.2873847270948e-14,1.74717238285319,1,1,2.13520372503878e-11,"Maf",2.13520372503878e-11,"Up"
2.3990673224114e-13,1.18683271961399,1,1,7.02926725466539e-11,"Irf5",7.02926725466539e-11,"Up"
6.87103587285319e-13,1.41167204782478,1,1,2.01321351074598e-10,"Stat1",2.01321351074598e-10,"Up"
5.77583036255335e-11,1.40264630728413,1,1,1.69231829622813e-08,"Wt1",1.69231829622813e-08,"Up"
1.45735278739542e-10,1.12112409834159,1,1,4.27004366706857e-08,"Rel",4.27004366706857e-08,"Up"
2.49738196936409e-10,1.25036364303984,1,1,7.31732917023678e-08,"Irf8",7.31732917023678e-08,"Up"
1.03287773508095e-09,1.89052369138445,1,0.662,3.0263317637872e-07,"Vdr",3.0263317637872e-07,"Up"
1.86580045929363e-09,2.44410672605242,0.667,0.203,5.46679534573033e-07,"Nr1h3",5.46679534573033e-07,"Up"
4.51361365205537e-08,1.21655346161666,1,1,1.32248880005222e-05,"Bach1",1.32248880005222e-05,"Up"
6.78367411370524e-08,1.20481240815011,1,1,1.98761651531563e-05,"Nfkb1",1.98761651531563e-05,"Up"
2.40986347107412e-07,1.23526519417791,1,1,7.06089997024716e-05,"Etv3",7.06089997024716e-05,"Up"
2.8051559473696e-07,1.64380464625662,1,1,8.21910692579292e-05,"Zfp704",8.21910692579292e-05,"Up"
7.07052920226262e-07,1.07097474556046,1,1,0.000207166505626295,"Fosb",0.000207166505626295,"Up"
8.9725750897754e-07,1.6438304145989,1,0.932,0.000262896450130419,"Gata4",0.000262896450130419,"Up"
1.66875587752719e-06,1.44293508142116,1,0.995,0.000488945472115467,"Sox9",0.000488945472115467,"Up"
5.68696922272622e-06,1.00294667565048,1,1,0.00166628198225878,"Runx1",0.00166628198225878,"Up"
1.26937917040692e-05,1.22673597647406,1,1,0.00371928096929227,"Creb3l1",0.00371928096929227,"Up"
