"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.81568410516368e-24,1.6709813826145,1,1,5.31995442812957e-22,"Atf2",5.31995442812957e-22,"Up"
3.50382477894436e-22,-1.19763902706221,0.962,1,1.0266206602307e-19,"Ikzf1",1.0266206602307e-19,"Down"
4.50937852846584e-19,1.97003260128506,0.83,0.156,1.32124790884049e-16,"Tcf21",1.32124790884049e-16,"Up"
7.05935873122574e-18,-1.07455550381035,0.887,1,2.06839210824914e-15,"E2f2",2.06839210824914e-15,"Down"
8.32043632585542e-18,1.35056322925636,1,1,2.43788784347564e-15,"Maf",2.43788784347564e-15,"Up"
1.65399241508956e-17,-1.63096614222843,0.887,0.992,4.84619777621242e-15,"Tal1",4.84619777621242e-15,"Down"
4.15070084761693e-17,1.76447168756205,0.925,0.461,1.21615534835176e-14,"Patz1",1.21615534835176e-14,"Up"
1.00820428861568e-16,-1.01296653977587,0.887,0.992,2.95403856564394e-14,"Arid3a",2.95403856564394e-14,"Down"
1.78295232248224e-16,1.73426896011253,0.887,0.273,5.22405030487297e-14,"Nfia",5.22405030487297e-14,"Up"
4.49797109693048e-16,1.02511716003516,1,1,1.31790553140063e-13,"Plagl1",1.31790553140063e-13,"Up"
2.49483089541361e-15,1.10906765858018,1,1,7.30985452356186e-13,"Nfib",7.30985452356186e-13,"Up"
2.6228087580781e-15,1.05438433617549,1,1,7.68482966116883e-13,"Fosb",7.68482966116883e-13,"Up"
6.99671644606187e-15,1.14412617822842,1,1,2.05003791869613e-12,"Wt1",2.05003791869613e-12,"Up"
7.9152589120503e-15,1.07153684307089,1,1,2.31917086123074e-12,"Cebpa",2.31917086123074e-12,"Up"
3.75320372798711e-14,1.66201241203945,0.849,0.266,1.09968869230022e-11,"Zbtb16",1.09968869230022e-11,"Up"
8.3310310221952e-14,1.12201843706723,1,1,2.44099208950319e-11,"Klf4",2.44099208950319e-11,"Up"
1.50162407629247e-13,1.05402433144193,1,1,4.39975854353695e-11,"Egr1",4.39975854353695e-11,"Up"
1.77700808049646e-13,1.64820892645547,0.925,0.359,5.20663367585462e-11,"Snd1",5.20663367585462e-11,"Up"
2.33204389116774e-13,1.58644741147046,0.906,0.367,6.83288860112149e-11,"Creb3l2",6.83288860112149e-11,"Up"
2.84805351219703e-13,1.53949956253098,0.962,0.727,8.34479679073729e-11,"Gata4",8.34479679073729e-11,"Up"
3.78135438232741e-13,1.09391759914372,1,0.914,1.10793683402193e-10,"Zfp507",1.10793683402193e-10,"Up"
9.50745752509211e-13,1.22685534413845,1,0.867,2.78568505485199e-10,"Nfatc1",2.78568505485199e-10,"Up"
1.03944365956714e-12,1.1884711665862,1,0.984,3.04556992253173e-10,"Cebpd",3.04556992253173e-10,"Up"
2.87968534386934e-12,1.77419282769845,0.698,0.141,8.43747805753717e-10,"Egr2",8.43747805753717e-10,"Up"
3.10626152998057e-12,1.60350811868495,0.66,0.133,9.10134628284306e-10,"Prdm1",9.10134628284306e-10,"Up"
6.59313506927865e-12,1.58242334833927,0.925,0.469,1.93178857529864e-09,"Sox17",1.93178857529864e-09,"Up"
2.34958479972226e-11,1.03819609897851,1,0.992,6.88428346318621e-09,"Bach1",6.88428346318621e-09,"Up"
6.74144346683262e-11,1.19595312061087,0.981,0.852,1.97524293578196e-08,"Rxra",1.97524293578196e-08,"Up"
4.22782484202216e-10,1.45105599233372,0.887,0.617,1.23875267871249e-07,"Rbfox2",1.23875267871249e-07,"Up"
4.55993079198128e-10,1.01360493572349,1,0.992,1.33605972205051e-07,"Zfp704",1.33605972205051e-07,"Up"
7.03701980949895e-10,1.31096893989739,0.887,0.359,2.06184680418319e-07,"Ebf2",2.06184680418319e-07,"Up"
4.4215659595253e-09,1.2952315633704,0.887,0.383,1.29551882614091e-06,"Sp2",1.29551882614091e-06,"Up"
4.58144884706425e-09,1.23743179459057,0.849,0.32,1.34236451218983e-06,"Hsf1",1.34236451218983e-06,"Up"
1.30124591673463e-08,1.03344716037993,0.981,0.906,3.81265053603248e-06,"Zeb1",3.81265053603248e-06,"Up"
2.55330059408404e-08,1.43194538373204,0.66,0.219,7.48117074066623e-06,"Hoxa10",7.48117074066623e-06,"Up"
2.53714133128288e-07,1.28787084431549,0.887,0.602,7.43382410065884e-05,"Pax8",7.43382410065884e-05,"Up"
3.74477637069986e-07,1.25534692669309,0.925,0.562,0.000109721947661506,"Ovol2",0.000109721947661506,"Up"
4.2270659576111e-07,1.27677251134591,0.717,0.266,0.000123853032558005,"Zkscan6",0.000123853032558005,"Up"
4.34458966042089e-07,1.36352070763065,0.774,0.398,0.000127296477050332,"Max",0.000127296477050332,"Up"
