"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.77089575955912e-36,6.54416633692343,0.767,0.01,2.89808422705157e-31,"Trem2-201",2.89808422705157e-31,"Up"
6.22135136670766e-36,8.53944358070978,0.933,0.058,4.7813573793695e-31,"Spp1-201",4.7813573793695e-31,"Up"
9.41265521821347e-36,6.11294267072853,0.9,0.043,7.23400204140578e-31,"Ctss-202",7.23400204140578e-31,"Up"
6.90824820697208e-35,4.98276232166334,0.9,0.043,5.30926507698632e-30,"Col1a1-201",5.30926507698632e-30,"Up"
1.13636843153653e-34,7.0736769913721,0.733,0.01,8.73344594373081e-30,"Serpine1-201",8.73344594373081e-30,"Up"
2.69272037862167e-34,7.34813590743215,0.7,0.005,2.0694633197859e-29,"Siglec1-201",2.0694633197859e-29,"Up"
4.63813422487516e-34,5.5498264863305,0.733,0.01,3.56459167718556e-29,"Dhrs3-206",3.56459167718556e-29,"Up"
6.34624068250957e-34,6.39550195046373,0.8,0.024,4.8773398141359e-29,"Gpnmb-201",4.8773398141359e-29,"Up"
1.85995535141824e-33,5.74657101355152,0.867,0.043,1.42945008577897e-28,"Ahnak2-201",1.42945008577897e-28,"Up"
1.21514509034905e-32,3.57201165765693,0.967,0.058,9.3388760773686e-28,"Col1a2-201",9.3388760773686e-28,"Up"
1.23590094673633e-32,7.8931819825179,0.633,0,9.4983931360474e-28,"Itgb5-202",9.4983931360474e-28,"Up"
1.23590094673633e-32,8.72253561242941,0.633,0,9.4983931360474e-28,"Galns-201",9.4983931360474e-28,"Up"
2.16101292276709e-32,4.58019533982654,0.9,0.048,1.66082487166342e-27,"Psg23-201",1.66082487166342e-27,"Up"
3.12499142676073e-32,4.42530120851661,0.667,0.005,2.40168091112269e-27,"Ctsq-201",2.40168091112269e-27,"Up"
5.50884277779528e-32,5.95702191647669,0.8,0.034,4.23376602844679e-27,"Ctsh-201",4.23376602844679e-27,"Up"
3.38821454785112e-31,5.34767152996566,0.933,0.068,2.6039784086055e-26,"Psg21-201",2.6039784086055e-26,"Up"
8.15447494241604e-31,5.56841678876054,0.7,0.014,6.26704017224442e-26,"P2rx4-201",6.26704017224442e-26,"Up"
8.6512568217205e-31,4.02126005639864,0.733,0.019,6.64883691776508e-26,"Col6a3-201",6.64883691776508e-26,"Up"
1.12750948372452e-30,4.44733034263048,0.833,0.039,8.66536138621643e-26,"Ctsj-202",8.66536138621643e-26,"Up"
1.63575839595787e-30,5.03486816420472,0.633,0.005,1.25714575762946e-25,"Gnptab-201",1.25714575762946e-25,"Up"
1.98800258588386e-30,5.03825294571919,0.667,0.01,1.52785950735518e-25,"Col6a2-201",1.52785950735518e-25,"Up"
2.58153460786876e-30,4.61124389930953,0.667,0.01,1.98401260753146e-25,"Rcan1-201",1.98401260753146e-25,"Up"
6.63869640193931e-30,5.15268463217723,0.8,0.043,5.10210373274644e-25,"Cxcl16-201",5.10210373274644e-25,"Up"
7.39829731748886e-30,5.7217078258771,0.8,0.043,5.68588742038289e-25,"Rgs1-208",5.68588742038289e-25,"Up"
9.18455760102063e-30,6.54979386321043,0.667,0.014,7.0586998986884e-25,"Dab2-202",7.0586998986884e-25,"Up"
2.4926097837933e-29,6.807856462418,0.633,0.01,1.9156703232365e-24,"Gusb-201",1.9156703232365e-24,"Up"
3.89992103155956e-29,7.71749025637341,0.567,0,2.99724530959478e-24,"Dpep2-201",2.99724530959478e-24,"Up"
3.89992103155956e-29,8.0377553300427,0.567,0,2.99724530959478e-24,"Zranb3-201",2.99724530959478e-24,"Up"
3.89992103155956e-29,7.79461822470731,0.567,0,2.99724530959478e-24,"Itgb5-201",2.99724530959478e-24,"Up"
3.89992103155956e-29,9.18019966715965,0.567,0,2.99724530959478e-24,"Gdf15-201",2.99724530959478e-24,"Up"
3.89992103155956e-29,8.63897668791644,0.567,0,2.99724530959478e-24,"Psrc1-201",2.99724530959478e-24,"Up"
3.89992103155956e-29,10.0190548287424,0.567,0,2.99724530959478e-24,"Atp6v0d2-201",2.99724530959478e-24,"Up"
5.89923734765462e-29,6.97016821121028,0.6,0.005,4.53379987116648e-24,"Hivep3-202",4.53379987116648e-24,"Up"
6.86442878715528e-29,5.2186365568808,0.667,0.014,5.27558810008032e-24,"Myo5a-201",5.27558810008032e-24,"Up"
7.55396042490615e-29,5.38120958620369,0.633,0.01,5.80552074495738e-24,"Fam20c-201",5.80552074495738e-24,"Up"
7.77588863479514e-29,4.78478554493071,0.667,0.014,5.97608145138545e-24,"Myo5a-214",5.97608145138545e-24,"Up"
9.17734047453439e-29,5.17566623486622,0.633,0.01,7.05315324829866e-24,"Lgals3bp-201",7.05315324829866e-24,"Up"
1.32462503287994e-28,3.39770921458853,0.7,0.019,1.01802732276955e-23,"Ceacam5-201",1.01802732276955e-23,"Up"
1.54002906772467e-28,4.04880111461135,0.633,0.01,1.18357393970912e-23,"Cpd-201",1.18357393970912e-23,"Up"
7.86080493449897e-28,3.77366112697052,0.833,0.053,6.04134302435984e-23,"Gns-201",6.04134302435984e-23,"Up"
8.68203908438794e-28,4.7878728594709,0.9,0.087,6.6724943179155e-23,"Lrp1-201",6.6724943179155e-23,"Up"
9.71687652832865e-28,5.25331265155307,0.667,0.019,7.4678082870817e-23,"Mga-204",7.4678082870817e-23,"Up"
1.80887100125143e-27,5.57141935654668,0.633,0.014,1.39018971930177e-22,"Lhfpl2-201",1.39018971930177e-22,"Up"
2.08826703753492e-27,8.95045659079031,0.533,0,1.60491674902709e-22,"Gdf15-202",1.60491674902709e-22,"Up"
2.08826703753492e-27,8.21537103077681,0.533,0,1.60491674902709e-22,"Psrc1-202",1.60491674902709e-22,"Up"
2.08826703753492e-27,9.12964786603071,0.533,0,1.60491674902709e-22,"Psg16-204",1.60491674902709e-22,"Up"
2.37856203804742e-27,4.73690331549287,0.667,0.019,1.82802006872097e-22,"Gfpt1-204",1.82802006872097e-22,"Up"
3.32145108528389e-27,6.7288018125473,0.567,0.005,2.55266801708408e-22,"Dpp7-201",2.55266801708408e-22,"Up"
3.80185720835953e-27,5.99250514726508,0.567,0.005,2.92187933891263e-22,"Adgre1-202",2.92187933891263e-22,"Up"
4.0984249360844e-27,5.18713018316596,0.6,0.01,3.14980350037831e-22,"Galnt6-201",3.14980350037831e-22,"Up"
4.35108369584234e-27,5.78498057267797,0.567,0.005,3.34398186360267e-22,"Pappa2-202",3.34398186360267e-22,"Up"
4.35108369584234e-27,5.31852621975195,0.567,0.005,3.34398186360267e-22,"Cadm1-202",3.34398186360267e-22,"Up"
4.37044389206368e-27,4.8652134970462,0.6,0.01,3.35886094880662e-22,"Phldb1-210",3.35886094880662e-22,"Up"
4.65450382354934e-27,5.35310114267986,0.567,0.005,3.57717236855061e-22,"Gpr137b-201",3.57717236855061e-22,"Up"
4.65450382354934e-27,4.51070783676258,0.567,0.005,3.57717236855061e-22,"Adam15-213",3.57717236855061e-22,"Up"
4.65450382354934e-27,4.51070783676258,0.567,0.005,3.57717236855061e-22,"Adam15-201",3.57717236855061e-22,"Up"
4.65450382354934e-27,5.39138200710847,0.567,0.005,3.57717236855061e-22,"Mertk-201",3.57717236855061e-22,"Up"
5.29859777609116e-27,4.93483614513366,0.6,0.01,4.0721843348371e-22,"Smpdl3a-201",4.0721843348371e-22,"Up"
7.01794934117302e-27,3.9409940364934,0.633,0.014,5.39357478666511e-22,"Wsb2-201",5.39357478666511e-22,"Up"
7.15393598389349e-27,3.70026390226091,0.867,0.068,5.4980859610615e-22,"Col3a1-201",5.4980859610615e-22,"Up"
8.96391577030559e-27,6.27655210959725,0.933,0.135,6.88912782611066e-22,"Apoe-206",6.88912782611066e-22,"Up"
1.04831504025727e-26,2.89577439574651,0.7,0.029,8.05672041039321e-22,"Rpn2-202",8.05672041039321e-22,"Up"
2.35090717918525e-26,4.582244485596,0.667,0.024,1.80676620349103e-21,"Pld3-201",1.80676620349103e-21,"Up"
2.44718863315945e-26,5.43560007147647,0.633,0.019,1.88076235212837e-21,"C1qa-201",1.88076235212837e-21,"Up"
3.05735805116629e-26,4.19113397740248,0.733,0.039,2.34970195664334e-21,"Cd68-201",2.34970195664334e-21,"Up"
3.22659004399033e-26,3.18286899282268,0.833,0.053,2.47976351240833e-21,"Ceacam11-201",2.47976351240833e-21,"Up"
6.710200066734e-26,5.43447337435159,0.6,0.014,5.15705715928775e-21,"Colgalt1-201",5.15705715928775e-21,"Up"
7.5266257484024e-26,4.53510534256473,0.633,0.019,5.78451295267718e-21,"Msr1-202",5.78451295267718e-21,"Up"
