"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.89618897244641e-16,8.83011934113517,0.9,0,2.99437707288397e-11,"Psg23-201",2.99437707288397e-11,"Up"
1.06833981167148e-14,7.95554247396823,0.833,0,8.21061878861999e-10,"Psg28-201",8.21061878861999e-10,"Up"
1.63780061477094e-14,5.64481298719602,0.9,0.057,1.25871528447606e-09,"Ctss-202",1.25871528447606e-09,"Up"
5.23537324784278e-14,4.71919309086585,0.933,0.057,4.02359375589709e-09,"Psg21-201",4.02359375589709e-09,"Up"
1.2400742015605e-13,3.25140133504903,0.867,0.038,9.53046626867304e-09,"Ahnak2-201",9.53046626867304e-09,"Up"
1.5092011716401e-13,8.49382044147746,0.8,0.019,1.15988146845229e-08,"Gpnmb-201",1.15988146845229e-08,"Up"
2.37908897446676e-13,3.7413894644305,0.833,0.019,1.82842504043669e-08,"Ceacam11-201",1.82842504043669e-08,"Up"
3.64238204318515e-13,5.46625963466176,0.933,0.17,2.79931629546951e-08,"Spp1-201",2.79931629546951e-08,"Up"
6.04352829073524e-13,5.48027713101934,0.8,0.019,4.64469323256166e-08,"Psg27-201",4.64469323256166e-08,"Up"
1.21924768467737e-12,3.9968046509324,0.9,0.057,9.37040615581945e-08,"Tpbpa-201",9.37040615581945e-08,"Up"
1.43238868163879e-12,3.59101573692234,0.933,0.17,1.10084799738667e-07,"Ctsb-201",1.10084799738667e-07,"Up"
2.43814217761546e-12,6.3997453900867,0.767,0.038,1.87380978918459e-07,"Cdkn1a-201",1.87380978918459e-07,"Up"
2.50907211973932e-12,4.4546606083167,0.8,0.038,1.92832228690445e-07,"Lamc1-201",1.92832228690445e-07,"Up"
2.50907211973932e-12,4.07248037659597,0.8,0.038,1.92832228690445e-07,"Ctsh-201",1.92832228690445e-07,"Up"
2.95241859994672e-12,4.88713024410979,0.767,0.019,2.26905179080305e-07,"Trem2-201",2.26905179080305e-07,"Up"
4.17750100497752e-12,2.40267715715024,0.9,0.075,3.21057662236542e-07,"Lrp1-201",3.21057662236542e-07,"Up"
4.49201231484326e-12,3.21260971618234,0.767,0.019,3.45229114444964e-07,"Prl8a9-201",3.45229114444964e-07,"Up"
5.16767335843419e-12,6.84309878001197,0.7,0,3.97156368289101e-07,"Ceacam5-201",3.97156368289101e-07,"Up"
5.16767335843419e-12,7.59962769832515,0.7,0,3.97156368289101e-07,"Abcg1-201",3.97156368289101e-07,"Up"
7.40128316201831e-12,2.88159077760313,0.867,0.075,5.68818216133755e-07,"Nopchap1-201",5.68818216133755e-07,"Up"
1.10298966314806e-11,4.33727356130759,0.8,0.057,8.47691675715809e-07,"Cyba-201",8.47691675715809e-07,"Up"
1.21132824364858e-11,3.40810316154717,0.967,0.302,9.30954208373677e-07,"H2-K1-205",9.30954208373677e-07,"Up"
1.66464624302283e-11,5.2313571177944,0.833,0.132,1.27934722361277e-06,"Mdm2-201",1.27934722361277e-06,"Up"
1.82374530722144e-11,5.96742841772058,0.733,0.038,1.40162121841197e-06,"Cebpa-201",1.40162121841197e-06,"Up"
1.88682143683947e-11,4.86535064567114,0.8,0.075,1.45009774706861e-06,"Rgs1-208",1.45009774706861e-06,"Up"
1.98584907244455e-11,6.21337066949827,0.7,0.019,1.52620444613654e-06,"Tlr2-201",1.52620444613654e-06,"Up"
2.03946630343551e-11,3.05287370687432,0.833,0.075,1.56741143284233e-06,"Lcp1-209",1.56741143284233e-06,"Up"
2.10029457756243e-11,3.05701503525187,0.733,0.019,1.61416039463983e-06,"Jup-201",1.61416039463983e-06,"Up"
2.23563233207912e-11,3.63600193564941,0.9,0.17,1.71817287249609e-06,"Ctsd-202",1.71817287249609e-06,"Up"
2.41087192011791e-11,3.80370182326679,0.867,0.113,1.85285150548742e-06,"Timp2-201",1.85285150548742e-06,"Up"
3.2709696390566e-11,5.80857559016273,0.7,0.019,2.51387100640056e-06,"Siglec1-201",2.51387100640056e-06,"Up"
5.22562987186993e-11,-6.11595348608426,0.167,0.906,4.01610558172691e-06,"Ftl1-203",4.01610558172691e-06,"Down"
8.05541775244824e-11,4.06707466419192,0.7,0.019,6.19091075946657e-06,"Atp6v1c1-201",6.19091075946657e-06,"Up"
8.49476840557653e-11,3.91919845001387,0.933,0.472,6.52856931042179e-06,"Psap-202",6.52856931042179e-06,"Up"
9.2508562619189e-11,6.61406690186569,0.633,0,7.10965307153515e-06,"Lhfpl2-201",7.10965307153515e-06,"Up"
9.2508562619189e-11,6.90369488248494,0.633,0,7.10965307153515e-06,"Msr1-202",7.10965307153515e-06,"Up"
9.2508562619189e-11,6.75696910949328,0.633,0,7.10965307153515e-06,"Galns-201",7.10965307153515e-06,"Up"
9.2508562619189e-11,6.54362234140177,0.633,0,7.10965307153515e-06,"Fam20c-201",7.10965307153515e-06,"Up"
9.2508562619189e-11,7.54538783008177,0.633,0,7.10965307153515e-06,"Psg16-201",7.10965307153515e-06,"Up"
9.2508562619189e-11,6.71179630583239,0.633,0,7.10965307153515e-06,"Apobec1-202",7.10965307153515e-06,"Up"
1.03907306744571e-10,3.55600204110375,0.967,0.208,7.98569215254729e-06,"Ctsl-205",7.98569215254729e-06,"Up"
1.04510665348417e-10,6.2839731744252,0.667,0.019,8.03206267468725e-06,"Syne1-205",8.03206267468725e-06,"Up"
1.13435592218635e-10,5.78349829118823,0.667,0.019,8.71797900437097e-06,"Fcgr2b-202",8.71797900437097e-06,"Up"
1.13974172257656e-10,3.94144512742964,0.733,0.038,8.75937103468988e-06,"Nid1-201",8.75937103468988e-06,"Up"
1.3357658693495e-10,4.78737496730894,0.667,0.019,1.02658950122986e-05,"Adam17-201",1.02658950122986e-05,"Up"
1.44918096760618e-10,4.89248630238615,0.667,0.019,1.11375354084405e-05,"Rap2b-201",1.11375354084405e-05,"Up"
1.50877352302413e-10,4.60309586318461,0.7,0.038,1.15955280338496e-05,"Slc25a39-201",1.15955280338496e-05,"Up"
1.51976203469884e-10,3.60454421249402,0.767,0.057,1.16799791414745e-05,"Anxa4-201",1.16799791414745e-05,"Up"
1.84887110740787e-10,5.20782017562225,0.667,0.019,1.42093140088724e-05,"Lpl-201",1.42093140088724e-05,"Up"
1.90517308549554e-10,1.46333020758219,0.767,0.057,1.46420172312674e-05,"Krt18-201",1.46420172312674e-05,"Up"
2.11947508764845e-10,3.30855136065223,0.733,0.038,1.62890138386134e-05,"Col6a3-201",1.62890138386134e-05,"Up"
2.23285504460642e-10,3.38886648254583,0.7,0.038,1.71603841598182e-05,"Arpc5-201",1.71603841598182e-05,"Up"
2.36843942996858e-10,3.23300780840316,0.733,0.057,1.82024043950805e-05,"Vat1-201",1.82024043950805e-05,"Up"
2.47264838621748e-10,5.7272937162396,0.667,0.038,1.90032919074358e-05,"Uhrf2-201",1.90032919074358e-05,"Up"
3.10943136582577e-10,1.31162192078877,0.733,0.038,2.38972238189174e-05,"Flnb-201",2.38972238189174e-05,"Up"
3.36123368421111e-10,2.57361312950537,0.9,0.17,2.5832425356636e-05,"Tgm2-201",2.5832425356636e-05,"Up"
3.51282155132635e-10,2.27180358207844,0.767,0.075,2.69974387505635e-05,"Diaph1-201",2.69974387505635e-05,"Up"
3.5165557383459e-10,2.68467505816181,0.667,0.019,2.70261374714836e-05,"Cerk-201",2.70261374714836e-05,"Up"
3.72950361336595e-10,6.62234532572663,0.6,0,2.86627270701627e-05,"Lama1-201",2.86627270701627e-05,"Up"
3.72950361336595e-10,7.09887555168414,0.6,0,2.86627270701627e-05,"Hivep3-202",2.86627270701627e-05,"Up"
3.72950361336595e-10,5.12191201402148,0.6,0,2.86627270701627e-05,"Tnip1-205",2.86627270701627e-05,"Up"
3.72950361336595e-10,5.24642975713635,0.6,0,2.86627270701627e-05,"Galnt6-202",2.86627270701627e-05,"Up"
3.72950361336595e-10,5.24642975713635,0.6,0,2.86627270701627e-05,"Galnt6-201",2.86627270701627e-05,"Up"
3.72950361336595e-10,7.24591769640225,0.6,0,2.86627270701627e-05,"Itgax-201",2.86627270701627e-05,"Up"
3.72950361336595e-10,6.69388397097137,0.6,0,2.86627270701627e-05,"H2-T-ps-201",2.86627270701627e-05,"Up"
3.80824101871306e-10,2.22065973397078,0.667,0.019,2.92678555252174e-05,"Hmmr-201",2.92678555252174e-05,"Up"
3.80824101871306e-10,3.53174091617737,0.667,0.019,2.92678555252174e-05,"Rilpl2-201",2.92678555252174e-05,"Up"
3.80824101871306e-10,2.60473608845401,0.667,0.019,2.92678555252174e-05,"Myo5a-214",2.92678555252174e-05,"Up"
3.82553371127934e-10,6.28052593922873,0.633,0.019,2.94007567846663e-05,"Rab3gap1-205",2.94007567846663e-05,"Up"
4.14813208131594e-10,5.70785656425722,0.633,0.019,3.18800542977455e-05,"Itgb5-202",3.18800542977455e-05,"Up"
4.14813208131594e-10,6.2645843946036,0.633,0.019,3.18800542977455e-05,"Dnmt3a-201",3.18800542977455e-05,"Up"
4.28594969649404e-10,5.51411059949503,0.667,0.038,3.29392377974353e-05,"Ddost-201",3.29392377974353e-05,"Up"
