"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.60924625328632e-22,4.9104341649842,0.811,0.094,3.54239011550067e-17,"Ftl1-206",3.54239011550067e-17,"Up"
4.36445511436963e-20,6.47091564730558,0.906,0.398,3.35425833359764e-15,"Ftl1-203",3.35425833359764e-15,"Up"
2.04051175650967e-19,-3.08871667403881,0.547,0.961,1.56821490534794e-14,"Hbb-y-201",1.56821490534794e-14,"Down"
5.64436288701666e-19,-3.07165640573997,0.34,0.961,4.33791865318778e-14,"Hba-x-201",4.33791865318778e-14,"Down"
5.75152341527639e-17,-2.67049471893825,0.264,0.883,4.42027580557652e-12,"Car2-201",4.42027580557652e-12,"Down"
7.55514324991852e-17,-2.68693904949492,0.245,0.938,5.80642979329238e-12,"Alas2-201",5.80642979329238e-12,"Down"
7.61018666622578e-17,-2.84340117479998,0.189,0.906,5.84873286046116e-12,"Nudt4-201",5.84873286046116e-12,"Down"
1.95319785823878e-16,4.72275287484166,0.868,0.359,1.50111068197084e-11,"Ftl1-202",1.50111068197084e-11,"Up"
7.79131420415143e-16,-2.88633959421919,0.226,0.883,5.98793661845854e-11,"Slc25a37-203",5.98793661845854e-11,"Down"
1.20560410474997e-15,-2.6898489648453,0.321,0.883,9.26554978664545e-11,"Mki67-201",9.26554978664545e-11,"Down"
1.33372319594658e-15,-3.66651359924666,0.509,0.906,1.02501962501279e-10,"Prdx2-201",1.02501962501279e-10,"Down"
1.52784851847055e-15,-2.92632230194632,0.17,0.852,1.17421270038536e-10,"Spta1-201",1.17421270038536e-10,"Down"
3.62233881448951e-15,-1.82892269808618,0.189,0.875,2.78391227248777e-10,"Slc4a1-201",2.78391227248777e-10,"Down"
3.78835580279062e-15,-2.54447221071313,0.075,0.828,2.9115029686767e-10,"Cpox-201",2.9115029686767e-10,"Down"
5.06980221971309e-15,-3.94893439033877,0.075,0.781,3.8963457979383e-10,"Hsd3b6-201",3.8963457979383e-10,"Down"
5.40756963484389e-15,-4.40807234051338,0.057,0.742,4.15593356716292e-10,"Rbm38-204",4.15593356716292e-10,"Down"
5.40756963484389e-15,-4.40807234051338,0.057,0.742,4.15593356716292e-10,"Rbm38-201",4.15593356716292e-10,"Down"
7.62148075192021e-15,-2.87063830953543,0.113,0.828,5.85741281708076e-10,"Hemgn-202",5.85741281708076e-10,"Down"
9.62432447423714e-15,-2.71497906068942,0.189,0.898,7.39667833143021e-10,"Fech-208",7.39667833143021e-10,"Down"
1.93261260696694e-14,-2.13768885503221,0.264,0.922,1.48529009295837e-09,"Ucp2-202",1.48529009295837e-09,"Down"
7.40613998142695e-14,-2.03187394275519,0.434,0.922,5.69191482132587e-09,"H3f3a-205",5.69191482132587e-09,"Down"
1.15327468907622e-13,-2.9706106383497,0.094,0.766,8.8633772954264e-09,"Dek-201",8.8633772954264e-09,"Down"
1.67046091890705e-13,-2.61376980146923,0.075,0.75,1.28381603461682e-08,"Klf1-201",1.28381603461682e-08,"Down"
1.67046091890705e-13,-2.61376980146923,0.075,0.75,1.28381603461682e-08,"Klf1-202",1.28381603461682e-08,"Down"
3.05728928245895e-13,-3.97513876847997,0.057,0.688,2.349649105141e-08,"Tspan33-201",2.349649105141e-08,"Down"
3.21213359203651e-13,-3.88911227211244,0.057,0.688,2.46865315082374e-08,"Kel-201",2.46865315082374e-08,"Down"
5.79165315809098e-13,-3.74916959337525,0.057,0.688,4.45111711811924e-08,"Tal1-201",4.45111711811924e-08,"Down"
8.24226505911216e-13,-2.83633303027214,0.075,0.727,6.33451038853006e-08,"Gypa-201",6.33451038853006e-08,"Down"
1.53157581314404e-12,-2.02753320245654,0.245,0.836,1.17707727543372e-07,"Slc25a37-201",1.17707727543372e-07,"Down"
1.63406937156966e-12,-2.4776730692759,0.113,0.766,1.25584767482615e-07,"Hemgn-201",1.25584767482615e-07,"Down"
3.04441745945633e-12,-3.13284124032216,0.151,0.766,2.33975659429057e-07,"Eif5-202",2.33975659429057e-07,"Down"
3.66483660191558e-12,-2.46745327465004,0.094,0.758,2.8165735220362e-07,"Slc39a8-206",2.8165735220362e-07,"Down"
3.72150393447609e-12,-4.33600875987937,0.038,0.633,2.86012463380225e-07,"Hmbs-201",2.86012463380225e-07,"Down"
4.89690662209362e-12,-1.41586431137063,0.472,0.945,3.76346861534383e-07,"Pabpc1-201",3.76346861534383e-07,"Down"
6.22058266346917e-12,-1.93075787505106,0.208,0.852,4.7807666001826e-07,"Eif3a-201",4.7807666001826e-07,"Down"
8.67923756712904e-12,-2.79125629278453,0.208,0.742,6.67034123984135e-07,"H2ac15-201",6.67034123984135e-07,"Down"
1.00310467559249e-11,-3.03398503783345,0.057,0.656,7.70926067379852e-07,"Hmbs-202",7.70926067379852e-07,"Down"
1.09922218818377e-11,-2.67870628968855,0.113,0.734,8.44796220506751e-07,"H1f2-201",8.44796220506751e-07,"Down"
1.16324387129878e-11,-2.37178800210593,0.094,0.742,8.93999444847964e-07,"Slc39a8-202",8.93999444847964e-07,"Down"
1.16324387129878e-11,-2.37178800210593,0.094,0.742,8.93999444847964e-07,"Slc39a8-201",8.93999444847964e-07,"Down"
1.38151492685767e-11,-3.72779994789872,0.057,0.633,1.06174948188719e-06,"Tspan33-202",1.06174948188719e-06,"Down"
1.47745346007735e-11,-2.05538458039667,0.075,0.695,1.13548208220785e-06,"Anapc5-201",1.13548208220785e-06,"Down"
1.58906005404239e-11,-1.81268492908338,0.132,0.773,1.22125621393374e-06,"Ddb1-201",1.22125621393374e-06,"Down"
1.64200119906198e-11,-2.40162961297053,0.226,0.82,1.2619436015271e-06,"Bsg-205",1.2619436015271e-06,"Down"
1.89607236437924e-11,-2.47955514031624,0.132,0.734,1.45720745492002e-06,"Sptb-202",1.45720745492002e-06,"Down"
2.21080279086799e-11,-2.7000269146716,0.057,0.664,1.69909037689368e-06,"Alad-201",1.69909037689368e-06,"Down"
2.22048185923957e-11,-3.28983071945967,0.113,0.688,1.70652912809998e-06,"Bmp2k-201",1.70652912809998e-06,"Down"
2.36832674454734e-11,-2.32821484514154,0.151,0.766,1.82015383625441e-06,"Fech-210",1.82015383625441e-06,"Down"
2.63267897925042e-11,-1.92256743281895,0.17,0.75,2.02331910271312e-06,"Gclm-201",2.02331910271312e-06,"Down"
2.90295570371465e-11,-2.06726007684483,0.057,0.656,2.23103757653286e-06,"Anapc5-203",2.23103757653286e-06,"Down"
3.62532269192904e-11,-2.159878893172,0.226,0.797,2.78620550165514e-06,"Hmgb2-201",2.78620550165514e-06,"Down"
3.90857476637946e-11,-3.14653239801693,0.094,0.68,3.00389605095327e-06,"Tfrc-201",3.00389605095327e-06,"Down"
3.95995033983864e-11,-1.89372672726621,0.302,0.844,3.04338023417959e-06,"Hbb-bh1-201",3.04338023417959e-06,"Down"
4.13982665776493e-11,-3.33960628555907,0.057,0.625,3.18162237955866e-06,"Tal1-203",3.18162237955866e-06,"Down"
4.85403893099308e-11,-1.91746197172581,0.113,0.758,3.73052308002542e-06,"Slc39a8-205",3.73052308002542e-06,"Down"
6.11634394664843e-11,-2.57364642075173,0.057,0.648,4.70065497675718e-06,"Alad-202",4.70065497675718e-06,"Down"
9.58346281084643e-11,-1.90546072212962,0.17,0.797,7.36527450864791e-06,"H2az1-201",7.36527450864791e-06,"Down"
1.00435478100152e-10,-1.64570464324168,0.094,0.672,7.71886823390906e-06,"Smc1a-201",7.71886823390906e-06,"Down"
1.69666735327365e-10,-3.4790014110345,0.075,0.617,1.30395672768493e-05,"Urod-201",1.30395672768493e-05,"Down"
1.70022135655684e-10,-1.9111437232738,0.075,0.656,1.30668812136819e-05,"Anapc5-212",1.30668812136819e-05,"Down"
1.70778531270138e-10,-4.35172411355459,0.038,0.578,1.31250132422352e-05,"Epb42-202",1.31250132422352e-05,"Down"
2.15900372925152e-10,-2.38423597963498,0.019,0.562,1.65928072607896e-05,"Tpx2-202",1.65928072607896e-05,"Down"
2.15900372925152e-10,-2.49724495532546,0.019,0.562,1.65928072607896e-05,"Tpx2-206",1.65928072607896e-05,"Down"
2.63118434037697e-10,-3.62157808935153,0.038,0.57,2.02217041295332e-05,"Trim10-201",2.02217041295332e-05,"Down"
2.81489799343505e-10,-4.433788460489,0.038,0.562,2.16336170387457e-05,"H2bc14-201",2.16336170387457e-05,"Down"
3.44775173843049e-10,-1.55584735472968,0.245,0.844,2.64973512105337e-05,"Tubb4b-201",2.64973512105337e-05,"Down"
4.24002076927242e-10,-3.02270742464743,0.113,0.664,3.25862556201662e-05,"Tmpo-202",3.25862556201662e-05,"Down"
4.47437506580024e-10,-2.14444996801888,0.189,0.742,3.43873621307012e-05,"Ywhah-201",3.43873621307012e-05,"Down"
4.83200570858366e-10,-2.19207255059063,0.226,0.773,3.71358966727488e-05,"Alas2-202",3.71358966727488e-05,"Down"
5.14800682054603e-10,-2.25936795784861,0.019,0.547,3.95644916186244e-05,"Tpx2-201",3.95644916186244e-05,"Down"
5.36489023025173e-10,-2.86057708037675,0.17,0.703,4.12313273755767e-05,"Smdt1-201",4.12313273755767e-05,"Down"
5.80205002505446e-10,-3.65810449349007,0.075,0.594,4.45910752625535e-05,"Nt5c3-201",4.45910752625535e-05,"Down"
