"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.20696075006677e-31,7.41803329241146,0.833,0.048,2.12087143001733e-27,"Spp1",2.12087143001733e-27,"Up"
1.56201852786246e-30,5.90761176285217,0.8,0.043,2.74477895715992e-26,"Ctss",2.74477895715992e-26,"Up"
2.66443314497987e-28,6.35138098067433,0.667,0.019,4.68194192235862e-24,"Gpnmb",4.68194192235862e-24,"Up"
1.74571338623138e-27,6.17891378466957,0.6,0.01,3.06756756228579e-23,"Trem2",3.06756756228579e-23,"Up"
3.8516405014292e-24,6.00898878322726,0.533,0.01,6.7681026891114e-20,"Aig1",6.7681026891114e-20,"Up"
5.41691171699635e-24,7.78659636189081,0.467,0,9.51859726910599e-20,"Gdf15",9.51859726910599e-20,"Up"
5.41917254172321e-24,7.95652136333312,0.467,0,9.52256999031603e-20,"Atp6v0d2",9.52256999031603e-20,"Up"
4.33909044306568e-23,4.78659636189081,0.667,0.043,7.62464972655502e-19,"Cxcl16",7.62464972655502e-19,"Up"
1.0196139507536e-22,4.52356195605701,0.833,0.116,1.79166563426422e-18,"Mdm2",1.79166563426422e-18,"Up"
1.49239717284954e-22,5.2460279805281,0.533,0.014,2.62244031213121e-18,"Cybb",2.62244031213121e-18,"Up"
2.74537783526259e-22,6.59395128394841,0.467,0.005,4.82417793212343e-18,"Psrc1",4.82417793212343e-18,"Up"
3.09931330360086e-22,5.35294318444462,0.667,0.053,5.44611333708743e-18,"Rgs1",5.44611333708743e-18,"Up"
1.63936819116783e-21,5.05436868673126,0.833,0.13,2.88069778552011e-17,"Apoe",2.88069778552011e-17,"Up"
1.22510879967063e-20,6.59395128394841,0.4,0,2.15276118278123e-16,"Fam20c",2.15276118278123e-16,"Up"
1.25827899806469e-20,7.78659636189081,0.4,0,2.21104785539927e-16,"Mmp12",2.21104785539927e-16,"Up"
1.57043873696111e-20,6.10852445677817,0.433,0.005,2.75957494858806e-16,"Siglec1",2.75957494858806e-16,"Up"
3.53904998177583e-20,4.72519581722666,0.533,0.024,6.21881862797649e-16,"Ctsh",6.21881862797649e-16,"Up"
5.03673965887143e-20,5.10852445677817,0.567,0.034,8.85055892856887e-16,"Plau",8.85055892856887e-16,"Up"
8.67872875008375e-20,5.16510798514454,0.5,0.019,1.52502621596472e-15,"Lhfpl2",1.52502621596472e-15,"Up"
9.1468137805407e-20,4.28909670241999,0.7,0.082,1.60727811751661e-15,"Fcgr2b",1.60727811751661e-15,"Up"
6.09466033969748e-19,5.20163386116965,0.433,0.01,1.07095371489164e-14,"Ahnak2",1.07095371489164e-14,"Up"
8.22494322590469e-19,5.4870360800319,0.4,0.005,1.44528702365597e-14,"Gnptab",1.44528702365597e-14,"Up"
9.26784687904512e-19,4.00898878322726,0.533,0.029,1.62854605358581e-14,"Dab2",1.62854605358581e-14,"Up"
2.1751664131488e-18,4.55213110825378,0.567,0.043,3.82220242118508e-14,"Cdkn1a",3.82220242118508e-14,"Up"
4.42436997240312e-18,4.92409988564074,0.467,0.019,7.77450291550677e-14,"Il7r",7.77450291550677e-14,"Up"
1.09191927898968e-17,5.39540560456633,0.767,0.145,1.91872055704067e-13,"Lyz2",1.91872055704067e-13,"Up"
2.68194922541894e-17,5.00898878322726,0.4,0.01,4.71272117890617e-13,"Gusb",4.71272117890617e-13,"Up"
2.82038700723754e-17,4.07610297908579,0.533,0.039,4.9559840491178e-13,"Cadm1",4.9559840491178e-13,"Up"
3.18840621993995e-17,-11.0311867598837,0,0.952,5.60266740967849e-13,"Hbb-y",5.60266740967849e-13,"Down"
3.50477107376994e-17,-7.18494719205997,0,0.947,6.15858373082854e-13,"H19",6.15858373082854e-13,"Down"
3.54839814779687e-17,-5.51566175285642,0.033,0.976,6.23524522530865e-13,"Hba-a1",6.23524522530865e-13,"Down"
4.37433980361938e-17,-8.80399068802423,0,0.947,7.68658990291998e-13,"Hba-x",7.68658990291998e-13,"Down"
4.48024389646744e-17,3.48320421844087,0.733,0.126,7.87268457487259e-13,"Npc2",7.87268457487259e-13,"Up"
4.76804510933606e-17,-4.68692491166661,0.167,0.971,8.37840886612532e-13,"Prdx2",8.37840886612532e-13,"Down"
5.34687360686212e-17,-5.59818738820255,0.067,0.952,9.39552630197812e-13,"Cntnap5b",9.39552630197812e-13,"Down"
1.27795966250265e-16,5.10852445677817,0.433,0.019,2.24563071894966e-12,"C1qa",2.24563071894966e-12,"Up"
1.41027992642027e-16,-3.04329208275466,0.033,1,2.4781438867057e-12,"Hbb-bs",2.4781438867057e-12,"Down"
1.64264951605649e-16,-2.61105450519099,0.767,0.995,2.88646372961446e-12,"Tpt1",2.88646372961446e-12,"Down"
2.23352989142137e-16,3.82612472607744,0.633,0.082,3.92475872520564e-12,"Cd36",3.92475872520564e-12,"Up"
2.5900759757829e-16,5.14916644127551,0.467,0.029,4.55128150464571e-12,"Lpl",4.55128150464571e-12,"Up"
4.3496218715557e-16,3.49708974469582,0.833,0.193,7.64315555269767e-12,"Ctsd",7.64315555269767e-12,"Up"
1.09802676826443e-15,3.4870360800319,0.6,0.072,1.92945263719426e-11,"Capg",1.92945263719426e-11,"Up"
1.47952754690331e-15,5.4870360800319,0.333,0.005,2.5998258054185e-11,"Aen",2.5998258054185e-11,"Up"
1.75789744019666e-15,3.66106547980695,0.533,0.048,3.08897738191357e-11,"Arhgap24",3.08897738191357e-11,"Up"
1.95311389176847e-15,4.66106547980695,0.433,0.024,3.43201173061556e-11,"C3ar1",3.43201173061556e-11,"Up"
2.31405482158171e-15,3.89093302170554,0.633,0.087,4.06625713248339e-11,"Lrp1",4.06625713248339e-11,"Up"
2.51682583315856e-15,3.55711451576804,0.6,0.072,4.42256635402622e-11,"Dock10",4.42256635402622e-11,"Up"
4.205794395183e-15,2.86530833790485,0.933,0.295,7.39042191121557e-11,"Vim",7.39042191121557e-11,"Up"
4.72004156592988e-15,4.03452387533439,0.467,0.034,8.29405703965199e-11,"Itgax",8.29405703965199e-11,"Up"
7.79553343438027e-15,4.37155886261196,0.4,0.019,1.3698311350893e-10,"Mthfs",1.3698311350893e-10,"Up"
9.82896292838056e-15,2.84317989025717,0.667,0.101,1.72714536577503e-10,"Xist",1.72714536577503e-10,"Up"
1.34138194545798e-14,3.85371055774934,0.6,0.082,2.35707635455876e-10,"H2ac20",2.35707635455876e-10,"Up"
1.95080183043611e-14,4.06670428108354,0.433,0.029,3.42794897644234e-10,"Gpr137b",3.42794897644234e-10,"Up"
2.07303955290375e-14,4.69348695749933,0.367,0.014,3.64274510236248e-10,"Anpep",3.64274510236248e-10,"Up"
2.4731324712965e-14,3.4870360800319,0.567,0.072,4.34578837856221e-10,"Rasgef1b",4.34578837856221e-10,"Up"
2.49501193895775e-14,4.37155886261196,0.367,0.014,4.38423497913656e-10,"Myof",4.38423497913656e-10,"Up"
2.82435631792911e-14,3.40808473863708,0.533,0.058,4.96295892186504e-10,"Top2a",4.96295892186504e-10,"Up"
3.48351905102887e-14,5.14649230697719,0.5,0.048,6.12123967646794e-10,"P2rx7",6.12123967646794e-10,"Up"
4.32764800711679e-14,5.00898878322726,0.333,0.01,7.60454307810562e-10,"Msr1",7.60454307810562e-10,"Up"
5.25349674596071e-14,-7.06359047575497,0,0.841,9.23144448200217e-10,"Hbb-bh1",9.23144448200217e-10,"Down"
5.8206967768536e-14,4.37155886261196,0.4,0.024,1.02281283762871e-09,"Agap1",1.02281283762871e-09,"Up"
8.49080368564838e-14,3.86751635727437,0.633,0.111,1.49200402364213e-09,"Ly6e",1.49200402364213e-09,"Up"
9.21819954570551e-14,4.00898878322726,0.4,0.024,1.61982202417137e-09,"Pld3",1.61982202417137e-09,"Up"
9.4009768636609e-14,-3.77564606233027,0.033,0.889,1.65193965448249e-09,"Hbb-bt",1.65193965448249e-09,"Down"
1.10709324450514e-13,3.88613203544172,0.4,0.024,1.94538424924444e-09,"Ccl6",1.94538424924444e-09,"Up"
2.69827906484196e-13,4.27202318906105,0.367,0.019,4.74141597274028e-09,"P2rx4",4.74141597274028e-09,"Up"
2.70897723995027e-13,-6.58626869822178,0,0.812,4.76021480604062e-09,"Hsd3b6",4.76021480604062e-09,"Down"
3.16993400696484e-13,3.37155886261196,0.467,0.043,5.57020803703862e-09,"Dhrs3",5.57020803703862e-09,"Up"
3.4723589223986e-13,3.37155886261196,0.467,0.043,6.10162909843881e-09,"Dnmt3a",6.10162909843881e-09,"Up"
5.87299189394603e-13,4.06670428108354,0.4,0.029,1.0320021356042e-08,"Hmmr",1.0320021356042e-08,"Up"
5.8733238662159e-13,3.9792414398332,0.4,0.029,1.03206046977146e-08,"Syngr1",1.03206046977146e-08,"Up"
7.04241598639841e-13,4.8569856897822,0.333,0.014,1.23749333712993e-08,"C1qc",1.23749333712993e-08,"Up"
8.96823275316867e-13,4.2460279805281,0.333,0.014,1.5758978593868e-08,"Lgals3bp",1.5758978593868e-08,"Up"
1.16476299521933e-12,3.52356195605701,0.4,0.029,2.0467215351994e-08,"Nav2",2.0467215351994e-08,"Up"
1.71897563755598e-12,4.16510798514454,0.433,0.043,3.02058399031337e-08,"Il1a",3.02058399031337e-08,"Up"
2.2784982191998e-12,4.37155886261196,0.367,0.024,4.00377707077788e-08,"Ccng1",4.00377707077788e-08,"Up"
2.54766396661219e-12,4.00898878322726,0.367,0.024,4.47675512213093e-08,"Bcl2a1d",4.47675512213093e-08,"Up"
2.69724094751897e-12,2.62789861587175,0.767,0.198,4.73959179298034e-08,"Ctsz",4.73959179298034e-08,"Up"
2.72789649571579e-12,3.12363134916838,0.533,0.077,4.79345972227178e-08,"Ctsa",4.79345972227178e-08,"Up"
2.84564592206254e-12,4.10852445677817,0.367,0.024,5.00036901424829e-08,"Rcbtb2",5.00036901424829e-08,"Up"
3.7278651891798e-12,3.3340841571933,0.467,0.053,6.55060471042674e-08,"Creb5",6.55060471042674e-08,"Up"
4.26570704816689e-12,-6.14414097567208,0,0.763,7.49570042503885e-08,"Nudt4",7.49570042503885e-08,"Down"
4.35570709734208e-12,3.78659636189081,0.4,0.034,7.6538485114495e-08,"Myo5a",7.6538485114495e-08,"Up"
4.70850902755709e-12,3.30116953472056,0.467,0.053,8.27379206322332e-08,"Abca1",8.27379206322332e-08,"Up"
5.75112576123438e-12,3.86751635727437,0.567,0.106,1.0105878187641e-07,"Cyba",1.0105878187641e-07,"Up"
6.55317933973533e-12,2.72246602447109,0.567,0.087,1.15152467357829e-07,"Zfand2a",1.15152467357829e-07,"Up"
7.22550942160482e-12,4.63459326844576,0.333,0.019,1.2696665155644e-07,"Gas2l3",1.2696665155644e-07,"Up"
7.22738027682678e-12,5.41886457739032,0.333,0.019,1.269995262244e-07,"Snhg15",1.269995262244e-07,"Up"
7.30366996825706e-12,3.4100330104266,0.767,0.3,1.28340088682213e-07,"B2m",1.28340088682213e-07,"Up"
1.03826368141159e-11,-3.16759994849607,0.133,0.855,1.82443694097644e-07,"Gpx1",1.82443694097644e-07,"Down"
1.31124413824757e-11,3.47847406652847,0.467,0.058,2.30411819972863e-07,"Exoc4",2.30411819972863e-07,"Up"
1.46235420984193e-11,3.74079267227768,0.433,0.048,2.56964881753423e-07,"H1f1",2.56964881753423e-07,"Up"
1.57250256738288e-11,-1.94275604816552,0.133,0.86,2.76320151140519e-07,"Alas2",2.76320151140519e-07,"Down"
2.2776816476749e-11,3.52356195605701,0.467,0.063,4.00234219129433e-07,"Apobec1",4.00234219129433e-07,"Up"
4.75720811499875e-11,3.44956137461324,0.433,0.053,8.3593660996758e-07,"Ass1",8.3593660996758e-07,"Up"
6.46884444894869e-11,-3.26868607361038,0.1,0.797,1.13670534656926e-06,"Mkrn1",1.13670534656926e-06,"Down"
7.06322709150088e-11,3.95652136333312,0.367,0.034,1.24115026451853e-06,"Cd68",1.24115026451853e-06,"Up"
9.28162601617564e-11,3.66106547980695,0.333,0.024,1.63096732356238e-06,"Cerk",1.63096732356238e-06,"Up"
1.01761938650006e-10,3.56420394055436,0.333,0.024,1.78816078595791e-06,"Icam1",1.78816078595791e-06,"Up"
1.11077326840241e-10,-1.59372352778836,0.1,0.831,1.95185078723672e-06,"Slc25a37",1.95185078723672e-06,"Down"
1.62221268980582e-10,3.78659636189081,0.433,0.058,2.85055213852678e-06,"Pde7b",2.85055213852678e-06,"Up"
2.07467848792643e-10,2.97669924527075,0.833,0.396,3.64562503898433e-06,"Psap",3.64562503898433e-06,"Up"
3.18590338370653e-10,3.47847406652847,0.533,0.101,5.59826942584911e-06,"Ctsl",5.59826942584911e-06,"Up"
3.54233717441075e-10,3.12219939367525,0.567,0.121,6.22459488287457e-06,"Mid1",6.22459488287457e-06,"Up"
4.6025900136825e-10,2.53330993260858,0.833,0.42,8.08767117204289e-06,"H2-K1",8.08767117204289e-06,"Up"
5.18103785169024e-10,2.86905852208278,0.467,0.072,9.10411971299009e-06,"Fcer1g",9.10411971299009e-06,"Up"
5.38375231486426e-10,3.15856513927776,0.467,0.077,9.46032956767948e-06,"Lrpap1",9.46032956767948e-06,"Up"
6.00568226162831e-10,3.31711107858959,0.367,0.039,1.05531848701333e-05,"Rgl1",1.05531848701333e-05,"Up"
7.60399871965031e-10,3.0276044613946,0.367,0.039,1.33617465501695e-05,"Irf7",1.33617465501695e-05,"Up"
8.63783356931435e-10,3.0496307677246,0.367,0.039,1.51784011479992e-05,"Wdr91",1.51784011479992e-05,"Up"
1.10681341349894e-09,4.27027552677478,0.867,0.454,1.94489253020033e-05,"D130009I18Rik",1.94489253020033e-05,"Up"
1.25683736825012e-09,2.72770267283724,0.533,0.111,2.20851462348911e-05,"H2-Q4",2.20851462348911e-05,"Up"
1.28891681308038e-09,3.25608164519203,0.4,0.053,2.26488462394485e-05,"Ctsc",2.26488462394485e-05,"Up"
2.1962840258618e-09,3.32716474325351,0.367,0.043,3.85931029024435e-05,"Rcan1",3.85931029024435e-05,"Up"
2.45686988211823e-09,3.70413420169883,0.333,0.034,4.31721175685816e-05,"Pmaip1",4.31721175685816e-05,"Up"
2.52079757096994e-09,2.72246602447109,0.5,0.097,4.42954549170838e-05,"Tns3",4.42954549170838e-05,"Up"
3.21071767202094e-09,3.2460279805281,0.333,0.034,5.6418730932752e-05,"Pnpla7",5.6418730932752e-05,"Up"
3.32639068883115e-09,3.20163386116965,0.333,0.034,5.84513371841409e-05,"Hexa",5.84513371841409e-05,"Up"
3.38426799956584e-09,2.84799690655495,0.467,0.082,5.9468357288371e-05,"Ahnak",5.9468357288371e-05,"Up"
3.45702667211091e-09,2.45539045341543,0.633,0.179,6.07468726823329e-05,"App",6.07468726823329e-05,"Up"
3.5109195556994e-09,3.28409602136162,0.433,0.072,6.16938784327498e-05,"Timp2",6.16938784327498e-05,"Up"
4.03005817900947e-09,3.17361948500005,0.4,0.058,7.08161823215544e-05,"Hal",7.08161823215544e-05,"Up"
4.28379474428335e-09,2.56032050606713,0.667,0.227,7.5274841246547e-05,"Arhgap21",7.5274841246547e-05,"Up"
5.33386945057061e-09,3.01607820801357,0.533,0.126,9.37267539854267e-05,"Fcgr3",9.37267539854267e-05,"Up"
6.52984154284677e-09,2.93859945533586,0.4,0.058,0.000114742375590903,"Cebpa",0.000114742375590903,"Up"
6.56133795285619e-09,3.28909670241999,0.367,0.048,0.000115295830507589,"Clec4n",0.000115295830507589,"Up"
6.90821237621018e-09,2.49114047836464,0.533,0.121,0.000121391107874765,"Mpeg1",0.000121391107874765,"Up"
7.50387252725794e-09,3.27202318906105,0.4,0.063,0.000131858048048976,"Grn",0.000131858048048976,"Up"
8.82634466122711e-09,3.2460279805281,0.4,0.063,0.000155096528387083,"Lrmda",0.000155096528387083,"Up"
9.57097961988856e-09,2.51650719852306,0.533,0.116,0.000168181253880682,"H3c11",0.000168181253880682,"Up"
1.00511648505196e-08,-5.02718482932623,0,0.604,0.00017661906875333,"Car2",0.00017661906875333,"Down"
1.04972495902555e-08,2.54148386405428,0.533,0.121,0.00018445766979997,"Ifi207",0.00018445766979997,"Up"
1.07359115547541e-08,2.73768676140986,0.533,0.13,0.000188651437840139,"Laptm5",0.000188651437840139,"Up"
1.1783893096867e-08,3.20163386116965,0.333,0.039,0.000207066569498147,"Eps8",0.000207066569498147,"Up"
1.24537539740553e-08,1.98404242609702,0.733,0.266,0.0002188373648321,"Lamp1",0.0002188373648321,"Up"
1.29504211078619e-08,2.78659636189081,0.467,0.092,0.00022756479970735,"Sirpa",0.00022756479970735,"Up"
1.48253339320915e-08,2.62374588620876,0.8,0.464,0.000260510767854712,"Lgals3",0.000260510767854712,"Up"
1.66845435000744e-08,-3.0911478880582,0.133,0.696,0.000293180798383307,"Grik3",0.000293180798383307,"Down"
1.7394688743527e-08,2.19241533114027,0.667,0.227,0.000305659470601257,"H3c2",0.000305659470601257,"Up"
2.46380991672969e-08,2.30116953472056,0.633,0.227,0.000432940678567742,"Itm2b",0.000432940678567742,"Up"
3.17254194192185e-08,3.08915913191124,0.5,0.126,0.000557479070034508,"Cd14",0.000557479070034508,"Up"
