"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.14092227263913e-13,-4.70029014631566,0.3,1,2.00482861748147e-09,"Zfp791",2.00482861748147e-09,"Down"
6.79431950910142e-13,5.67901085408225,0.8,0.038,1.1938978241393e-08,"Ctss",1.1938978241393e-08,"Up"
8.35662809360195e-12,5.80039009289564,0.833,0.113,1.46842668860773e-07,"Spp1",1.46842668860773e-07,"Up"
2.12441910318837e-11,5.49345520092618,0.7,0.019,3.7330292481226e-07,"Fcgr2b",3.7330292481226e-07,"Up"
2.64775495754999e-11,4.14295795384204,0.833,0.132,4.65263501140684e-07,"Mdm2",4.65263501140684e-07,"Up"
5.79668698271514e-11,3.82102985895468,0.833,0.113,1.0185938366027e-06,"Ctsd",1.0185938366027e-06,"Up"
1.01993323033244e-10,5.97077697845936,0.667,0.019,1.79222667234017e-06,"Gpnmb",1.79222667234017e-06,"Up"
5.15766734393837e-10,3.43993969159917,0.767,0.094,9.0630530567685e-06,"Ctsz",9.0630530567685e-06,"Up"
1.72613399325687e-09,5.21334728173344,0.6,0.019,3.03316265295097e-05,"Trem2",3.03316265295097e-05,"Up"
3.69531699168866e-09,-1.71918441439866,0.933,1,6.49341101779532e-05,"Itga9",6.49341101779532e-05,"Down"
4.79516842646923e-09,5.28046147759198,0.533,0,8.42606995899174e-05,"Arhgap24",8.42606995899174e-05,"Up"
5.31008590648237e-09,5.62838478101229,0.533,0,9.33088295487082e-05,"Aig1",9.33088295487082e-05,"Up"
6.34235425862955e-09,5.60238957247934,0.567,0.019,0.000111447849032638,"Cyba",0.000111447849032638,"Up"
7.17735901591726e-09,4.90849270020502,0.567,0.019,0.000126120552627698,"Cdkn1a",0.000126120552627698,"Up"
1.17241809856398e-08,4.08781639964958,0.667,0.094,0.000206017308279663,"Rgs1",0.000206017308279663,"Up"
1.27406182348462e-08,3.13391281423904,0.8,0.226,0.000223878143622717,"Lgals3",0.000223878143622717,"Up"
1.93135385280055e-08,5.52146957709577,0.5,0,0.000339377499014112,"Lhfpl2",0.000339377499014112,"Up"
2.37840105817295e-08,3.70855512969627,0.633,0.075,0.000417932633942151,"Cd36",0.000417932633942151,"Up"
3.03220306024834e-08,4.28046147759198,0.533,0.019,0.000532818721746838,"Cadm1",0.000532818721746838,"Up"
3.03526463467565e-08,4.34459181501169,0.533,0.019,0.000533356701605205,"Ctsh",0.000533356701605205,"Up"
3.6178437304292e-08,3.52146957709577,0.6,0.057,0.000635727500311018,"Capg",0.000635727500311018,"Up"
5.58297221358904e-08,-2.15734012507378,0.567,0.943,0.000981039877371867,"Actb",0.000981039877371867,"Down"
6.07437453717545e-08,3.14295795384204,0.667,0.094,0.00106738909367247,"Cxcl16",0.00106738909367247,"Up"
6.71952627632297e-08,5.06895737239827,0.467,0,0.00118075515727547,"Itgax",0.00118075515727547,"Up"
7.11796542481265e-08,5.46488604872941,0.467,0,0.00125076888444808,"Apobec1",0.00125076888444808,"Up"
8.47402613854956e-08,2.96787124728395,0.667,0.113,0.00148905587306593,"Itgb2",0.00148905587306593,"Up"
1.1059259027875e-07,-6.33884147782371,0,0.623,0.0019433329963782,"H19",0.0019433329963782,"Down"
1.11748449011635e-07,6.08781639964958,0.5,0.019,0.00196364374603246,"P2rx7",0.00196364374603246,"Up"
1.35699654948632e-07,2.4687281150238,0.733,0.151,0.00238451433675736,"Npc2",0.00238451433675736,"Up"
1.41693022254272e-07,3.01480160235136,0.833,0.302,0.00248982978705207,"Apoe",0.00248982978705207,"Up"
1.6405488875791e-07,3.69549897687082,0.533,0.038,0.002882772505254,"Cybb",0.002882772505254,"Up"
1.73416629562901e-07,2.48845451986781,0.767,0.17,0.0030472770146793,"Ctsb",0.0030472770146793,"Up"
1.99169841282304e-07,3.50552803322675,0.567,0.057,0.00349981245101264,"Plau",0.00349981245101264,"Up"
2.39815464565617e-07,3.78450398292957,0.533,0.038,0.00421403734334702,"Ftl1-ps1",0.00421403734334702,"Up"
2.61501303129733e-07,2.35154457565346,0.667,0.113,0.00459510089859567,"Xist",0.00459510089859567,"Up"
3.45962001162042e-07,4.99095486039699,0.467,0.019,0.0060792442844194,"Atp6v0d2",0.0060792442844194,"Up"
3.59221796407054e-07,4.62838478101229,0.467,0.019,0.00631224540646475,"Psrc1",0.00631224540646475,"Up"
3.60235761807216e-07,4.99095486039699,0.467,0.019,0.0063300628064764,"Lpl",0.0063300628064764,"Up"
3.71110850709071e-07,4.82102985895468,0.467,0.019,0.0065211598686598,"Gdf15",0.0065211598686598,"Up"
4.10838053639368e-07,4.28046147759198,0.467,0.019,0.00721924627855098,"Il7r",0.00721924627855098,"Up"
4.16852236821096e-07,3.51910643972729,0.767,0.264,0.0073249275054203,"Lyz2",0.0073249275054203,"Up"
4.23266602229188e-07,4.06895737239827,0.467,0.019,0.00743764073437129,"Pik3r5",0.00743764073437129,"Up"
