"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.17576662512886e-34,6.90031475462366,1,0.094,2.06605711367644e-30,"Zfp791",2.06605711367644e-30,"Up"
9.31586932689978e-28,4.9139892158595,1,0.477,1.63698455812283e-23,"Itga9",1.63698455812283e-23,"Up"
1.02464615715428e-25,5.13601799586077,0.868,0.133,1.8005082273515e-21,"Tmtc2",1.8005082273515e-21,"Up"
7.62149914896123e-23,4.50613488429883,0.887,0.242,1.33924983045547e-18,"D130009I18Rik",1.33924983045547e-18,"Up"
1.48110172681766e-22,4.74225087898676,0.925,0.375,2.60259195436399e-18,"Jarid2",2.60259195436399e-18,"Up"
1.49292201055311e-22,3.08485745987485,1,0.984,2.62336255694392e-18,"Peak1",2.62336255694392e-18,"Up"
5.86113990205947e-20,2.66114998056367,1,1,1.02991950358989e-15,"Zc3h7a",1.02991950358989e-15,"Up"
1.30704180599712e-19,-3.69431206192038,0.208,0.891,2.29673386149813e-15,"Car2",2.29673386149813e-15,"Down"
3.30471183043875e-19,-2.90198518636644,0.396,0.93,5.80703962844698e-15,"Prdx2",5.80703962844698e-15,"Down"
3.66014465967458e-19,-2.84098311904983,0.226,0.938,6.43160619598017e-15,"Alas2",6.43160619598017e-15,"Down"
5.84282763734168e-19,-3.67847906165293,0.283,0.883,1.02670167243368e-14,"Hbb-y",1.02670167243368e-14,"Down"
7.53284313502666e-19,-3.53244933254204,0.34,0.922,1.32367119568689e-14,"Hba-x",1.32367119568689e-14,"Down"
1.44346420916206e-18,-3.23778150004364,0.208,0.898,2.53645530833957e-14,"Nudt4",2.53645530833957e-14,"Down"
1.97130524976512e-18,-2.63721354038702,0.245,0.961,3.46397758488727e-14,"Slc25a37",3.46397758488727e-14,"Down"
1.68134703952329e-17,-3.55573947918052,0.264,0.875,2.95446301785032e-13,"Hbb-bh1",2.95446301785032e-13,"Down"
2.24473597712795e-17,4.75750637260704,0.566,0.031,3.94445005900923e-13,"Gnb1l",3.94445005900923e-13,"Up"
2.45772996234095e-17,-3.50402444263636,0.132,0.844,4.31872308982552e-13,"Spta1",4.31872308982552e-13,"Down"
7.15706273772661e-17,-3.85720347150817,0.113,0.812,1.25763906427332e-12,"Hemgn",1.25763906427332e-12,"Down"
2.48698747586791e-16,-3.46527803216909,0.321,0.852,4.37013439259509e-12,"Mki67",4.37013439259509e-12,"Down"
1.26458326381857e-15,-2.28137198253914,0.264,0.891,2.22212571118199e-11,"Ucp2",2.22212571118199e-11,"Down"
2.17355838749601e-15,2.36382211406438,0.906,0.508,3.819376798508e-11,"Camk1d",3.819376798508e-11,"Up"
9.36000473108668e-15,-2.20904714429982,0.208,0.852,1.64474003134655e-10,"Slc4a1",1.64474003134655e-10,"Down"
1.08255910381676e-14,-2.9205655325056,0.094,0.805,1.90227285722682e-10,"Cpox",1.90227285722682e-10,"Down"
1.76116479273495e-14,-4.16254868219992,0.057,0.711,3.09471877379386e-10,"Tspan33",3.09471877379386e-10,"Down"
2.27767662757345e-14,-2.26397335480341,0.17,0.891,4.00233336997207e-10,"Fech",4.00233336997207e-10,"Down"
5.30292852686964e-14,3.42735777091471,0.66,0.156,9.31830600741533e-10,"Tlcd4",9.31830600741533e-10,"Up"
5.41363019301328e-13,-4.26189902656555,0.038,0.648,9.51283097516294e-09,"Kel",9.51283097516294e-09,"Down"
6.33455697341572e-13,-1.47771008908699,0.509,0.938,1.11310835136861e-08,"Pabpc1",1.11310835136861e-08,"Down"
6.83266953664409e-13,-1.79566506119903,0.415,0.898,1.2006366909791e-08,"H3f3a",1.2006366909791e-08,"Down"
9.17040559579249e-13,-3.37753591362661,0.057,0.688,1.61142367129266e-08,"Hsd3b6",1.61142367129266e-08,"Down"
1.52957167050328e-12,-3.12785106145183,0.132,0.719,2.68776333940836e-08,"St6galnac3",2.68776333940836e-08,"Down"
1.97807278404578e-12,-3.49345520092618,0.075,0.664,3.47586949612524e-08,"Rbm38",3.47586949612524e-08,"Down"
3.00120634083171e-12,-3.05883733267782,0.094,0.695,5.27371978210949e-08,"Slc39a8",5.27371978210949e-08,"Down"
4.32036759848907e-12,-3.10342958965541,0.245,0.742,7.591749944065e-08,"H2ac15",7.591749944065e-08,"Down"
4.72959586431778e-12,-3.31288295528436,0.057,0.648,8.3108458527792e-08,"Ank1",8.3108458527792e-08,"Down"
1.7441918880797e-11,-3.47208155013361,0.075,0.633,3.06489398573364e-07,"Gypa",3.06489398573364e-07,"Down"
3.05386266366759e-11,3.69529097616134,0.491,0.078,5.36624747259668e-07,"Mphosph8",5.36624747259668e-07,"Up"
3.75103859141484e-11,-3.37177664433792,0.057,0.617,6.59132501283415e-07,"Alad",6.59132501283415e-07,"Down"
4.98730369773788e-11,-1.34433259390941,0.491,0.977,8.763690057665e-07,"Hba-a1",8.763690057665e-07,"Down"
