"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.19649861945195e-108,-1.11211247208516,0.959,0.996,3.50574095499423e-106,"Smad3",3.50574095499423e-106,"Down"
9.25979929567725e-100,1.27937246853152,0.998,0.947,2.71312119363344e-97,"Tbp",2.71312119363344e-97,"Up"
9.76233234515693e-95,1.3462914676133,0.998,0.927,2.86036337713098e-92,"Pou2f3",2.86036337713098e-92,"Up"
1.59224798890523e-74,1.4937160066559,0.941,0.687,4.66528660749232e-72,"Ctcf",4.66528660749232e-72,"Up"
8.0974118824999e-67,-1.19019120679291,0.661,0.929,2.37254168157247e-64,"Bcl6",2.37254168157247e-64,"Down"
1.07896966994069e-66,1.02582640256605,0.952,0.67,3.16138113292623e-64,"Sox6",3.16138113292623e-64,"Up"
2.43564172869465e-53,-1.56891956509576,0.3,0.741,7.13643026507533e-51,"Zfp263",7.13643026507533e-51,"Down"
9.25327896551963e-52,1.43561754798827,0.764,0.348,2.71121073689725e-49,"Nfia",2.71121073689725e-49,"Up"
3.79302988016895e-50,1.41194581707924,0.743,0.361,1.1113577548895e-47,"Zbtb16",1.1113577548895e-47,"Up"
2.97229461334897e-46,1.44668811904501,0.73,0.389,8.70882321711247e-44,"Snd1",8.70882321711247e-44,"Up"
1.03030418763534e-41,1.34786473905231,0.88,0.604,3.01879126977155e-39,"Zfp64",3.01879126977155e-39,"Up"
3.77725995759569e-39,1.12602265103936,0.532,0.17,1.10673716757554e-36,"Zbtb40",1.10673716757554e-36,"Up"
1.87876398742861e-35,1.10214478454374,0.88,0.636,5.50477848316584e-33,"Creb3l2",5.50477848316584e-33,"Up"
4.99464059859267e-30,1.06948842271579,0.652,0.312,1.46342969538765e-27,"Tcf21",1.46342969538765e-27,"Up"
2.46925458597439e-25,1.19484346711123,0.768,0.565,7.23491593690496e-23,"Sox17",7.23491593690496e-23,"Up"
5.31245811119119e-15,1.03708731545149,0.593,0.442,1.55655022657902e-12,"Cebpg",1.55655022657902e-12,"Up"
