"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.63393743711671e-146,-1.20596078088765,1,1,1.0647436690752e-143,"Ybx1",1.0647436690752e-143,"Down"
2.2758141269924e-129,-1.85572795626487,0.851,0.998,6.66813539208772e-127,"Tbp",6.66813539208772e-127,"Down"
1.369054648098e-126,-1.42342108790469,0.99,1,4.01133011892715e-124,"Myc",4.01133011892715e-124,"Down"
2.79575153067607e-111,-2.56441625554448,0.495,0.941,8.1915519848809e-109,"Ctcf",8.1915519848809e-109,"Down"
1.1199488417347e-108,1.10530894277851,1,1,3.28145010628266e-106,"Irf9",3.28145010628266e-106,"Up"
6.69060454882834e-106,-1.42660658157185,0.915,0.998,1.9603471328067e-103,"Hcfc1",1.9603471328067e-103,"Down"
6.41012884493985e-94,-1.23860505793728,0.943,1,1.87816775156738e-91,"Tfdp1",1.87816775156738e-91,"Down"
2.91830127994921e-89,-1.14328558165819,0.96,1,8.55062275025119e-87,"E2f4",8.55062275025119e-87,"Down"
2.03536872111818e-88,-1.48166482789517,0.791,0.986,5.96363035287626e-86,"Gfi1b",5.96363035287626e-86,"Down"
4.46417676433872e-88,-1.26709493259821,0.976,0.998,1.30800379195124e-85,"Elf3",1.30800379195124e-85,"Down"
3.62493218783509e-86,-1.54772890530137,0.723,0.998,1.06210513103568e-83,"Pou2f3",1.06210513103568e-83,"Down"
3.22406389129222e-84,-1.7456931358747,0.614,0.927,9.44650720148619e-82,"Zfp42",9.44650720148619e-82,"Down"
1.21579995489523e-79,-1.38863396006922,0.529,0.952,3.56229386784302e-77,"Sox6",3.56229386784302e-77,"Down"
2.72652813600317e-75,-1.39524066614866,0.844,0.957,7.98872743848929e-73,"Cxxc1",7.98872743848929e-73,"Down"
1.22515295794921e-72,1.12212025499427,1,1,3.58969816679119e-70,"Stat6",3.58969816679119e-70,"Up"
8.01493847086019e-71,1.18746590724531,1,1,2.34837697196204e-68,"Fosl2",2.34837697196204e-68,"Up"
8.66245095488222e-71,-1.41431301264999,0.804,0.984,2.53809812978049e-68,"Tfap2c",2.53809812978049e-68,"Down"
1.07674047835467e-67,1.0512035350302,1,1,3.15484960157919e-65,"Cebpb",3.15484960157919e-65,"Up"
1.50683026230292e-67,-1.08706580918442,0.858,0.998,4.41501266854754e-65,"Sfpq",4.41501266854754e-65,"Down"
4.26903699108093e-67,-1.00969024628795,0.976,1,1.25082783838671e-64,"Klf1",1.25082783838671e-64,"Down"
7.38861792065729e-61,1.36657362913823,0.998,0.959,2.16486505075258e-58,"Smad3",2.16486505075258e-58,"Up"
2.20603459197627e-59,2.00995497275979,0.844,0.575,6.46368135449048e-57,"Zkscan6",6.46368135449048e-57,"Up"
1.27536760232293e-54,1.0179128925121,0.931,0.645,3.73682707480617e-52,"Patz1",3.73682707480617e-52,"Up"
5.401403910987e-54,-1.04473018716813,0.965,0.977,1.58261134591919e-51,"Cdx2",1.58261134591919e-51,"Down"
2.66712635600856e-49,1.12858923866557,1,0.936,7.81468022310508e-47,"Runx2",7.81468022310508e-47,"Up"
4.89555472880897e-49,1.09464320788929,0.9,0.95,1.43439753554103e-46,"Klf3",1.43439753554103e-46,"Up"
2.87885433238165e-44,1.60925444519179,0.694,0.3,8.43504319387823e-42,"Zfp263",8.43504319387823e-42,"Up"
1.10043775858718e-43,-1.20491646662834,0.685,0.936,3.22428263266044e-41,"Arid3a",3.22428263266044e-41,"Down"
1.64312967439333e-38,-1.31619821601464,0.569,0.88,4.81436994597246e-36,"Zfp64",4.81436994597246e-36,"Down"
7.27941526964289e-34,-1.66694083141676,0.173,0.507,2.13286867400537e-31,"Hltf",2.13286867400537e-31,"Down"
1.82492300095463e-31,1.09366596093765,0.881,0.709,5.34702439279708e-29,"Zfp639",5.34702439279708e-29,"Up"
5.67358949757346e-29,-1.12970302167269,0.619,0.802,1.66236172278902e-26,"Gata3",1.66236172278902e-26,"Down"
1.60175417262203e-22,-1.30376737728811,0.478,0.648,4.69313972578255e-20,"Aebp2",4.69313972578255e-20,"Down"
9.67431613140645e-16,-1.4640448760625,0.157,0.359,2.83457462650209e-13,"E2f6",2.83457462650209e-13,"Down"
8.32299248858106e-14,-1.17132965895135,0.298,0.473,2.43863679915425e-11,"Zbtb17",2.43863679915425e-11,"Down"
2.7572544138924e-12,-1.2658475447201,0.249,0.416,8.07875543270474e-10,"Nr6a1",8.07875543270474e-10,"Down"
1.04450018528528e-08,-1.12084316967202,0.232,0.361,3.06038554288586e-06,"Mettl14",3.06038554288586e-06,"Down"
