"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.93846471114467e-124,2.85436149201914,0.966,0.723,1.48978766910313e-119,"Tpt1-201",1.48978766910313e-119,"Up"
2.23132391174083e-94,-2.96769058158859,0.345,0.84,1.71486167912929e-89,"Il1b-201",1.71486167912929e-89,"Down"
2.38258571678137e-88,-2.59209489292632,0.432,0.876,1.83111242677515e-83,"Ccrl2-201",1.83111242677515e-83,"Down"
2.86164068141613e-82,-3.62693483459529,0.027,0.607,2.19928532929556e-77,"Ftl1-203",2.19928532929556e-77,"Down"
1.00102268818762e-81,-2.95092008093353,0.191,0.764,7.69325976779716e-77,"Rab7-204",7.69325976779716e-77,"Down"
4.64404900201701e-80,-2.725841803681,0.245,0.769,3.56913742001015e-75,"Acod1-201",3.56913742001015e-75,"Down"
1.78317326731275e-79,-2.99459586265663,0.155,0.71,1.37043998286054e-74,"Lcp1-209",1.37043998286054e-74,"Down"
1.09334663227797e-78,-3.10547138451081,0.145,0.694,8.40280620770908e-74,"Lcp1-206",8.40280620770908e-74,"Down"
1.24343014274047e-77,3.38672565274756,0.75,0.349,9.5562580190176e-73,"Prdx2-201",9.5562580190176e-73,"Up"
1.47503238282697e-76,-1.94694372473807,0.423,0.872,1.13362138749784e-71,"Ubc-203",1.13362138749784e-71,"Down"
8.45810496034361e-75,-2.86735649179242,0.252,0.737,6.50039198622248e-70,"Hcar2-201",6.50039198622248e-70,"Down"
9.7253698293452e-74,-2.61266455312538,0.218,0.728,7.47433572864496e-69,"Slfn2-201",7.47433572864496e-69,"Down"
8.56939897885843e-71,-1.97844830757453,0.48,0.882,6.58592589121186e-66,"Nfkbia-201",6.58592589121186e-66,"Down"
2.47751238949654e-70,-1.7213935348699,0.482,0.898,1.90406737182367e-65,"Ubc-202",1.90406737182367e-65,"Down"
2.12620299299718e-68,-2.20800386125906,0.223,0.76,1.63407204823805e-63,"Rab7-203",1.63407204823805e-63,"Down"
3.96172850757951e-67,-2.15238871679614,0.205,0.73,3.04474682721516e-62,"Rab7-202",3.04474682721516e-62,"Down"
4.84378767090502e-67,2.04165397654719,0.543,0.111,3.72264457659734e-62,"Hsd3b6-201",3.72264457659734e-62,"Up"
1.81886412859136e-66,-3.03965080332177,0.155,0.666,1.3978698373876e-61,"Il1r2-201",1.3978698373876e-61,"Down"
6.19469859565245e-65,-2.68375823661757,0.177,0.688,4.76087365870273e-60,"Rab7-201",4.76087365870273e-60,"Down"
2.16708625589213e-64,-3.51472590609302,0.084,0.582,1.66549247110334e-59,"Cxcr4-201",1.66549247110334e-59,"Down"
2.89867332987291e-64,2.93089252224252,0.618,0.229,2.22774640094053e-59,"Set-201",2.22774640094053e-59,"Up"
1.00058432769135e-63,3.61483403729188,0.57,0.184,7.68989079203908e-59,"Gpx1-201",7.68989079203908e-59,"Up"
3.54487266254561e-63,-2.79640687665558,0.036,0.532,2.7243764360728e-58,"Ftl1-202",2.7243764360728e-58,"Down"
1.43957546636175e-62,-1.78942696391168,0.459,0.852,1.10637132891766e-57,"Mxd1-201",1.10637132891766e-57,"Down"
4.42722180512337e-61,-1.55781259943613,0.534,0.894,3.40249704610951e-56,"Btg1-201",3.40249704610951e-56,"Down"
1.63796073564078e-59,-2.82572354589284,0.127,0.603,1.25883834376937e-54,"Plek-201",1.25883834376937e-54,"Down"
5.61958012170421e-59,-1.96031448958143,0.552,0.888,4.31887210673455e-54,"Actg1-204",4.31887210673455e-54,"Down"
2.02396408143582e-58,-2.67556630011746,0.302,0.739,1.55549735514669e-53,"Cd44-201",1.55549735514669e-53,"Down"
1.39950194610616e-57,1.94783380327525,0.814,0.573,1.07557322566043e-52,"Lars2-209",1.07557322566043e-52,"Up"
2.90769705908425e-57,1.9397406693046,0.814,0.574,2.23468149778861e-52,"Lars2-201",2.23468149778861e-52,"Up"
4.0489465862992e-57,-1.98123311844382,0.432,0.817,3.11177740943439e-52,"Ccrl2-203",3.11177740943439e-52,"Down"
5.41711962305681e-57,-2.24290582959474,0.214,0.691,4.16327311510408e-52,"Plek-202",4.16327311510408e-52,"Down"
1.0256096486879e-56,2.5182271911813,0.664,0.312,7.88222039402596e-52,"Mkrn1-201",7.88222039402596e-52,"Up"
1.59324767667373e-54,3.79571385720733,0.436,0.091,1.22447456943083e-49,"Gpx4-202",1.22447456943083e-49,"Up"
2.21332855242027e-54,-2.51713117701088,0.18,0.632,1.70103152567707e-49,"Clec7a-203",1.70103152567707e-49,"Down"
3.94774662000725e-53,-2.53526565734244,0.136,0.588,3.03400118734037e-48,"Kdm6b-201",3.03400118734037e-48,"Down"
5.05993491702691e-53,3.30572834471668,0.52,0.184,3.88876238113186e-48,"Smdt1-201",3.88876238113186e-48,"Up"
4.09844203850361e-52,1.23380819777875,0.889,0.674,3.14981664427157e-47,"Ftl1-ps1-202",3.14981664427157e-47,"Up"
7.28305185469345e-52,-2.47788103118068,0.127,0.582,5.59731667240611e-47,"Entpd1-201",5.59731667240611e-47,"Down"
2.05305831176779e-51,-1.01673999258747,0.93,0.989,1.57785743492602e-46,"Actb-201",1.57785743492602e-46,"Down"
9.27761580197817e-50,-2.40342392293744,0.145,0.575,7.1302188484523e-45,"Ptafr-201",7.1302188484523e-45,"Down"
9.51039615002268e-50,3.52307365023854,0.425,0.1,7.30911985713843e-45,"Cox6c-201",7.30911985713843e-45,"Up"
2.15566999656064e-49,-2.31418007270711,0.3,0.707,1.65671861915671e-44,"Cd44-207",1.65671861915671e-44,"Down"
3.62169894781955e-49,-2.13327351495205,0.207,0.628,2.78342050935724e-44,"Msn-201",2.78342050935724e-44,"Down"
7.79687181733613e-48,-2.21273318240989,0.202,0.624,5.99220786649551e-43,"Cd14-201",5.99220786649551e-43,"Down"
2.80963558604425e-47,-2.90816583159134,0.161,0.563,2.15931733329845e-42,"Slc7a11-201",2.15931733329845e-42,"Down"
6.46556629235686e-47,-2.67541615560846,0.125,0.531,4.96904631832794e-42,"Lcp1-202",4.96904631832794e-42,"Down"
7.03722880588792e-46,-2.54477875569833,0.286,0.687,5.4083918264771e-41,"Cd44-203",5.4083918264771e-41,"Down"
3.94163811347457e-45,2.12685477378952,0.591,0.264,3.02930655572975e-40,"Hnrnpab-203",3.02930655572975e-40,"Up"
5.56218617037227e-45,-1.07414461021193,0.889,0.991,4.2747625593779e-40,"Srgn-201",4.2747625593779e-40,"Down"
1.82258366588887e-44,-2.30841402731104,0.098,0.508,1.40072845058224e-39,"Snap23-201",1.40072845058224e-39,"Down"
