"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.88213470261744e-119,-3.54155745170351,0.4,0.92,5.28919580434961e-114,"Ptma-201",5.28919580434961e-114,"Down"
1.82826689288556e-103,-2.85392737247306,0.777,0.966,1.40509623785827e-98,"Tpt1-201",1.40509623785827e-98,"Down"
8.11503286253341e-87,-9.02036264173332,0.007,0.543,6.23672735617143e-82,"Hsd3b6-201",6.23672735617143e-82,"Down"
1.50967502885103e-86,-5.5395751495915,0.066,0.618,1.16024564667317e-81,"Set-201",1.16024564667317e-81,"Down"
1.12019856461344e-81,-3.72162922813223,0.23,0.732,8.60917404848012e-77,"Rack1-201",8.60917404848012e-77,"Down"
1.56874172501999e-81,-5.53714495029577,0.28,0.75,1.20564076534686e-76,"Prdx2-201",1.20564076534686e-76,"Down"
5.35474127414795e-77,-4.41284270360081,0.204,0.698,4.11533285883367e-72,"Ppia-202",4.11533285883367e-72,"Down"
1.13976754336133e-70,3.91735247664224,0.689,0.155,8.7595694777492e-66,"Il1r2-201",8.7595694777492e-66,"Up"
4.59863088223859e-65,3.85127319302669,0.644,0.127,3.53423177823565e-60,"Entpd1-201",3.53423177823565e-60,"Up"
1.19274987832143e-62,3.22715251009932,0.666,0.155,9.16675991485152e-58,"Lcp1-209",9.16675991485152e-58,"Up"
5.93960844411386e-62,3.3162359476631,0.606,0.093,4.56482667363927e-57,"Ncf2-202",4.56482667363927e-57,"Up"
1.07645905136297e-61,3.66671728067663,0.63,0.127,8.27301839334499e-57,"Antxr2-201",8.27301839334499e-57,"Up"
6.89754486248884e-61,3.28853737897629,0.6,0.093,5.30103912861718e-56,"Ncf2-201",5.30103912861718e-56,"Up"
2.98529186698508e-60,3.30943121261515,0.744,0.345,2.29431621145272e-55,"Il1b-201",2.29431621145272e-55,"Up"
1.5621381243606e-59,3.55116063818598,0.564,0.061,1.2005656340961e-54,"C5ar1-201",1.2005656340961e-54,"Up"
6.78269123662669e-59,3.93189408003507,0.573,0.084,5.21276952299707e-54,"Cxcr4-201",5.21276952299707e-54,"Up"
9.8496782972718e-59,3.45271453980899,0.564,0.064,7.56987175858527e-54,"C5ar1-202",7.56987175858527e-54,"Up"
