"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.02818871096929e-99,3.5215565020087,0.697,0.13,2.32728415192834e-94,"Ftl1-206",2.32728415192834e-94,"Up"
3.06463970128859e-76,3.34116085830582,0.932,0.607,2.35529819602834e-71,"Ftl1-203",2.35529819602834e-71,"Up"
2.97735807344544e-73,1.77731494080804,0.936,0.674,2.28821877376576e-68,"Ftl1-ps1-202",2.28821877376576e-68,"Up"
1.54782003499472e-65,2.06426555320481,0.763,0.309,1.18956160969484e-60,"Cebpb-201",1.18956160969484e-60,"Up"
6.55002518923144e-64,1.69995689772601,0.919,0.746,5.03395635893193e-59,"H2-D1-202",5.03395635893193e-59,"Up"
4.52840313842507e-58,-3.69931514903513,0.103,0.57,3.4802589480052e-53,"Alas2-201",3.4802589480052e-53,"Down"
1.23692405896584e-52,1.76309987297386,0.751,0.328,9.50625616277606e-48,"Spc24-201",9.50625616277606e-48,"Up"
9.07323981305759e-49,2.2695933329399,0.746,0.434,6.97314772592728e-44,"S100a8-201",6.97314772592728e-44,"Up"
1.37719257663273e-48,1.63056986773075,0.719,0.313,1.05842758284532e-43,"Ccr1-201",1.05842758284532e-43,"Up"
1.00375485761945e-42,-3.53518686384778,0.09,0.476,7.71425758274855e-38,"Alas2-202",7.71425758274855e-38,"Down"
3.37896549384541e-42,1.39622901784788,0.841,0.528,2.59687014063995e-37,"Mcl1-201",2.59687014063995e-37,"Up"
8.15616212807415e-41,1.84346610695344,0.628,0.268,6.26833684191011e-36,"Klf2-201",6.26833684191011e-36,"Up"
1.88028129593792e-39,1.32578954997578,0.88,0.704,1.44507138718013e-34,"Ets2-201",1.44507138718013e-34,"Up"
9.88187347845525e-39,1.70877242161106,0.616,0.266,7.594615043132e-34,"Snx18-201",7.594615043132e-34,"Up"
2.9608508908645e-38,1.17169604114828,0.922,0.882,2.275532343665e-33,"Cxcl2-201",2.275532343665e-33,"Up"
4.15950341166483e-37,1.74506359285751,0.76,0.437,3.19674475200089e-32,"Spag9-202",3.19674475200089e-32,"Up"
