"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.14381884294398e-130,-2.54836099739742,0.441,0.938,1.25531184708212e-125,"Cd44",1.25531184708212e-125,"Down"
3.34262217267882e-122,2.29947515408861,0.932,0.702,5.87365568183122e-118,"Tpt1",5.87365568183122e-118,"Up"
2.60427954987992e-100,-2.47714014553568,0.434,0.885,4.57624002504899e-96,"Acod1",4.57624002504899e-96,"Down"
5.08881092582421e-96,-2.55911576774678,0.455,0.883,8.94205855885831e-92,"Il1b",8.94205855885831e-92,"Down"
8.59192615400486e-96,-2.39615348126716,0.459,0.886,1.50977326378173e-91,"Ccrl2",1.50977326378173e-91,"Down"
1.23543053055797e-94,3.91045891377187,0.623,0.127,2.17089852829647e-90,"Cntnap5b",2.17089852829647e-90,"Up"
8.99951282931471e-92,-2.67345853994916,0.23,0.789,1.58139439436718e-87,"Lcp1",1.58139439436718e-87,"Down"
3.94775194668432e-91,-2.13654486615431,0.48,0.886,6.93698972071369e-87,"Nfkbia",6.93698972071369e-87,"Down"
1.19338302700121e-89,2.54611237441514,0.795,0.36,2.09701265504652e-85,"Ftl1-ps1",2.09701265504652e-85,"Up"
2.15926562691792e-86,-2.39187336329938,0.341,0.832,3.79426155962017e-82,"Slc7a11",3.79426155962017e-82,"Down"
1.49028710966042e-83,-2.3176424067912,0.311,0.811,2.61873250909529e-79,"Plek",2.61873250909529e-79,"Down"
1.95112745181151e-80,1.99983380543326,0.945,0.986,3.42852115832319e-76,"Peak1",3.42852115832319e-76,"Up"
2.86345726587338e-77,-2.84567683049377,0.241,0.737,5.0316671075927e-73,"Hcar2",5.0316671075927e-73,"Down"
4.52511605706199e-77,-1.8504770390386,0.52,0.888,7.95153393546933e-73,"Lilr4b",7.95153393546933e-73,"Down"
1.82634304256365e-76,1.60638852559781,0.936,0.618,3.20924999439285e-72,"H19",3.20924999439285e-72,"Up"
2.81807588849394e-75,-2.52948586350451,0.273,0.754,4.95192295126155e-71,"Il1r2",4.95192295126155e-71,"Down"
8.12291013001678e-75,-2.53434152349679,0.227,0.73,1.42735776804655e-70,"Slfn2",1.42735776804655e-70,"Down"
2.31926389472805e-73,1.7763523347647,0.966,0.998,4.07541051581613e-69,"Zc3h7a",4.07541051581613e-69,"Up"
2.303875075411e-72,2.32467610465977,0.836,0.662,4.04836928251221e-68,"Itga9",4.04836928251221e-68,"Up"
2.69800075488325e-72,2.69030699177677,0.682,0.244,4.74092692648084e-68,"Prdx2",4.74092692648084e-68,"Up"
9.48034086022513e-72,3.07459019897111,0.561,0.132,1.66588549595876e-67,"Grik3",1.66588549595876e-67,"Up"
3.31591680480727e-71,-2.02791463606763,0.339,0.793,5.82672900940733e-67,"Clec4d",5.82672900940733e-67,"Down"
2.25563565707932e-70,-1.77988574925922,0.486,0.858,3.96360297661978e-66,"Mxd1",3.96360297661978e-66,"Down"
3.91339013088378e-68,-3.32545206729925,0.109,0.604,6.87660913798898e-64,"Cxcr4",6.87660913798898e-64,"Down"
5.7480368652241e-67,-2.42604449031211,0.434,0.793,1.01004503795718e-62,"Slfn4",1.01004503795718e-62,"Down"
1.33426504164557e-63,-2.35978319489752,0.266,0.717,2.3445705311796e-59,"Tnfaip3",2.3445705311796e-59,"Down"
1.71594844129719e-63,-2.19848044135333,0.264,0.714,3.01526460104742e-59,"Entpd1",3.01526460104742e-59,"Down"
6.80675553813761e-62,-1.33946159277195,0.836,0.95,1.19608308316154e-57,"Cxcl2",1.19608308316154e-57,"Down"
6.92960977931317e-62,-1.539693574573,0.527,0.876,1.21767103042091e-57,"Btg1",1.21767103042091e-57,"Down"
1.05203555826662e-60,3.12894519622683,0.441,0.073,1.8486368829861e-56,"Otx2os1",1.8486368829861e-56,"Up"
3.785260531382e-59,-2.50914856762199,0.168,0.627,6.65145980574446e-55,"Kdm6b",6.65145980574446e-55,"Down"
2.91451919402169e-58,2.73861959305559,0.534,0.151,5.12139312773491e-54,"Gpx1",5.12139312773491e-54,"Up"
3.28607074603432e-58,-2.0541458505095,0.245,0.696,5.77428351493152e-54,"Cd53",5.77428351493152e-54,"Down"
7.19177726452851e-58,-2.25273788365884,0.218,0.663,1.26373910092295e-53,"Msn",1.26373910092295e-53,"Down"
3.79303143309547e-57,-1.95849400947941,0.3,0.725,6.66511483423537e-53,"Iqsec1",6.66511483423537e-53,"Down"
4.46285328946509e-57,1.98845694313332,0.477,0.091,7.84212580024805e-53,"Hsd3b6",7.84212580024805e-53,"Up"
2.36809474972631e-56,-2.23343474526321,0.18,0.63,4.16121609421907e-52,"Ptafr",4.16121609421907e-52,"Down"
1.22086434930386e-55,-1.00285610756068,0.911,0.982,2.14530283459674e-51,"Actb",2.14530283459674e-51,"Down"
1.52631685750543e-55,-1.95569597669829,0.284,0.711,2.68204398200854e-51,"Msrb1",2.68204398200854e-51,"Down"
2.64110982480138e-54,-1.46715647414473,0.516,0.837,4.64095818414099e-50,"Pik3ap1",4.64095818414099e-50,"Down"
1.46104816287953e-52,-1.85632446792629,0.295,0.705,2.56735383181192e-48,"Pim1",2.56735383181192e-48,"Down"
2.11490540833438e-52,-2.23481597566157,0.18,0.612,3.71631178352517e-48,"Laptm5",3.71631178352517e-48,"Down"
1.32815954585748e-50,-2.05809045280529,0.186,0.619,2.33384195398076e-46,"Fmnl1",2.33384195398076e-46,"Down"
