"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
8.24717288428918e-137,-3.69090920289904,0.208,0.936,1.4491932192273e-132,"H19",1.4491932192273e-132,"Down"
4.60369623438388e-117,-2.85743270246885,0.567,0.932,8.08961502305935e-113,"Tpt1",8.08961502305935e-113,"Down"
1.06692778721462e-99,-4.40452042586563,0.055,0.682,1.87480550769352e-95,"Rack1",1.87480550769352e-95,"Down"
8.72978793451891e-99,-4.38180799809985,0.088,0.711,1.53399833585366e-94,"Ptma",1.53399833585366e-94,"Down"
1.46499291201804e-93,2.76333297779955,0.943,0.539,2.57428554499809e-89,"Jarid2",2.57428554499809e-89,"Up"
4.86006063004345e-91,-4.80782594463546,0.107,0.682,8.54009853911236e-87,"Prdx2",8.54009853911236e-87,"Down"
2.99152820656197e-87,2.55537852052239,0.924,0.457,5.25671336457069e-83,"D130009I18Rik",5.25671336457069e-83,"Up"
1.56355727858852e-85,2.89850614175208,0.87,0.33,2.74748284993574e-81,"Tmtc2",2.74748284993574e-81,"Up"
2.3590148392529e-84,-4.69040308290055,0.042,0.591,4.1452608755352e-80,"Ppia",4.1452608755352e-80,"Down"
1.29196919924258e-77,-4.29824384169543,0.102,0.623,2.27024827690906e-73,"Cntnap5b",2.27024827690906e-73,"Down"
1.38687904245889e-75,-8.93466258432554,0.002,0.477,2.43702385340876e-71,"Hsd3b6",2.43702385340876e-71,"Down"
5.42415167867145e-70,3.38109191526214,0.735,0.273,9.53131932976148e-66,"Il1r2",9.53131932976148e-66,"Up"
3.82020782119117e-68,-6.37411360630985,0.01,0.455,6.71286918339712e-64,"Set",6.71286918339712e-64,"Down"
1.83509702402619e-66,-4.18909545563683,0.055,0.523,3.22463249061883e-62,"Hnrnpab",3.22463249061883e-62,"Down"
3.995310355182e-66,2.99989599574368,0.76,0.355,7.02055935612581e-62,"Hdc",7.02055935612581e-62,"Up"
3.97943406076784e-64,-5.44764264173181,0.014,0.441,6.99266153158124e-60,"Otx2os1",6.99266153158124e-60,"Down"
1.91736793815565e-62,3.14608058514382,0.697,0.264,3.36919894092711e-58,"Entpd1",3.36919894092711e-58,"Up"
8.37224489321086e-62,-3.41346552641372,0.1,0.561,1.47117087263501e-57,"Grik3",1.47117087263501e-57,"Down"
3.28376221823312e-61,2.61592756193097,0.76,0.441,5.77022696987924e-57,"Cd44",5.77022696987924e-57,"Up"
2.56708045685485e-60,-4.04091536878884,0.087,0.527,4.51087377878534e-56,"Peg10",4.51087377878534e-56,"Down"
2.74936778144657e-60,3.39070533996854,0.651,0.198,4.83118906555792e-56,"Antxr2",4.83118906555792e-56,"Up"
3.89570364950668e-60,2.43599893692675,0.747,0.37,6.84553045291313e-56,"Emilin2",6.84553045291313e-56,"Up"
4.03847819539685e-59,2.96900411040869,0.683,0.245,7.09641388495134e-55,"Csf3r",7.09641388495134e-55,"Up"
4.70503745960903e-59,3.25927900402596,0.607,0.12,8.26769182402498e-55,"C5ar1",8.26769182402498e-55,"Up"
2.14315410953315e-58,2.7528235180055,0.657,0.186,3.76595040127164e-54,"Fmnl1",3.76595040127164e-54,"Up"
1.49144677896962e-56,2.31092816412639,0.711,0.284,2.62077028000541e-52,"Litaf",2.62077028000541e-52,"Up"
1.57036340153864e-56,2.29557110009957,0.766,0.486,2.7594425691837e-52,"Mxd1",2.7594425691837e-52,"Up"
5.70182127586427e-56,2.52409740444452,0.704,0.273,1.00192403459487e-51,"Ankrd33b",1.00192403459487e-51,"Up"
1.23518835052296e-55,2.69977822995433,0.683,0.259,2.17047296953894e-51,"Sorl1",2.17047296953894e-51,"Up"
1.04086791142829e-54,3.09572793509745,0.739,0.455,1.82901309396178e-50,"Il1b",1.82901309396178e-50,"Up"
1.07317043335335e-54,-7.00827581309123,0.003,0.366,1.88577508548851e-50,"Atp5g1",1.88577508548851e-50,"Down"
1.29742020667722e-54,-1.89472471322304,0.422,0.795,2.27982678717321e-50,"Ftl1-ps1",2.27982678717321e-50,"Down"
1.71213295944971e-54,-1.71486802998899,0.42,0.816,3.00856003634504e-50,"Sqstm1",3.00856003634504e-50,"Down"
9.43048691245808e-54,3.38282260239837,0.599,0.155,1.65712516025713e-49,"Sh2d3c",1.65712516025713e-49,"Up"
6.85995005925157e-53,2.39004035030898,0.718,0.339,1.20543042441169e-48,"Clec4d",1.20543042441169e-48,"Up"
6.86341337752444e-53,2.27036970585723,0.777,0.52,1.20603899869859e-48,"Lilr4b",1.20603899869859e-48,"Up"
2.8914502160661e-52,2.76358042774499,0.651,0.227,5.08085631967135e-48,"Adam8",5.08085631967135e-48,"Up"
2.96286183770127e-52,2.70313811379173,0.645,0.23,5.20634082120868e-48,"Lcp1",5.20634082120868e-48,"Up"
9.09179582558476e-52,2.75572953210554,0.689,0.311,1.59761036247175e-47,"Plek",1.59761036247175e-47,"Up"
2.00238364574638e-51,2.91628929361077,0.573,0.127,3.51858854230553e-47,"Ccr1",3.51858854230553e-47,"Up"
4.21757909575024e-51,3.4536449418957,0.545,0.109,7.41112998705232e-47,"Cxcr4",7.41112998705232e-47,"Up"
8.80809618653201e-51,-7.13503295537717,0.003,0.343,1.5477586618974e-46,"Rhox6",1.5477586618974e-46,"Down"
6.08610657391245e-50,3.1529223839305,0.647,0.241,1.0694506471679e-45,"Hcar2",1.0694506471679e-45,"Up"
8.17146488013803e-50,3.10128961551518,0.625,0.214,1.43588980873786e-45,"Cd14",1.43588980873786e-45,"Up"
1.04287356234006e-49,-4.34502211701798,0.028,0.389,1.83253742374395e-45,"Cox6c",1.83253742374395e-45,"Down"
1.09464452347898e-49,2.04672675011301,0.772,0.527,1.92350935665726e-45,"Btg1",1.92350935665726e-45,"Up"
1.6371565383901e-49,2.24942865311655,0.666,0.245,2.87681146925908e-45,"Cd53",2.87681146925908e-45,"Up"
2.75489257952896e-49,2.09164343749591,0.737,0.4,4.84089724074829e-45,"Lmnb1",4.84089724074829e-45,"Up"
3.05917868331353e-49,2.00795039064921,0.784,0.586,5.37558878231854e-45,"Dusp1",5.37558878231854e-45,"Up"
3.07139260058783e-49,4.01865101124045,0.469,0.05,5.39705107775293e-45,"Sell",5.39705107775293e-45,"Up"
3.366991418604e-49,2.97031744235272,0.557,0.125,5.91647732077095e-45,"Themis2",5.91647732077095e-45,"Up"
5.46709637752288e-49,2.62799938085891,0.595,0.161,9.60678175458321e-45,"Ptprc",9.60678175458321e-45,"Up"
7.9453277320955e-48,-4.11499071224645,0.035,0.391,1.39615298908382e-43,"Smdt1",1.39615298908382e-43,"Down"
1.31918260505666e-47,3.10075116730514,0.522,0.1,2.31806767360555e-43,"Ncf2",2.31806767360555e-43,"Up"
1.72223981702041e-47,2.26674165666078,0.663,0.273,3.02631980646827e-43,"Syk",3.02631980646827e-43,"Up"
