"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.02815543375833e-231,6.97045629701115,0.956,0.08,1.80667472820014e-227,"Zfp791",1.80667472820014e-227,"Up"
1.77679447395755e-165,4.0435528236944,0.968,0.662,3.12218324963821e-161,"Itga9",3.12218324963821e-161,"Up"
3.37166208448672e-148,1.81662794434701,1,0.986,5.92468461486007e-144,"Peak1",5.92468461486007e-144,"Up"
3.61400636684495e-126,2.72430944713192,0.963,0.646,6.35053198781995e-122,"Jarid2",6.35053198781995e-122,"Up"
1.22887520455515e-113,1.29848532214351,1,0.998,2.15937950944431e-109,"Zc3h7a",2.15937950944431e-109,"Up"
2.71996732532678e-111,6.33728632402267,0.504,0.011,4.77952658406422e-107,"Pcdh15",4.77952658406422e-107,"Up"
1.61390714497156e-103,2.92485986023916,0.853,0.356,2.83595763514403e-99,"Tmtc2",2.83595763514403e-99,"Up"
4.44424751093653e-98,2.41555450824531,0.914,0.495,7.80943172621767e-94,"D130009I18Rik",7.80943172621767e-94,"Up"
3.75264062037988e-64,1.36488497566206,0.932,0.76,6.59414009813152e-60,"H2-D1",6.59414009813152e-60,"Up"
8.80547002822304e-58,1.6625936626455,0.768,0.361,1.54729719335935e-53,"Ccr1",1.54729719335935e-53,"Up"
2.6286347871669e-56,1.26482731694375,0.922,0.699,4.61903704800968e-52,"Fxyd5",4.61903704800968e-52,"Up"
1.94801606163101e-53,3.53304542002815,0.374,0.051,3.42305382349801e-49,"a",3.42305382349801e-49,"Up"
8.337040390567e-50,1.41734335936445,0.858,0.594,1.46498473743043e-45,"Sgms2",1.46498473743043e-45,"Up"
5.73841874927896e-46,1.15059840274872,0.912,0.731,1.0083549426233e-41,"Ubc",1.0083549426233e-41,"Up"
8.15810864239067e-45,1.08588121731744,0.9,0.733,1.43354285064089e-40,"Emilin2",1.43354285064089e-40,"Up"
3.0019891816606e-43,1.84730588108543,0.748,0.474,5.275095390014e-39,"S100a9",5.275095390014e-39,"Up"
4.94287032418186e-43,1.5356523834986,0.763,0.453,8.68561173365236e-39,"Adam8",8.68561173365236e-39,"Up"
1.3591282077171e-39,1.85256144830546,0.616,0.277,2.38826008660049e-35,"Klf2",2.38826008660049e-35,"Up"
1.78698859396043e-39,1.11475683671995,0.922,0.886,3.14009635730727e-35,"Ccrl2",3.14009635730727e-35,"Up"
2.41933102871086e-39,1.9072285485556,0.709,0.427,4.25124848365073e-35,"S100a8",4.25124848365073e-35,"Up"
2.61248947598831e-38,2.17247704657215,0.479,0.162,4.59066650720666e-34,"Ifi27l2a",4.59066650720666e-34,"Up"
4.52676908590108e-38,1.38205360475225,0.836,0.665,7.95443863774539e-34,"Hdc",7.95443863774539e-34,"Up"
1.28293218335634e-37,1.41749413501113,0.787,0.54,2.25436843259377e-33,"Plk3",2.25436843259377e-33,"Up"
6.6197612173223e-37,1.53346503545304,0.809,0.625,1.16322444110787e-32,"Cd14",1.16322444110787e-32,"Up"
1.12472943023224e-34,1.33256051812109,0.758,0.512,1.97637455480408e-30,"Plaur",1.97637455480408e-30,"Up"
1.93244448136115e-34,1.35367979979254,0.665,0.347,3.39569144264782e-30,"Snx18",3.39569144264782e-30,"Up"
6.74796450100082e-33,1.21123037266369,0.924,0.883,1.18575232211586e-28,"Il1b",1.18575232211586e-28,"Up"
9.65437893616129e-33,1.81853642048003,0.469,0.172,1.69646746666226e-28,"Selenon",1.69646746666226e-28,"Up"
1.9345550333324e-32,1.16230096606797,0.753,0.489,3.3994001045717e-28,"Mcl1",3.3994001045717e-28,"Up"
