"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.29327219152693e-11,-1.10662005358181,0.889,1,3.78928752117389e-09,"Gli3",3.78928752117389e-09,"Down"
8.00913364033057e-11,2.0879259161871,1,1,2.34667615661686e-08,"Irf7",2.34667615661686e-08,"Up"
1.30556822891952e-09,2.19083959668924,1,1,3.82531491073419e-07,"Cebpb",3.82531491073419e-07,"Up"
1.86879308731951e-09,1.51387554037156,1,1,5.47556374584615e-07,"Junb",5.47556374584615e-07,"Up"
5.14889587210014e-09,2.30920224251703,1,0.998,1.50862649052534e-06,"Thap11",1.50862649052534e-06,"Up"
2.68520419193753e-08,3.40965027688169,0.722,0.158,7.86764828237697e-06,"Hsf1",7.86764828237697e-06,"Up"
3.2573553108092e-08,1.8762042629769,1,1,9.54405106067096e-06,"Spi1",9.54405106067096e-06,"Up"
3.81076808483591e-08,2.4883786686866,1,1,1.11655504885692e-05,"Stat6",1.11655504885692e-05,"Up"
2.45353861778312e-07,2.92283196215102,0.667,0.176,7.18886815010454e-05,"Hand1",7.18886815010454e-05,"Up"
3.88332246134745e-07,1.49421404736987,1,1,0.00011378134811748,"Atf3",0.00011378134811748,"Up"
4.76832702323207e-07,2.44380124978926,1,0.998,0.0001397119817807,"Rara",0.0001397119817807,"Up"
7.9514347071831e-07,2.36315246003011,1,0.993,0.000232977036920465,"Tbp",0.000232977036920465,"Up"
1.36118895864014e-06,2.76604079109136,1,0.976,0.00039882836488156,"Stat2",0.00039882836488156,"Up"
2.11913195864019e-06,2.80729992234661,1,0.849,0.000620905663881575,"Bhlhe41",0.000620905663881575,"Up"
5.78769562711759e-06,1.26915090491568,1,1,0.00169579481874545,"Klf6",0.00169579481874545,"Up"
1.1549703610028e-05,2.86299042256061,0.944,0.686,0.00338406315773821,"Zfp507",0.00338406315773821,"Up"
1.87485860011912e-05,2.48957301731624,1,0.993,0.00549333569834903,"Irf9",0.00549333569834903,"Up"
1.94353445545851e-05,2.63500415117088,1,1,0.00569455595449344,"Runx3",0.00569455595449344,"Up"
1.99860489010604e-05,2.05421832497794,1,0.996,0.00585591232801069,"E2f4",0.00585591232801069,"Up"
2.07159628453491e-05,1.05420092707763,1,1,0.00606977711368728,"Zfp280d",0.00606977711368728,"Up"
