"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.95609300117598e-51,-1.10895517658336,1,1,8.66135249344563e-49,"Ybx1",8.66135249344563e-49,"Down"
4.24757958751778e-47,-1.42951863016504,0.99,1,1.24454081914271e-44,"Sfpq",1.24454081914271e-44,"Down"
1.05800264971575e-42,1.6417535627899,0.99,0.933,3.09994776366716e-40,"Atf2",3.09994776366716e-40,"Up"
5.39405434405919e-39,1.02828080984921,1,1,1.58045792280934e-36,"Nfkb1",1.58045792280934e-36,"Up"
5.67756964700101e-36,-1.35698907418378,0.777,0.991,1.6635279065713e-33,"Ebf2",1.6635279065713e-33,"Down"
2.07165954200627e-35,1.36962635999273,1,0.996,6.06996245807836e-33,"Klf2",6.06996245807836e-33,"Up"
2.19454231329472e-32,1.72478767178531,0.932,0.686,6.43000897795353e-30,"Zfp507",6.43000897795353e-30,"Up"
1.70305721135411e-31,1.27655593757432,1,1,4.98995762926753e-29,"Runx3",4.98995762926753e-29,"Up"
1.21825229795178e-30,1.02330943508859,1,1,3.56947923299873e-28,"Irf8",3.56947923299873e-28,"Up"
3.65214652864977e-29,-1.14968674474046,0.883,0.989,1.07007893289438e-26,"Foxp4",1.07007893289438e-26,"Down"
3.88837865822552e-29,2.0556687219108,0.932,0.661,1.13929494686008e-26,"Sox17",1.13929494686008e-26,"Up"
4.66568334410824e-29,1.34636901260147,1,0.976,1.36704521982371e-26,"Gata4",1.36704521982371e-26,"Up"
3.92548107150118e-28,1.00678385682958,1,1,1.15016595394985e-25,"Fli1",1.15016595394985e-25,"Up"
8.62629348897297e-28,1.15758418589242,1,1,2.52750399226908e-25,"Stat6",2.52750399226908e-25,"Up"
4.21663220866726e-26,1.28509392274203,0.951,0.579,1.23547323713951e-23,"Patz1",1.23547323713951e-23,"Up"
1.16351774466652e-25,1.31415476387398,1,0.993,3.40910699187291e-23,"Nfatc1",3.40910699187291e-23,"Up"
7.70891304109731e-25,1.1654882525174,1,0.998,2.25871152104151e-22,"Rara",2.25871152104151e-22,"Up"
1.12726132190676e-24,1.32694638403341,1,1,3.3028756731868e-22,"Irf1",3.3028756731868e-22,"Up"
4.63768865585302e-23,1.19143683705898,1,0.953,1.35884277616494e-20,"Creb3l2",1.35884277616494e-20,"Up"
2.62205364208895e-21,1.78134978440426,0.883,0.546,7.68261717132061e-19,"Runx2",7.68261717132061e-19,"Up"
1.85912662366536e-18,1.10253836030026,1,1,5.44724100733949e-16,"Klf4",5.44724100733949e-16,"Up"
7.43315033120316e-18,1.32109121554556,0.99,0.976,2.17791304704253e-15,"Stat2",2.17791304704253e-15,"Up"
9.70286660212763e-18,1.42374554316642,0.903,0.601,2.8429399144234e-15,"Tead4",2.8429399144234e-15,"Up"
1.99519422067194e-15,1.88242532538883,0.796,0.421,5.84591906656878e-13,"Hoxa10",5.84591906656878e-13,"Up"
3.3339523414184e-15,1.15870873835572,0.99,0.935,9.76848036035592e-13,"Myb",9.76848036035592e-13,"Up"
3.33677236061753e-15,1.28271055831796,0.961,0.849,9.77674301660936e-13,"Bhlhe41",9.77674301660936e-13,"Up"
2.30994079556573e-13,1.26924062903256,0.932,0.842,6.76812653100759e-11,"Smad3",6.76812653100759e-11,"Up"
2.2615597222499e-12,2.13459172549096,0.515,0.225,6.6263699861922e-10,"Nr1h3",6.6263699861922e-10,"Up"
3.11116517162163e-12,1.7936625278141,0.612,0.263,9.11571395285137e-10,"Rfx2",9.11571395285137e-10,"Up"
3.65661046009731e-10,1.39228549695961,0.816,0.55,1.07138686480851e-07,"Nfatc2",1.07138686480851e-07,"Up"
1.60485195949079e-09,1.76503040564593,0.786,0.648,4.702216241308e-07,"Tcf21",4.702216241308e-07,"Up"
7.2773215821433e-08,1.83975097410252,0.476,0.267,2.13225522356799e-05,"Gtf2ird1",2.13225522356799e-05,"Up"
7.35082031146822e-08,1.02039334443653,0.922,0.884,2.15379035126019e-05,"Atf5",2.15379035126019e-05,"Up"
1.3561250604682e-07,1.79238806324811,0.417,0.198,3.97344642717184e-05,"Foxn3",3.97344642717184e-05,"Up"
7.33177631117956e-07,1.19800117055637,0.68,0.492,0.000214821045917561,"Smad1",0.000214821045917561,"Up"
2.66257514155529e-06,1.51907434774425,0.466,0.241,0.0007801345164757,"Cebpg",0.0007801345164757,"Up"
4.86775439710133e-06,1.15375797661814,0.757,0.55,0.00142625203835069,"Smad4",0.00142625203835069,"Up"
1.13290908209581e-05,1.60737286602635,0.359,0.176,0.00331942361054073,"Hand1",0.00331942361054073,"Up"
1.89088442393703e-05,1.33712780403539,0.689,0.445,0.00554029136213551,"Vdr",0.00554029136213551,"Up"
