"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.20609872636333e-41,7.5954656618216,0.515,0.038,9.26935115159273e-37,"Igfbp7-201",9.26935115159273e-37,"Up"
1.59868809557539e-41,-2.49659411799574,0.544,0.978,1.22865574897351e-36,"Ybx1-201",1.22865574897351e-36,"Down"
4.18939565595763e-38,-2.94645029002326,0.563,0.973,3.21971813742968e-33,"Ppia-202",3.21971813742968e-33,"Down"
5.2260906495164e-37,-3.70960890568051,0.476,0.938,4.01645970777933e-32,"Hmgb1-201",4.01645970777933e-32,"Down"
1.23919900277062e-35,-4.01587688180104,0.126,0.853,9.5237400158933e-31,"Hmga2-201",9.5237400158933e-31,"Down"
2.13008118499689e-35,-3.20956426068132,0.34,0.924,1.63705259391751e-30,"Peg3-201",1.63705259391751e-30,"Down"
1.1082030495389e-33,-1.51795786055681,0.786,0.998,8.51698371692625e-29,"Ptma-201",8.51698371692625e-29,"Down"
4.80394522109587e-32,-3.3200971475317,0.34,0.898,3.69202406022102e-27,"Mest-211",3.69202406022102e-27,"Down"
5.25369962848595e-31,-1.75915088207952,0.786,0.987,4.03767831247659e-26,"Actg1-202",4.03767831247659e-26,"Down"
7.792997960513e-31,-2.247122970562,0.437,0.909,5.98923065257266e-26,"Tubb5-201",5.98923065257266e-26,"Down"
8.64545098111186e-31,-2.04166865154438,0.485,0.933,6.64437489702371e-26,"Ywhae-201",6.64437489702371e-26,"Down"
3.70633138227193e-30,4.16595258235504,0.767,0.374,2.84846392053127e-25,"Spc24-201",2.84846392053127e-25,"Up"
3.84546492881869e-30,-1.44971563442343,0.883,0.996,2.95539361639432e-25,"Actb-201",2.95539361639432e-25,"Down"
8.12736067372646e-30,4.5411206098407,0.544,0.1,6.24620177218574e-25,"Col6a1-201",6.24620177218574e-25,"Up"
1.6764529785546e-29,-2.19187973333521,0.553,0.924,1.28842117213835e-24,"Grb10-201",1.28842117213835e-24,"Down"
1.7841229459471e-29,4.08995262253689,0.816,0.285,1.37116984887819e-24,"Ctla2a-201",1.37116984887819e-24,"Up"
2.19930035021159e-29,4.12973867166088,0.748,0.223,1.69025029115161e-24,"Ctla2a-202",1.69025029115161e-24,"Up"
2.19930035021159e-29,4.12973867166088,0.748,0.223,1.69025029115161e-24,"Ctla2a-204",1.69025029115161e-24,"Up"
3.02083010909188e-29,-4.50615172748771,0.078,0.726,2.32162877204147e-24,"Macroh2a2-201",2.32162877204147e-24,"Down"
3.6739870127667e-29,-3.08076486739212,0.214,0.813,2.82360597879172e-24,"Smarce1-201",2.82360597879172e-24,"Down"
5.68202355275665e-29,4.05109637789017,0.748,0.225,4.3668623812356e-24,"Ctla2a-209",4.3668623812356e-24,"Up"
1.398686704357e-28,-2.61006801473543,0.262,0.82,1.07494667976653e-23,"Marcks-201",1.07494667976653e-23,"Down"
2.36003178036033e-28,-2.17189515117803,0.301,0.882,1.81377882447813e-23,"Gpc3-201",1.81377882447813e-23,"Down"
7.86125919467242e-28,-2.27996722546238,0.33,0.851,6.04169214147354e-23,"Nono-201",6.04169214147354e-23,"Down"
2.1416598031239e-27,-2.21501626240581,0.379,0.9,1.64595122509284e-22,"Myh10-203",1.64595122509284e-22,"Down"
2.56040570502657e-27,3.95283719723189,0.728,0.225,1.96777420054112e-22,"Ctla2a-203",1.96777420054112e-22,"Up"
1.22865193181814e-26,4.35369753319912,0.553,0.122,9.4426815567951e-22,"H2-D1-202",9.4426815567951e-22,"Up"
1.48985078122048e-26,-2.02913852874299,0.534,0.915,1.14500991939919e-21,"Naca-201",1.14500991939919e-21,"Down"
1.78009168799214e-26,-2.05838286330754,0.563,0.953,1.36807166588948e-21,"Ywhaz-201",1.36807166588948e-21,"Down"
1.97060528472271e-26,-3.45566702359371,0.184,0.764,1.51448898552079e-21,"Fscn1-201",1.51448898552079e-21,"Down"
2.21623614754275e-26,-1.78874735669914,0.592,0.962,1.7032661288325e-21,"Pkm-201",1.7032661288325e-21,"Down"
3.10174829903062e-26,-2.69127925285103,0.204,0.788,2.383817637737e-21,"Marcksl1-201",2.383817637737e-21,"Down"
3.50578518795262e-26,-1.98399639580786,0.456,0.9,2.69433614834911e-21,"Set-201",2.69433614834911e-21,"Down"
4.54393189424518e-26,-2.22635312860709,0.369,0.878,3.49219341800319e-21,"Myh10-202",3.49219341800319e-21,"Down"
4.70398565672821e-26,-4.84097395900449,0.165,0.739,3.6152011366219e-21,"Nnat-202",3.6152011366219e-21,"Down"
9.5673178970227e-26,4.77045500744816,0.369,0.033,7.35286649657783e-21,"Igfbp7-202",7.35286649657783e-21,"Up"
1.81802533604937e-25,-3.91882142232201,0.136,0.722,1.39722519176738e-20,"Stmn1-201",1.39722519176738e-20,"Down"
3.70012745621192e-25,-2.66906631878537,0.262,0.811,2.84369595519711e-20,"Mdh2-201",2.84369595519711e-20,"Down"
5.60116170717563e-25,-3.31282913739415,0.126,0.731,4.30471681843276e-20,"Hmga2-203",4.30471681843276e-20,"Down"
1.77600862656278e-24,-2.38575519885983,0.417,0.84,1.36493366985856e-19,"H2az1-201",1.36493366985856e-19,"Down"
2.91703514672455e-24,-3.15991842783386,0.068,0.682,2.24185819166369e-19,"Zfhx4-201",2.24185819166369e-19,"Down"
1.59463714310819e-23,-5.43704658122717,0.058,0.624,1.22554242996437e-18,"Sox9-201",1.22554242996437e-18,"Down"
2.67445104357997e-23,-2.10615957738191,0.194,0.748,2.05542260503295e-18,"Hmgn1-201",2.05542260503295e-18,"Down"
4.26609518379354e-23,-2.14935001102397,0.282,0.791,3.27866479255269e-18,"Strap-201",3.27866479255269e-18,"Down"
6.68252708569535e-23,-1.74170631216193,0.505,0.906,5.1357893664403e-18,"H3f3a-205",5.1357893664403e-18,"Down"
7.2235990679832e-23,-1.89711457727238,0.379,0.855,5.55162482770781e-18,"Vcp-201",5.55162482770781e-18,"Down"
8.61657177266838e-23,-3.14907413533945,0.243,0.759,6.62218007016656e-18,"Hmgb2-201",6.62218007016656e-18,"Down"
8.77803345697509e-23,-2.43630583190508,0.243,0.782,6.74626983302363e-18,"Nasp-201",6.74626983302363e-18,"Down"
1.96109626922891e-22,-2.47452682862678,0.155,0.726,1.50718092675319e-17,"Sox11-201",1.50718092675319e-17,"Down"
2.35488082008515e-22,-2.20055812035735,0.33,0.811,1.80982010546824e-17,"Tcp1-209",1.80982010546824e-17,"Down"
2.38120652485521e-22,-1.90823190573668,0.398,0.866,1.83005246261222e-17,"Maged1-201",1.83005246261222e-17,"Down"
2.42431673611799e-22,-2.56568808436798,0.447,0.835,1.86318438437612e-17,"Hnrnpa1-202",1.86318438437612e-17,"Down"
2.68849718856315e-22,3.04987094317645,0.534,0.129,2.06621762929833e-17,"Ftl1-206",2.06621762929833e-17,"Up"
5.42275198218784e-22,4.32649530721881,0.408,0.069,4.16760180839064e-17,"Bgn-201",4.16760180839064e-17,"Up"
6.23564269569308e-22,-2.17414742689256,0.204,0.744,4.79234083734796e-17,"Dbn1-203",4.79234083734796e-17,"Down"
6.57637447305939e-22,-2.0745731899645,0.621,0.927,5.05420683752506e-17,"Gapdh-203",5.05420683752506e-17,"Down"
9.67333268974081e-22,-1.79984739489545,0.437,0.862,7.4343431053734e-17,"Cfl1-202",7.4343431053734e-17,"Down"
