"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.70191822331853e-17,4.31871853841147,0.389,0.02,6.50501070201532e-13,"Ost4",6.50501070201532e-13,"Up"
5.42626364716114e-17,4.31871853841147,0.333,0.013,9.53503048079155e-13,"H2-K1",9.53503048079155e-13,"Up"
4.05852333090104e-16,4.05568413257768,0.444,0.031,7.13163719705932e-12,"Plp2",7.13163719705932e-12,"Up"
1.26108193899401e-14,4.47072163185652,0.333,0.018,2.21597318320028e-10,"H2aj",2.21597318320028e-10,"Up"
2.05180924740975e-14,4.45423350906795,0.5,0.051,3.60543920954841e-10,"Krt8",3.60543920954841e-10,"Up"
1.76633146146839e-13,3.44970385058744,0.722,0.127,3.10379764409226e-09,"Fth1",3.10379764409226e-09,"Up"
6.0598896547083e-13,3.64064663329883,0.444,0.042,1.06484381012534e-08,"Efhd2",1.06484381012534e-08,"Up"
1.12384522398495e-12,4.05568413257768,0.333,0.022,1.97482082758635e-08,"Epcam",1.97482082758635e-08,"Up"
2.07123102051636e-12,4.25362351018959,0.389,0.033,3.63956714925135e-08,"Rhox6",3.63956714925135e-08,"Up"
2.453155792828e-12,3.81057163474115,0.389,0.033,4.31068535915737e-08,"Arf5",4.31068535915737e-08,"Up"
2.01648196381512e-11,3.16671544496642,0.611,0.102,3.54336210681593e-07,"Cox6c",3.54336210681593e-07,"Up"
1.92331548592422e-10,3.54949874524064,0.722,0.194,3.37964997186605e-06,"Sqstm1",3.37964997186605e-06,"Up"
2.88114400592038e-10,4.05568413257768,0.333,0.031,5.0627462472033e-06,"Arl6ip5",5.0627462472033e-06,"Up"
2.88114400592038e-10,4.31871853841147,0.333,0.031,5.0627462472033e-06,"Gpx1",5.0627462472033e-06,"Up"
1.27409696441836e-09,3.72310879349081,0.333,0.033,2.23884318587594e-05,"Srgn",2.23884318587594e-05,"Up"
1.97166305928583e-09,-4.30918007746028,0.056,0.842,3.46460632777706e-05,"Gpc6",3.46460632777706e-05,"Down"
4.18058243291311e-09,-2.37678043845935,0.333,0.933,7.34611945111492e-05,"Hnrnpa1",7.34611945111492e-05,"Down"
1.59325202329107e-08,2.56264412129756,0.333,0.038,0.000279966245532707,"Hsd3b6",0.000279966245532707,"Up"
2.61905255852908e-08,3.20768722602273,0.389,0.056,0.00046021991558473,"Arl6ip1",0.00046021991558473,"Up"
3.60369284807084e-08,-2.91649792328256,0.111,0.795,0.000633240907263009,"Sfpq",0.000633240907263009,"Down"
3.66246489473918e-08,2.56429574716872,0.667,0.178,0.000643568331303569,"Cntnap5b",0.000643568331303569,"Up"
6.11759281790015e-08,3.41825421196239,0.389,0.06,0.00107498340996142,"Ftl1-ps1",0.00107498340996142,"Up"
6.99760877417459e-08,-1.9966369025524,0.389,0.924,0.00122961981379796,"Grb10",0.00122961981379796,"Down"
7.81582113841696e-08,-1.5160903014336,0.778,0.96,0.00137339609044263,"Eef1a1",0.00137339609044263,"Down"
8.77194639220618e-08,-1.89506075262027,0.333,0.909,0.00154140642003847,"Prrc2c",0.00154140642003847,"Down"
1.11925272464231e-07,2.90368103913263,0.5,0.102,0.00196675088774147,"Gna13",0.00196675088774147,"Up"
1.13220434681763e-07,-2.35181969401576,0.278,0.842,0.00198950947822795,"Myh10",0.00198950947822795,"Down"
1.14188873090288e-07,3.28700967868413,0.333,0.045,0.00200652687794254,"Tgfb1",0.00200652687794254,"Up"
1.3411230985756e-07,1.93876638079853,0.889,0.606,0.00235662150881704,"Ftl1",0.00235662150881704,"Up"
3.11084280858047e-07,-2.81330985527231,0.111,0.748,0.0054663729832376,"Tcf12",0.0054663729832376,"Down"
3.64670388082204e-07,2.92443959929943,0.333,0.047,0.00640798805938049,"Dap",0.00640798805938049,"Up"
3.98778993415746e-07,3.28700967868413,0.333,0.049,0.00700734447230149,"Slc25a39",0.00700734447230149,"Up"
