"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.15670411266918e-90,7.65656618838495,0.874,0.029,2.03256046678228e-86,"Zfp791",2.03256046678228e-86,"Up"
1.56471291687461e-49,4.51852427468068,0.922,0.365,2.74951353753207e-45,"Itga9",2.74951353753207e-45,"Up"
6.15751699275767e-45,3.77043415294323,0.874,0.265,1.08199888596738e-40,"D130009I18Rik",1.08199888596738e-40,"Up"
2.95574812546039e-44,-3.47831846492141,0.155,0.933,5.19384060605899e-40,"Hnrnpa1",5.19384060605899e-40,"Down"
1.59950771207415e-43,3.4475413672537,0.893,0.323,2.81065495165669e-39,"Tmtc2",2.81065495165669e-39,"Up"
1.85390674151135e-43,7.22840776737266,0.437,0.009,3.25768492618374e-39,"Igfbp7",3.25768492618374e-39,"Up"
1.40362753576546e-42,-2.84834306077017,0.33,0.964,2.46645430584707e-38,"Gapdh",2.46645430584707e-38,"Down"
9.96746845839004e-42,3.32035669553714,0.961,0.635,1.7514835575083e-37,"Jarid2",1.7514835575083e-37,"Up"
6.00506117134818e-41,4.93142602961553,0.485,0.027,1.0552093490293e-36,"Xist",1.0552093490293e-36,"Up"
9.1436795599064e-40,3.00035325958406,0.981,0.833,1.60672737226675e-35,"Peak1",1.60672737226675e-35,"Up"
1.10097967155574e-39,-3.03156323633399,0.233,0.918,1.93464147885774e-35,"Ybx1",1.93464147885774e-35,"Down"
2.76191504365887e-38,-3.47125810872149,0.223,0.882,4.85323711471736e-34,"Hmgb1",4.85323711471736e-34,"Down"
3.61792817293349e-38,-2.07998306284362,0.592,0.98,6.35742338547873e-34,"Ptma",6.35742338547873e-34,"Down"
6.2057301979855e-36,-2.00198239544847,0.495,0.973,1.09047091039001e-31,"Actb",1.09047091039001e-31,"Down"
1.40447609101715e-35,-2.20553091521486,0.447,0.94,2.46794538713534e-31,"Actg1",2.46794538713534e-31,"Down"
3.14077802333987e-35,-2.91189110561927,0.175,0.871,5.51897514261282e-31,"Ppia",5.51897514261282e-31,"Down"
3.927198765247e-34,-2.6991863090923,0.243,0.873,6.90087367029202e-30,"Hnrnpa3",6.90087367029202e-30,"Down"
4.05439995311383e-33,6.3567318643482,0.388,0.02,7.12439159761162e-29,"Neat1",7.12439159761162e-29,"Up"
2.95897344635853e-32,4.93142602961553,0.427,0.033,5.1995081399412e-28,"Epas1",5.1995081399412e-28,"Up"
4.52181565903691e-32,3.57926573330875,0.505,0.062,7.94573447605966e-28,"Tlcd4",7.94573447605966e-28,"Up"
6.90493246392024e-32,-1.63858776028905,0.553,0.964,1.21333473256006e-27,"Hnrnpu",1.21333473256006e-27,"Down"
7.9657417401447e-32,-2.39572237868317,0.262,0.895,1.39974013857823e-27,"Gpc3",1.39974013857823e-27,"Down"
2.34080689350498e-31,6.26157463130786,0.33,0.009,4.11326587326694e-27,"Esr1",4.11326587326694e-27,"Up"
2.78170474337092e-31,-2.65574479090139,0.291,0.873,4.88801157505138e-27,"Peg3",4.88801157505138e-27,"Down"
1.25010702828373e-30,-3.27640176396438,0.155,0.793,2.19668807010017e-26,"Mest",2.19668807010017e-26,"Down"
1.36856798317528e-30,-2.50442804144688,0.262,0.855,2.40484766003561e-26,"Pkm",2.40484766003561e-26,"Down"
2.36952975415973e-30,3.19753326949895,0.641,0.143,4.16373768400947e-26,"Arhgap10",4.16373768400947e-26,"Up"
3.65870689632023e-30,5.12407110755793,0.33,0.011,6.4290797582139e-26,"H2-D1",6.4290797582139e-26,"Up"
6.9813067908676e-30,2.32581164143574,0.981,0.944,1.22675522929125e-25,"Zc3h7a",1.22675522929125e-25,"Up"
3.03966935177001e-29,-1.86411959015244,0.388,0.924,5.34130698493026e-25,"Grb10",5.34130698493026e-25,"Down"
4.19531962066757e-29,-2.68562395295419,0.184,0.802,7.37201563743706e-25,"Set",7.37201563743706e-25,"Down"
6.50852767896643e-29,-2.52632792808357,0.175,0.849,1.14367848374798e-24,"Hmga2",1.14367848374798e-24,"Down"
3.1635469905305e-28,-2.70519859092812,0.175,0.784,5.5589847717602e-24,"Ywhae",5.5589847717602e-24,"Down"
6.47730083232877e-28,-3.22339207943657,0.107,0.737,1.13819130225681e-23,"Tubb5",1.13819130225681e-23,"Down"
1.02562073410974e-27,-2.24086987628953,0.282,0.84,1.80222075397763e-23,"Hnrnpa2b1",1.80222075397763e-23,"Down"
1.06360843742242e-27,-2.07756275361172,0.32,0.851,1.86897274623867e-23,"Fus",1.86897274623867e-23,"Down"
1.50651088250076e-27,3.44599920244529,0.505,0.082,2.64724092273033e-23,"Pde3a",2.64724092273033e-23,"Up"
1.62840658091184e-27,3.35057963736661,0.544,0.105,2.86143604397828e-23,"Apbb2",2.86143604397828e-23,"Up"
3.35950521592956e-27,-2.84232049979925,0.155,0.759,5.90332256543142e-23,"Npm1",5.90332256543142e-23,"Down"
4.49306161140197e-27,-4.93662482412963,0.029,0.655,7.89520786355554e-23,"Nnat",7.89520786355554e-23,"Down"
1.70097905647997e-26,-2.07451035250745,0.272,0.837,2.98896039804661e-22,"Naca",2.98896039804661e-22,"Down"
2.24156682446265e-26,-1.72875433101385,0.408,0.891,3.93888122394576e-22,"Ywhaz",3.93888122394576e-22,"Down"
4.76674366176604e-26,-2.16186713027422,0.427,0.891,8.37612196245529e-22,"H19",8.37612196245529e-22,"Down"
8.12898143289819e-25,-3.72678545313626,0.058,0.644,1.42842461738887e-20,"Marcks",1.42842461738887e-20,"Down"
