"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.28329999564989e-130,2.49825145776387,0.984,0.699,6.69006898725418e-128,"Hsf1",6.69006898725418e-128,"Up"
6.61964162135702e-117,1.23227461070739,0.997,0.97,1.93955499505761e-114,"Pura",1.93955499505761e-114,"Up"
1.03310449752846e-101,1.06892860117925,1,0.943,3.02699617775838e-99,"Atf2",3.02699617775838e-99,"Up"
2.05556351477306e-86,-1.06848356126353,0.997,1,6.02280109828506e-84,"Tbp",6.02280109828506e-84,"Down"
3.56488712613533e-85,-1.50975675533925,0.683,0.947,1.04451192795765e-82,"Sox6",1.04451192795765e-82,"Down"
1.43526283014592e-83,-1.57698014191246,0.452,0.96,4.20532009232754e-81,"Ikzf1",4.20532009232754e-81,"Down"
2.81872310058329e-76,-1.47730711587299,0.852,0.978,8.25885868470904e-74,"E2f2",8.25885868470904e-74,"Down"
4.29321273357207e-75,2.12184997071782,0.802,0.258,1.25791133093662e-72,"Crebzf",1.25791133093662e-72,"Up"
2.56282786593427e-73,1.41534521190266,0.897,0.452,7.5090856471874e-71,"Tcf4",7.5090856471874e-71,"Up"
2.35964136607223e-72,1.44693309643893,0.944,0.653,6.91374920259164e-70,"Snd1",6.91374920259164e-70,"Up"
7.30109750902067e-69,-1.16762009419668,0.905,0.968,2.13922157014306e-66,"Cxxc1",2.13922157014306e-66,"Down"
6.254358036568e-68,1.74136408940585,0.884,0.455,1.83252690471442e-65,"Zkscan6",1.83252690471442e-65,"Up"
6.33040459599653e-68,1.71274713981747,0.765,0.196,1.85480854662698e-65,"Gmeb1",1.85480854662698e-65,"Up"
7.02702450337733e-68,1.63010432001269,0.923,0.615,2.05891817948956e-65,"Tcf21",2.05891817948956e-65,"Up"
4.80532057613973e-67,-1.17808952824047,0.667,0.984,1.40795892880894e-64,"Zfp42",1.40795892880894e-64,"Down"
9.96181745464604e-67,1.41261235915352,0.96,0.75,2.91881251421129e-64,"Zfp639",2.91881251421129e-64,"Up"
1.10683787627921e-65,1.1952176747878,0.987,0.882,3.24303497749809e-63,"Fosl1",3.24303497749809e-63,"Up"
2.03071048259327e-65,1.36610823489739,0.907,0.471,5.94998171399829e-63,"Patz1",5.94998171399829e-63,"Up"
3.95233608664197e-65,-1.07416334206607,0.852,0.994,1.1580344733861e-62,"Sfpq",1.1580344733861e-62,"Down"
2.94808899958481e-60,1.33371508687911,0.942,0.632,8.6379007687835e-58,"Hoxa10",8.6379007687835e-58,"Up"
3.79182962853378e-60,1.46770985388464,0.894,0.518,1.1110060811604e-57,"Egr2",1.1110060811604e-57,"Up"
9.93344628891049e-60,2.29351291204241,0.664,0.22,2.91049976265077e-57,"Hand2",2.91049976265077e-57,"Up"
5.05742213863595e-59,1.24303830918058,0.95,0.658,1.48182468662033e-56,"Zbtb16",1.48182468662033e-56,"Up"
3.07724026439828e-58,1.46486408185676,0.876,0.46,9.01631397468696e-56,"Zbtb40",9.01631397468696e-56,"Up"
2.54642277959108e-56,-1.66359647007906,0.476,0.887,7.46101874420186e-54,"Tal1",7.46101874420186e-54,"Down"
3.0603550030587e-55,1.3753939867224,0.524,0.068,8.96684015896198e-53,"Nr1d2",8.96684015896198e-53,"Up"
2.26113982759019e-53,1.20819208465515,0.934,0.586,6.62513969483925e-51,"Prdm1",6.62513969483925e-51,"Up"
2.21678277773577e-51,1.46194123932923,0.87,0.393,6.49517353876582e-49,"Gata6",6.49517353876582e-49,"Up"
6.23581647870895e-50,-1.11796541191676,0.402,0.887,1.82709422826172e-47,"Nrf1",1.82709422826172e-47,"Down"
1.85114407378621e-48,1.34774919542261,0.529,0.089,5.42385213619361e-46,"Zfp317",5.42385213619361e-46,"Up"
2.94349394635868e-48,1.07547204155612,0.95,0.685,8.62443726283092e-46,"Sp2",8.62443726283092e-46,"Up"
1.13515014898009e-47,1.0503298713885,0.971,0.775,3.32598993651167e-45,"Zbtb7b",3.32598993651167e-45,"Up"
1.1289315382859e-46,1.22675332454237,0.847,0.435,3.30776940717767e-44,"Plag1",3.30776940717767e-44,"Up"
6.44657951182805e-45,1.02204286826336,0.939,0.654,1.88884779696562e-42,"Rfx2",1.88884779696562e-42,"Up"
4.71851851613036e-40,1.14338822407966,0.907,0.645,1.3825259252262e-37,"Zbtb18",1.3825259252262e-37,"Up"
9.25522646442095e-40,1.0002337451908,0.923,0.691,2.71178135407534e-37,"Bcl11a",2.71178135407534e-37,"Up"
7.81956633400709e-36,-1.00463402184706,0.955,0.947,2.29113293586408e-33,"Arid3a",2.29113293586408e-33,"Down"
2.1317471442925e-28,1.89013198258786,0.532,0.26,6.24601913277701e-26,"Creb3",6.24601913277701e-26,"Up"
2.80768554682176e-21,-1.19732805807251,0.132,0.438,8.22651865218777e-19,"Mettl14",8.22651865218777e-19,"Down"
5.65403136102585e-17,-1.07870410071132,0.101,0.344,1.65663118878057e-14,"Ikzf2",1.65663118878057e-14,"Down"
8.4300534743938e-13,1.44778448434682,0.333,0.161,2.47000566799738e-10,"Nr1d1",2.47000566799738e-10,"Up"
2.65864655689736e-12,-1.03169301062782,0.127,0.336,7.78983441170926e-10,"Rfxank",7.78983441170926e-10,"Down"
8.27502117349227e-06,-1.06103088880001,0.312,0.403,0.00242458120383323,"Bptf",0.00242458120383323,"Down"
