"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.72381533702325e-164,-3.39248711819691,0.602,0.991,2.09336103911585e-159,"Prl7a2-201",2.09336103911585e-159,"Down"
4.20826723130063e-158,-2.6750042259413,0.811,0.998,3.23422169794379e-153,"Prl8a9-201",3.23422169794379e-153,"Down"
1.29266024204747e-154,-2.42489314433463,0.801,0.998,9.93461102423164e-150,"Psg27-201",9.93461102423164e-150,"Down"
3.89322146647079e-154,-2.68574323488312,0.697,0.996,2.99209642584146e-149,"Psg28-201",2.99209642584146e-149,"Down"
7.36325105464046e-149,-1.81956708327391,0.998,1,5.65895296553338e-144,"Tpbpa-201",5.65895296553338e-144,"Down"
6.20572236949239e-147,-2.96912995203516,0.361,0.956,4.76934586984968e-142,"Ceacam5-201",4.76934586984968e-142,"Down"
4.59813429458625e-146,-2.89250276133634,0.35,0.959,3.53385013076132e-141,"Psg17-201",3.53385013076132e-141,"Down"
1.09445074317086e-139,-3.35558401785448,0.395,0.957,8.41129174156532e-135,"Prl2b1-202",8.41129174156532e-135,"Down"
4.27701601079021e-137,-3.20847023268946,0.783,0.991,3.28705788493271e-132,"Psg21-201",3.28705788493271e-132,"Down"
4.87904681349755e-130,-2.67554543299148,0.371,0.95,3.7497426380454e-125,"Psg-ps1-201",3.7497426380454e-125,"Down"
3.54724895664394e-127,-2.69746283675682,0.648,0.974,2.72620271313913e-122,"Prl3b1-201",2.72620271313913e-122,"Down"
7.11131527124301e-125,-2.19384067302905,0.604,0.974,5.4653302385611e-120,"Psg18-201",5.4653302385611e-120,"Down"
3.9236040068339e-124,-2.97624876900319,0.271,0.917,3.01544662341213e-119,"Flt1-203",3.01544662341213e-119,"Down"
1.34521095205324e-123,-2.51520803559654,0.317,0.935,1.033848425091e-118,"Psg25-201",1.033848425091e-118,"Down"
1.57737520371666e-123,-4.32335384430281,0.154,0.819,1.21227593906441e-118,"Prl8a8-202",1.21227593906441e-118,"Down"
1.77423158339739e-121,-2.00839163860961,0.871,0.996,1.36356794110423e-116,"Ceacam14-201",1.36356794110423e-116,"Down"
1.16515145197994e-118,-2.39053719632464,0.721,0.991,8.95465496904659e-114,"Tpbpb-201",8.95465496904659e-114,"Down"
5.51652129547593e-114,-2.27961193315062,0.441,0.941,4.23966727642507e-109,"Psg19-201",4.23966727642507e-109,"Down"
3.5842821730738e-112,-2.27823054699762,0.525,0.957,2.75466422129414e-107,"Calr-201",2.75466422129414e-107,"Down"
1.54944684899387e-107,-2.55292995146023,0.263,0.876,1.19081188132575e-102,"Ceacam3-201",1.19081188132575e-102,"Down"
4.69405629970274e-106,-2.21802215430507,0.705,0.98,3.60757002857354e-101,"Ceacam11-201",3.60757002857354e-101,"Down"
6.35714753926595e-106,2.97932523371656,0.849,0.397,4.88572216982745e-101,"Ftl1-ps1-202",4.88572216982745e-101,"Up"
1.61746353415908e-105,2.2746131558753,0.973,0.891,1.24308542454262e-100,"Tpt1-201",1.24308542454262e-100,"Up"
2.4845201807859e-105,-3.26529007129404,0.252,0.856,1.90945313974119e-100,"Cts3-201",1.90945313974119e-100,"Down"
2.030093253119e-99,-2.50111057979526,0.228,0.834,1.56020786875208e-94,"Pappa2-202",1.56020786875208e-94,"Down"
2.00570551313812e-97,-2.1061049805706,0.338,0.898,1.54146491506717e-92,"Psg29-201",1.54146491506717e-92,"Down"
7.25870882352065e-97,-2.99855764221095,0.205,0.791,5.57860807922856e-92,"Ctsm-202",5.57860807922856e-92,"Down"
1.54532809284499e-96,-2.37056903525773,0.473,0.924,1.18764645247509e-91,"Ceacam13-202",1.18764645247509e-91,"Down"
1.90223126438155e-96,-4.89367638057521,0.051,0.627,1.4619408159278e-91,"Psg16-202",1.4619408159278e-91,"Down"
