"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.37229697009477e-182,8.48310941320962,0.958,0.051,3.36028511339663e-177,"Psg16-202",3.36028511339663e-177,"Up"
4.42691851040909e-172,8.6866096055483,0.894,0.011,3.4022639519898e-167,"Prl8a6-203",3.4022639519898e-167,"Up"
2.97376549132568e-171,6.01101853598701,0.96,0.096,2.28545773070343e-166,"Psg26-201",2.28545773070343e-166,"Up"
6.74160597094883e-155,9.10904150832247,0.823,0.006,5.18119385291301e-150,"Prl8a6-201",5.18119385291301e-150,"Up"
1.46755264655048e-145,3.78713790990674,1,0.721,1.12787291097991e-140,"Tpbpb-201",1.12787291097991e-140,"Up"
9.20559204152727e-145,4.92025877311768,0.929,0.154,7.07486570759537e-140,"Prl8a8-202",7.07486570759537e-140,"Up"
1.67767393248114e-142,5.50297684209843,0.812,0.027,1.28935952406906e-137,"Fbln7-202",1.28935952406906e-137,"Up"
1.34732267518947e-140,6.37631342458769,0.81,0.037,1.03547136879011e-135,"Psg16-204",1.03547136879011e-135,"Up"
4.9745067744365e-139,4.40805237443525,0.995,0.783,3.82310743642543e-134,"Psg21-201",3.82310743642543e-134,"Up"
3.63697624268239e-134,3.89282758414087,0.981,0.576,2.79516172155113e-129,"Psg23-201",2.79516172155113e-129,"Up"
6.79713409251907e-134,4.62816234639174,0.958,0.392,5.22386943546461e-129,"Ceacam12-201",5.22386943546461e-129,"Up"
8.17006891514882e-133,5.30210502655212,0.775,0.027,6.27902476404847e-128,"Fbln7-201",6.27902476404847e-128,"Up"
2.62156706981623e-130,3.22671979493571,0.992,0.705,2.01477915583657e-125,"Ceacam11-201",2.01477915583657e-125,"Up"
4.36270180717449e-130,9.24815615530956,0.714,0.002,3.35291084688588e-125,"Prl3a1-201",3.35291084688588e-125,"Up"
1.1186956916002e-129,3.16605630364235,0.997,0.811,8.59762386822417e-125,"Prl8a9-201",8.59762386822417e-125,"Up"
4.63790221867356e-127,3.02458617770639,0.995,0.697,3.56441337113938e-122,"Psg28-201",3.56441337113938e-122,"Up"
4.40558252422795e-126,4.19445540609533,0.913,0.252,3.38586639317015e-121,"Cts3-201",3.38586639317015e-121,"Up"
2.08593076279259e-125,5.17110311596068,0.812,0.091,1.60312122843662e-120,"Prl8a8-201",1.60312122843662e-120,"Up"
1.64646687701047e-124,4.42476271999677,0.902,0.226,1.26537565365763e-119,"Cts3-202",1.26537565365763e-119,"Up"
4.6219190442709e-119,2.3783972025707,0.992,0.801,3.55212966228396e-114,"Psg27-201",3.55212966228396e-114,"Up"
5.53425086425419e-119,2.81063674511627,0.966,0.371,4.25329315921392e-114,"Psg-ps1-201",4.25329315921392e-114,"Up"
3.76748351330888e-117,3.13737286310189,0.95,0.361,2.89546177931841e-112,"Ceacam5-201",2.89546177931841e-112,"Up"
5.60585316416086e-116,3.02999284704735,0.939,0.35,4.30832239078419e-111,"Psg17-201",4.30832239078419e-111,"Up"
2.2553991216989e-113,2.89787262317245,0.971,0.648,1.73336444099047e-108,"Prl3b1-201",1.73336444099047e-108,"Up"
5.24913726821989e-106,3.29218749930434,0.886,0.271,4.03417195611772e-101,"Flt1-203",4.03417195611772e-101,"Up"
9.45544179367571e-102,3.29431976379509,0.849,0.205,7.26688523611153e-97,"Ctsm-202",7.26688523611153e-97,"Up"
2.19249497455574e-99,4.61401329951547,0.669,0.048,1.68502008774506e-94,"Pla2g7-201",1.68502008774506e-94,"Up"
2.23334589253026e-98,2.48036664115191,0.918,0.317,1.7164156522452e-93,"Psg25-201",1.7164156522452e-93,"Up"
3.46473631468315e-96,3.06293950241785,0.862,0.228,2.66278844728659e-91,"Pappa2-202",2.66278844728659e-91,"Up"
1.06407957923445e-94,2.8397993565337,0.865,0.24,8.17787719824848e-90,"Maged1-201",8.17787719824848e-90,"Up"
1.42313245808828e-94,1.57641133274093,1,0.998,1.09373421933917e-89,"Tpbpa-201",1.09373421933917e-89,"Up"
2.54971591860178e-94,2.35440729210447,0.931,0.441,1.95955867208221e-89,"Psg19-201",1.95955867208221e-89,"Up"
5.83491125523006e-91,2.86375449573583,0.767,0.123,4.48436269609451e-86,"Gns-201",4.48436269609451e-86,"Up"
1.21794002205102e-90,11.158572609056,0.529,0,9.36035624547094e-86,"Prl8a6-202",9.36035624547094e-86,"Up"
1.6654274131957e-90,2.62497544214941,0.87,0.263,1.27994758413743e-85,"Ceacam3-201",1.27994758413743e-85,"Up"
2.28712237530191e-88,3.96440023974205,0.632,0.049,1.75774503031453e-83,"Slco2a1-201",1.75774503031453e-83,"Up"
1.9308559710936e-85,-2.15637087727667,0.844,0.96,1.48394004802428e-80,"Ptma-201",1.48394004802428e-80,"Down"
6.72180789274497e-84,3.41659899113003,0.582,0.029,5.16597823789022e-79,"Creb3l1-201",5.16597823789022e-79,"Up"
1.49002038852458e-77,2.602901460584,0.603,0.049,1.14514026939668e-72,"Col3a1-201",1.14514026939668e-72,"Up"
1.12963794456787e-76,4.87083395510261,0.526,0.025,8.68171945918187e-72,"Prl8a1-201",8.68171945918187e-72,"Up"
1.06434434382288e-75,1.55002349577934,0.992,0.871,8.17991202001639e-71,"Ceacam14-201",8.17991202001639e-71,"Up"
2.92000870369823e-75,1.92706558554189,0.635,0.068,2.24414348914024e-70,"Col1a1-201",2.24414348914024e-70,"Up"
4.4008965794457e-75,3.064560726857,0.717,0.118,3.3822650571672e-70,"Ctsj-202",3.3822650571672e-70,"Up"
8.78726568129844e-75,-1.89919944617544,0.844,0.973,6.75336516670511e-70,"Tpt1-201",6.75336516670511e-70,"Down"
