"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.54285298547457e-71,5.9238095280003,0.626,0.05,1.18574423345663e-66,"Prl3a1-201",1.18574423345663e-66,"Up"
1.02359807922158e-63,4.62652503518997,0.801,0.233,7.86676067804954e-59,"Prl8a6-203",7.86676067804954e-59,"Up"
1.10013733767737e-61,-2.07347312252548,0.701,0.991,8.45499549498566e-57,"Prl7a2-201",8.45499549498566e-57,"Down"
4.22816097585446e-61,3.85227723616723,0.777,0.218,3.24951083638319e-56,"Prl8a6-201",3.24951083638319e-56,"Up"
9.19937626604145e-58,-2.34894699944271,0.455,0.957,7.0700886355035e-53,"Prl2b1-202",7.0700886355035e-53,"Down"
3.19406488283041e-54,-1.76143497306204,0.72,0.974,2.45476662505049e-49,"Psg18-201",2.45476662505049e-49,"Down"
8.37023794915322e-52,3.99950288996418,0.697,0.161,6.43286267344221e-47,"Ftl1-206",6.43286267344221e-47,"Up"
5.32347220370415e-42,2.72777268991305,0.848,0.366,4.09130132743479e-37,"Ftl1-203",4.09130132743479e-37,"Up"
2.55235089371938e-39,3.40452545478507,0.825,0.627,1.96158375585909e-34,"Psg16-202",1.96158375585909e-34,"Up"
7.77085301639019e-36,2.39846470334069,0.763,0.397,5.97221137721651e-31,"Ftl1-ps1-202",5.97221137721651e-31,"Up"
1.84127166966511e-33,-3.05554887653258,0.185,0.669,1.41509092900442e-28,"Prl2c5-201",1.41509092900442e-28,"Down"
1.63225972980526e-32,-1.83693067430517,0.166,0.677,1.25445689274454e-27,"Plet1-201",1.25445689274454e-27,"Down"
7.18622420900991e-31,-1.03328332593751,0.877,0.996,5.52290075359248e-26,"Ceacam14-201",5.52290075359248e-26,"Down"
1.27351091683097e-30,-1.11219727980809,0.616,0.956,9.78744080021274e-26,"Ceacam5-201",9.78744080021274e-26,"Down"
1.46538395078122e-29,-1.22486224621359,0.687,0.957,1.1262061815334e-24,"Calr-201",1.1262061815334e-24,"Down"
2.02621463440543e-28,-1.7866200344284,0.393,0.839,1.55722699512595e-23,"Peg10-202",1.55722699512595e-23,"Down"
2.96049645065616e-28,-2.63624283711358,0.118,0.573,2.27525994218729e-23,"Alas2-201",2.27525994218729e-23,"Down"
1.09112939746547e-25,3.36052031890492,0.393,0.087,8.38576587128115e-21,"Afp-201",8.38576587128115e-21,"Up"
2.09986069369054e-25,-3.31506532454443,0.114,0.534,1.61382693752893e-20,"Prl7d1-203",1.61382693752893e-20,"Down"
5.67760113813609e-25,3.96580112363088,0.365,0.076,4.36346357870311e-20,"Drosha-207",4.36346357870311e-20,"Up"
3.95709758677136e-24,3.80758587121533,0.365,0.079,3.04118777933726e-19,"Drosha-201",3.04118777933726e-19,"Up"
4.09296001562973e-24,1.98217637329703,0.749,0.375,3.14560349041208e-19,"Ftl1-202",3.14560349041208e-19,"Up"
7.59834234043063e-23,-1.8378331994549,0.171,0.582,5.83963002231456e-18,"Tfpi-202",5.83963002231456e-18,"Down"
7.69080306119834e-23,-1.80957460117954,0.171,0.582,5.91068978465337e-18,"Tfpi-204",5.91068978465337e-18,"Down"
2.68482162941725e-22,-1.7772024173348,0.171,0.577,2.06339281507233e-17,"Tfpi-205",2.06339281507233e-17,"Down"
3.97790602770186e-22,1.35406136287326,0.976,0.991,3.05717989852999e-17,"Tpbpb-201",3.05717989852999e-17,"Up"
1.95836700745854e-21,-2.06845342810602,0.204,0.577,1.50508337991219e-16,"St6gal1-201",1.50508337991219e-16,"Down"
2.5912794493772e-21,2.92641896539531,0.597,0.312,1.99150190802435e-16,"Tmsb10-203",1.99150190802435e-16,"Up"
3.79718654785953e-21,-1.67786047917983,0.355,0.686,2.91828974949197e-16,"Erp29-203",2.91828974949197e-16,"Down"
5.29205447600021e-21,2.50261399573165,0.692,0.445,4.0671555469852e-16,"Ctla2a-204",4.0671555469852e-16,"Up"
5.59166592336194e-21,-1.02034304428016,0.555,0.898,4.29741892874059e-16,"Psg29-201",4.29741892874059e-16,"Down"
5.84431722271467e-21,-1.30649409526564,0.645,0.911,4.49159155834513e-16,"Serpinh1-201",4.49159155834513e-16,"Down"
8.50602291571316e-21,-2.68016388689386,0.1,0.464,6.53721885164219e-16,"Alas2-202",6.53721885164219e-16,"Down"
7.4436863470128e-20,-1.23963175495093,0.384,0.78,5.72077070513322e-15,"Peg10-203",5.72077070513322e-15,"Down"
8.41193095642856e-20,-1.00831754317594,0.626,0.917,6.46490541725361e-15,"Flt1-203",6.46490541725361e-15,"Down"
1.48570640194514e-19,2.06357772450913,0.754,0.669,1.14182479815092e-14,"Psg26-201",1.14182479815092e-14,"Up"
1.91528815549668e-19,2.40501408918578,0.678,0.444,1.47197555902542e-14,"Ctla2a-202",1.47197555902542e-14,"Up"
4.12888047578465e-19,-1.28693927991378,0.218,0.603,3.17320980085953e-14,"Creld2-201",3.17320980085953e-14,"Down"
6.38506289035987e-19,2.29791426599999,0.687,0.455,4.90717623375717e-14,"Ctla2a-209",4.90717623375717e-14,"Up"
9.15659891199287e-19,-1.94223402792522,0.218,0.556,7.037212527823e-14,"Ssr2-207",7.037212527823e-14,"Down"
1.07833841481026e-18,-1.39009884814454,0.336,0.689,8.2874620531828e-14,"Pappa2-203",8.2874620531828e-14,"Down"
1.21133291797654e-17,-2.46557690124169,0.114,0.445,9.30957800781691e-13,"Prl7d1-201",9.30957800781691e-13,"Down"
2.96611248555741e-17,-1.76475329383333,0.204,0.532,2.27957608965029e-12,"St6gal1-205",2.27957608965029e-12,"Down"
3.70154994005007e-17,2.30560385144703,0.668,0.447,2.84478919092608e-12,"Ctla2a-203",2.84478919092608e-12,"Up"
3.97386740499027e-17,-1.38962962328591,0.441,0.749,3.05407605543122e-12,"Ctsm-201",3.05407605543122e-12,"Down"
1.06266818724492e-16,2.4924805755975,0.782,0.584,8.16703008625209e-12,"Ctla2a-201",8.16703008625209e-12,"Up"
1.94606809456899e-16,3.16594457873186,0.36,0.115,1.49563117340005e-11,"Timp2-201",1.49563117340005e-11,"Up"
3.60237282197271e-16,-1.38076974913962,0.398,0.715,2.76856760859891e-11,"Nrk-202",2.76856760859891e-11,"Down"
1.13578688739866e-15,-1.68140430834785,0.185,0.497,8.72897654441367e-11,"Prl2c5-202",8.72897654441367e-11,"Down"
1.26715922241454e-15,1.84632574250118,0.877,0.891,9.73862548794474e-11,"Tpt1-201",9.73862548794474e-11,"Up"
1.34661009809511e-15,-1.68425730536537,0.123,0.423,1.03492372479002e-10,"Cdh3-201",1.03492372479002e-10,"Down"
1.56067869733175e-15,-1.22156805309575,0.526,0.839,1.19944400604734e-10,"Slc38a4-201",1.19944400604734e-10,"Down"
1.65273255609411e-15,-2.47791041731036,0.152,0.455,1.27019107866057e-10,"Prl2c5-204",1.27019107866057e-10,"Down"
1.71487671915088e-15,2.62332708047584,0.716,0.444,1.31795135373621e-10,"Tpbpb-202",1.31795135373621e-10,"Up"
3.85430912574131e-15,1.33034097750449,0.934,0.878,2.96219073549723e-10,"Fth1-201",2.96219073549723e-10,"Up"
3.9672371476209e-15,-2.84948961199396,0.081,0.364,3.04898043743257e-10,"Tent5c-201",3.04898043743257e-10,"Down"
4.15100819025005e-15,-2.46718648966214,0.057,0.335,3.19021583453477e-10,"Tpm2-201",3.19021583453477e-10,"Down"
7.77845601586753e-15,-1.30235395855643,0.318,0.623,5.97805458643483e-10,"Tmem248-202",5.97805458643483e-10,"Down"
9.96786092182151e-15,-1.45527508787438,0.218,0.538,7.6606998328567e-10,"Rnf128-201",7.6606998328567e-10,"Down"
1.27259575845222e-14,-1.13211024166413,0.536,0.854,9.78040744200872e-10,"Ceacam12-203",9.78040744200872e-10,"Down"
1.92441725416612e-14,-1.68624644966708,0.171,0.46,1.47899163651683e-09,"Mitf-204",1.47899163651683e-09,"Down"
2.57427847283079e-14,-1.68957132174342,0.171,0.458,1.97843597750938e-09,"Mitf-203",1.97843597750938e-09,"Down"
2.6546679401549e-14,1.25323690031707,0.678,0.418,2.04021849872665e-09,"Prl8a8-204",2.04021849872665e-09,"Up"
8.80546657160751e-14,-1.98275985448225,0.104,0.39,6.76735327894324e-09,"Prl7a1-202",6.76735327894324e-09,"Down"
8.86873190483938e-14,-1.66906801667872,0.218,0.497,6.81597521814526e-09,"Ssr2-201",6.81597521814526e-09,"Down"
1.02454234866246e-13,-1.12870992462727,0.299,0.61,7.87401776641049e-09,"Peg3-201",7.87401776641049e-09,"Down"
2.15468779377673e-13,-1.91971947025221,0.104,0.384,1.65596375702917e-08,"Prl7a1-201",1.65596375702917e-08,"Down"
2.78956859121919e-13,-1.0937833759617,0.218,0.527,2.1438950450956e-08,"Serpinb9e-201",2.1438950450956e-08,"Down"
3.57522967978971e-13,1.19101720433734,0.934,0.878,2.74770701810558e-08,"Fth1-203",2.74770701810558e-08,"Up"
5.2975287074519e-13,-1.2765420587934,0.289,0.562,4.07136271282508e-08,"Ccl27b-201",4.07136271282508e-08,"Down"
5.2975993069375e-13,1.5160405968985,0.773,0.643,4.07141697135375e-08,"Eif1-201",4.07141697135375e-08,"Up"
5.70953570041962e-13,-1.21406241750206,0.081,0.344,4.3880065672005e-08,"Tpm2-203",4.3880065672005e-08,"Down"
1.31694982977168e-12,-1.41116827507891,0.237,0.495,1.01212862217273e-07,"Stt3b-201",1.01212862217273e-07,"Down"
2.05123831710751e-12,-1.5132084445798,0.199,0.47,1.5764586962298e-07,"Mitf-207",1.5764586962298e-07,"Down"
2.58574681368582e-12,-1.57119658191414,0.175,0.457,1.9872498561901e-07,"Nsd3-210",1.9872498561901e-07,"Down"
3.52924563350402e-12,2.61053803973196,0.445,0.235,2.71236643917318e-07,"Tmsb10-202",2.71236643917318e-07,"Up"
7.48691836553992e-12,-1.19943159350426,0.242,0.523,5.75399624065205e-07,"Taf7-201",5.75399624065205e-07,"Down"
1.52960564217963e-11,-2.04096126734972,0.209,0.468,1.17556312024073e-06,"Lifr-201",1.17556312024073e-06,"Down"
3.60797786506741e-11,-1.19157607280309,0.18,0.444,2.7728753084189e-06,"Efhd2-201",2.7728753084189e-06,"Down"
4.44190604556346e-11,-1.80407666567621,0.118,0.351,3.41378247225734e-06,"Golm1-201",3.41378247225734e-06,"Down"
4.5219914633834e-11,2.09790568973449,0.469,0.264,3.47533131926867e-06,"B2m-201",3.47533131926867e-06,"Up"
5.09666011847088e-11,-1.68457831852202,0.142,0.39,3.91698716744961e-06,"Tfpi-203",3.91698716744961e-06,"Down"
5.84506682820402e-11,2.37641592332535,0.483,0.298,4.49216766014792e-06,"Tmsb10-201",4.49216766014792e-06,"Up"
5.8807063051578e-11,-1.01870893360946,0.232,0.492,4.51955802376597e-06,"Stt3a-201",4.51955802376597e-06,"Down"
6.16762120599209e-11,-2.56172433114255,0.199,0.429,4.74006360165316e-06,"Ccl27a-203",4.74006360165316e-06,"Down"
7.63911158566868e-11,-1.06560186843537,0.403,0.649,5.8709628180498e-06,"Tnfrsf9-204",5.8709628180498e-06,"Down"
9.09720023914538e-11,-1.27300375158772,0.246,0.506,6.99156227179279e-06,"Colec12-204",6.99156227179279e-06,"Down"
9.92160561453328e-11,-1.58592272879775,0.133,0.372,7.62515077899341e-06,"Anxa4-201",7.62515077899341e-06,"Down"
1.05587981390711e-10,1.70983197824451,0.555,0.399,8.11485872180173e-06,"Fbln7-202",8.11485872180173e-06,"Up"
1.39199431886906e-10,-1.80355603756301,0.123,0.353,1.06980331382363e-05,"Creb3-201",1.06980331382363e-05,"Down"
1.45567716667748e-10,-1.90383353104877,0.128,0.353,1.11874612967831e-05,"Trap1a-201",1.11874612967831e-05,"Down"
2.19845081804318e-10,-1.65638981119504,0.109,0.34,1.6895973916989e-05,"Xylt1-202",1.6895973916989e-05,"Down"
2.35043278165949e-10,-1.83970044339719,0.123,0.355,1.80640161001658e-05,"Slc25a37-201",1.80640161001658e-05,"Down"
2.82752355018641e-10,1.67633767983475,0.55,0.399,2.17306494926027e-05,"Fbln7-201",2.17306494926027e-05,"Up"
