"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.72872990889996e-179,8.36516780945676,0.952,0.057,3.037724195919e-175,"Psg16",3.037724195919e-175,"Up"
5.4096755855661e-175,9.8320548795302,0.902,0.011,9.50588193895675e-171,"Prl8a6",9.50588193895675e-171,"Up"
1.17851881083033e-170,6.72779729778394,0.942,0.078,2.07089325439106e-166,"Psg26",2.07089325439106e-166,"Up"
5.21085202120951e-155,5.78120080325523,0.929,0.135,9.15650917166935e-151,"Prl8a8",9.15650917166935e-151,"Up"
3.40577600385163e-149,4.94029172035337,0.963,0.269,5.98462959396809e-145,"Cts3",5.98462959396809e-145,"Up"
7.78428860012171e-144,4.04049143928382,0.997,0.721,1.36785519281339e-139,"Tpbpb",1.36785519281339e-139,"Up"
9.16950554620267e-140,4.54521068649404,0.971,0.363,1.61126551457873e-135,"Ceacam12",1.61126551457873e-135,"Up"
1.53567892015457e-138,5.99111259307072,0.788,0.027,2.6984949984956e-134,"Fbln7",2.6984949984956e-134,"Up"
1.97258136799187e-134,4.5201577083914,0.968,0.475,3.46621997983531e-130,"Psg23",3.46621997983531e-130,"Up"
1.18332848325359e-133,3.81074484501035,0.955,0.326,2.0793448107732e-129,"1600012P17Rik",2.0793448107732e-129,"Up"
9.91567277926102e-131,3.91685013013898,0.995,0.707,1.74238202077175e-126,"Prl8a9",1.74238202077175e-126,"Up"
1.91394789733749e-130,3.73048732818482,0.989,0.674,3.36318924520143e-126,"Psg21",3.36318924520143e-126,"Up"
2.15519692823015e-126,3.55948420293579,0.987,0.642,3.78711204228601e-122,"Psg28",3.78711204228601e-122,"Up"
3.77279653816007e-126,3.81127166414125,0.989,0.646,6.62955807685488e-122,"Ceacam11",6.62955807685488e-122,"Up"
9.3052056874823e-124,-4.24561260127877,0.14,0.919,1.63511074340439e-119,"H19",1.63511074340439e-119,"Down"
5.29703554229872e-120,2.88864939505665,0.989,0.764,9.30795085492731e-116,"Psg27",9.30795085492731e-116,"Up"
1.31566505027094e-119,10.6317352475937,0.664,0,2.3118866263361e-115,"Prl3a1",2.3118866263361e-115,"Up"
1.72329377022343e-119,3.76479980236293,0.926,0.352,3.02817181303661e-115,"Ceacam5",3.02817181303661e-115,"Up"
4.76631096760418e-116,3.32321739172838,0.944,0.411,8.37536163227406e-112,"Fn1",8.37536163227406e-112,"Up"
2.26189302883983e-114,3.60219733367481,0.902,0.339,3.97459843027734e-110,"Psg17",3.97459843027734e-110,"Up"
9.70090155009923e-111,2.96672005460864,0.913,0.29,1.70464242038344e-106,"Flt1",1.70464242038344e-106,"Up"
1.73368858275094e-108,3.22401623790774,0.899,0.283,3.04643757760995e-104,"Psg25",3.04643757760995e-104,"Up"
5.03940054375709e-107,3.56969984923203,0.854,0.223,8.85523463548995e-103,"Ctsm",8.85523463548995e-103,"Up"
1.00320069987373e-104,2.76031051800357,0.929,0.42,1.76282426981812e-100,"Psg19",1.76282426981812e-100,"Up"
2.2061502674795e-100,2.71776122859837,0.974,0.696,3.87664725001497e-96,"Prl3b1",3.87664725001497e-96,"Up"
4.99010719557193e-99,4.291422650981,0.894,0.384,8.768616364059e-95,"Jarid2",8.768616364059e-95,"Up"
7.69696707535292e-97,3.19957441476371,0.839,0.253,1.35251105448101e-92,"Ceacam3",1.35251105448101e-92,"Up"
