"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.2065155339574e-41,-1.60746389600306,0.619,0.972,9.14888909626994e-37,"Zfp791",9.14888909626994e-37,"Down"
7.10908054400359e-41,-2.77802314947706,0.111,0.63,1.24920763319231e-36,"Malat1",1.24920763319231e-36,"Down"
1.85358926250929e-38,1.89028529382559,0.968,0.801,3.25712705208132e-34,"Psg23",3.25712705208132e-34,"Up"
2.07921489839639e-30,-1.08893887193691,0.958,0.981,3.65359641946213e-26,"Itga9",3.65359641946213e-26,"Down"
1.64598982514884e-29,1.48420994671605,0.944,0.706,2.89233332075155e-25,"Fn1",2.89233332075155e-25,"Up"
3.68729142230605e-29,-2.80254799020131,0.14,0.569,6.47930848727619e-25,"H19",6.47930848727619e-25,"Down"
1.3574551930921e-28,1.50455302530642,0.926,0.64,2.38532026530144e-24,"Ceacam5",2.38532026530144e-24,"Up"
4.83866809956056e-25,1.19429959415373,0.937,0.754,8.50250758454781e-21,"Psg18",8.50250758454781e-21,"Up"
1.17409236871102e-24,1.04614777736877,0.989,0.886,2.063115110299e-20,"Psg21",2.063115110299e-20,"Up"
1.1265254212268e-23,1.09076445584149,0.955,0.73,1.97953047017973e-19,"1600012P17Rik",1.97953047017973e-19,"Up"
4.72575542116525e-23,-1.41030388011215,0.381,0.777,8.30409742607157e-19,"Il31ra",8.30409742607157e-19,"Down"
8.77689366418211e-23,-1.42689258929021,0.603,0.872,1.54227575467008e-18,"Tpt1",1.54227575467008e-18,"Down"
1.14439881584301e-22,1.44773117525517,0.865,0.616,2.01093759919933e-18,"Pappa2",2.01093759919933e-18,"Up"
6.09035847088428e-21,-1.90931473815547,0.156,0.521,1.07019779050379e-16,"Mphosph8",1.07019779050379e-16,"Down"
6.1268298200072e-21,1.02830489691353,0.929,0.659,1.07660653597166e-16,"Psg19",1.07660653597166e-16,"Up"
1.50881442329847e-20,-1.86530954664464,0.283,0.626,2.65128870462007e-16,"Gnb1l",2.65128870462007e-16,"Down"
1.67281868062131e-20,1.15885676448611,0.899,0.645,2.93947698558777e-16,"Psg25",2.93947698558777e-16,"Up"
2.27049437496559e-20,1.07919731530846,0.913,0.654,3.98971271568954e-16,"Flt1",3.98971271568954e-16,"Up"
4.49227092987004e-20,1.04766922327693,0.989,0.848,7.89381847796763e-16,"Ceacam11",7.89381847796763e-16,"Up"
1.02364054695573e-18,1.03569012623845,0.971,0.791,1.79874116911061e-14,"Ceacam12",1.79874116911061e-14,"Up"
3.54932929075243e-18,1.25784585911748,0.854,0.588,6.23688142971018e-14,"Ctsm",6.23688142971018e-14,"Up"
5.72164615737584e-17,1.23708952746196,0.91,0.701,1.00540766277408e-12,"Prl7a2",1.00540766277408e-12,"Up"
9.27686803502067e-17,1.33373098190016,0.81,0.564,1.63013125111383e-12,"Psg29",1.63013125111383e-12,"Up"
1.19222853125359e-15,-2.45977344900044,0.365,0.635,2.0949839751188e-11,"Ctla2a",2.0949839751188e-11,"Down"
1.77676013524334e-15,1.02580048283352,0.839,0.559,3.12212290964961e-11,"Ceacam3",3.12212290964961e-11,"Up"
1.3639215614533e-14,1.08618326414332,0.929,0.782,2.39668296778574e-10,"Prl8a8",2.39668296778574e-10,"Up"
2.64993264527297e-13,-1.5434626868732,0.238,0.517,4.65646164427366e-09,"6030443J06Rik",4.65646164427366e-09,"Down"
1.1774866593545e-12,-1.04897982089516,0.624,0.81,2.06907955781773e-08,"Eef1a1",2.06907955781773e-08,"Down"
7.55587369827577e-12,-1.27060780542801,0.333,0.597,1.32771812626102e-07,"Tlcd4",1.32771812626102e-07,"Down"
1.49607928121875e-10,-1.35946854320475,0.347,0.564,2.62891051295759e-06,"Tmsb10",2.62891051295759e-06,"Down"
1.63018815147978e-10,-1.48499942528861,0.214,0.455,2.86456661978026e-06,"Baiap2l1",2.86456661978026e-06,"Down"
6.88226091915656e-10,1.25592084410698,0.693,0.45,1.20935088871419e-05,"Prl2b1",1.20935088871419e-05,"Up"
9.85670453787535e-10,-1.02990487896906,0.116,0.341,1.73202012139546e-05,"Afp",1.73202012139546e-05,"Down"
1.34883917285147e-09,-1.01408958893144,0.569,0.725,2.37018019453461e-05,"Ptma",2.37018019453461e-05,"Down"
5.23096696965895e-08,1.1382954420038,0.429,0.209,0.000919185515908471,"Rnf128",0.000919185515908471,"Up"
1.0024607816479e-07,1.04923227331161,0.519,0.294,0.00176152408551168,"Csf1r",0.00176152408551168,"Up"
1.47077100443816e-07,1.0519415605696,0.426,0.209,0.00258443880899873,"Slit1",0.00258443880899873,"Up"
