"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.9192724754472e-140,8.31707862096272,0.972,0.055,1.21585455938558e-135,"Zfp791",1.21585455938558e-135,"Up"
8.74279492764652e-100,5.38328778743996,0.981,0.529,1.53628392468605e-95,"Itga9",1.53628392468605e-95,"Up"
2.46753090343303e-99,3.35853530663752,1,0.945,4.33594530351252e-95,"Peak1",4.33594530351252e-95,"Up"
3.94064135255038e-98,2.98686980192605,1,0.989,6.92449498470153e-94,"Zc3h7a",6.92449498470153e-94,"Up"
1.01099732501837e-88,4.19154657355106,0.972,0.475,1.77652449952228e-84,"Jarid2",1.77652449952228e-84,"Up"
4.28129437316145e-85,4.24246630782006,0.91,0.275,7.52309047251931e-81,"Tmtc2",7.52309047251931e-81,"Up"
2.26864391299829e-79,3.62078876268438,0.953,0.418,3.9864610839206e-75,"D130009I18Rik",3.9864610839206e-75,"Up"
7.58037619284282e-69,4.63780896149246,0.626,0.055,1.33202370460634e-64,"Gnb1l",1.33202370460634e-64,"Up"
1.81452655372087e-68,5.53657821254554,0.592,0.041,3.18848606019832e-64,"Prl3a1",3.18848606019832e-64,"Up"
3.77716118893013e-68,4.12035519541573,0.825,0.231,6.63722764118803e-64,"Prl8a6",6.63722764118803e-64,"Up"
1.66402962214426e-62,-2.45119570861576,0.45,0.957,2.9240328520319e-58,"Prl2b1",2.9240328520319e-58,"Down"
3.0445333048967e-62,-2.14597939886961,0.701,0.989,5.34985392336447e-58,"Prl7a2",5.34985392336447e-58,"Down"
2.33380067175565e-54,-1.73474314199825,0.754,0.978,4.10095454040902e-50,"Psg18",4.10095454040902e-50,"Down"
8.69638999196203e-50,2.6692342441265,0.777,0.281,1.52812964938757e-45,"Il31ra",1.52812964938757e-45,"Up"
9.7822606849227e-50,4.62847475848737,0.45,0.028,1.71893884755462e-45,"Sspn",1.71893884755462e-45,"Up"
3.48682739678705e-49,3.83643289192427,0.521,0.063,6.1270531016342e-45,"Mphosph8",6.1270531016342e-45,"Up"
1.43259520598106e-39,-1.35600156459078,0.867,0.994,2.51735629594991e-35,"Ceacam14",2.51735629594991e-35,"Down"
1.51146590934245e-39,2.90091282952039,0.597,0.157,2.65594789589655e-35,"Tlcd4",2.65594789589655e-35,"Up"
3.63860786127842e-39,2.9539953400403,0.588,0.146,6.39376173383844e-35,"Arhgap21",6.39376173383844e-35,"Up"
6.84049082172675e-38,3.56274409362582,0.341,0.017,1.20201104719382e-33,"Afp",1.20201104719382e-33,"Up"
1.90115517259318e-36,1.89550667486386,0.853,0.49,3.34070986928073e-32,"Camk1d",3.34070986928073e-32,"Up"
9.4658224889449e-36,-1.38680050585154,0.649,0.957,1.6633343277574e-31,"Calr",1.6633343277574e-31,"Down"
3.04407719986573e-35,-1.25152326273176,0.64,0.961,5.34905245560406e-31,"Ceacam5",5.34905245560406e-31,"Down"
1.22095916721215e-34,-2.89235145191078,0.1,0.604,2.14546944862519e-30,"Plet1",2.14546944862519e-30,"Down"
5.68297168616724e-34,-2.9705629274455,0.147,0.636,9.98611784693308e-30,"Prl2c5",9.98611784693308e-30,"Down"
3.66923303336734e-33,2.31508181089877,0.668,0.264,6.44757628623309e-29,"Dnah7b",6.44757628623309e-29,"Up"
1.06745191847744e-32,-1.01673768842567,0.929,0.996,1.87572651114856e-28,"Psg27",1.87572651114856e-28,"Down"
1.70626413612961e-32,2.92699517339683,0.825,0.649,2.99824734000696e-28,"Psg16",2.99824734000696e-28,"Up"
2.72613377175565e-32,-2.20190279993493,0.384,0.793,4.79036226372903e-28,"Peg10",4.79036226372903e-28,"Down"
9.55854317462495e-32,-1.17572776410577,0.635,0.952,1.6796272066451e-27,"Pdia3",1.6796272066451e-27,"Down"
3.09635903796694e-31,2.51038868856468,0.483,0.105,5.44092210151551e-27,"Atf2",5.44092210151551e-27,"Up"
4.84906745173255e-31,-3.46725467996572,0.081,0.553,8.52078132618444e-27,"Prl7d1",8.52078132618444e-27,"Down"
3.01182130148153e-29,-1.36311573854929,0.265,0.738,5.29237239096335e-25,"Tfpi",5.29237239096335e-25,"Down"
3.7635401319066e-29,-1.15459695457117,0.654,0.948,6.61329271978628e-25,"Flt1",6.61329271978628e-25,"Down"
2.12276410630089e-28,-1.22309633686656,0.616,0.922,3.73012108759192e-24,"Pappa2",3.73012108759192e-24,"Down"
5.9350557242685e-28,-1.12925301263338,0.645,0.937,1.04290799186846e-23,"Psg25",1.04290799186846e-23,"Down"
2.01025251892317e-27,-1.2479019505271,0.564,0.887,3.53241572625179e-23,"Psg29",3.53241572625179e-23,"Down"
3.50380381950369e-27,-1.15644426217676,0.597,0.915,6.15688407163188e-23,"Serpinh1",6.15688407163188e-23,"Down"
1.21322178377019e-25,-1.13782704058879,0.597,0.898,2.13187331844097e-21,"P4hb",2.13187331844097e-21,"Down"
3.70564284072933e-25,-1.00327901848636,0.749,0.967,6.51155559972957e-21,"Gapdh",6.51155559972957e-21,"Down"
1.29332655033583e-22,-1.73650235279797,0.209,0.612,2.27263341425011e-18,"Erp29",2.27263341425011e-18,"Down"
4.25299688170761e-22,-2.22292912858638,0.142,0.521,7.47336612053662e-18,"Ssr2",7.47336612053662e-18,"Down"
1.18945350814851e-21,-1.08531146305539,0.588,0.891,2.09010770451855e-17,"Ctsm",2.09010770451855e-17,"Down"
4.25807952091238e-21,-1.37952882844012,0.365,0.738,7.48229733414724e-17,"Nrk",7.48229733414724e-17,"Down"
5.1687443988701e-21,2.06079396724947,0.564,0.262,9.08251765769453e-17,"Tmsb10",9.08251765769453e-17,"Up"
1.00395236165296e-20,1.9775638111787,0.517,0.198,1.76414508989659e-16,"6030443J06Rik",1.76414508989659e-16,"Up"
2.19630629271666e-20,-1.64461689304189,0.242,0.608,3.85934941756172e-16,"Ppib",3.85934941756172e-16,"Down"
1.81182707238125e-19,-1.64447405901961,0.209,0.575,3.18374253158833e-15,"Mitf",3.18374253158833e-15,"Down"
1.41183148718342e-18,-1.09227581388993,0.479,0.791,2.4808702892787e-14,"Tnfrsf9",2.4808702892787e-14,"Down"
1.91083513665462e-18,-1.61124075583685,0.166,0.529,3.3577195021295e-14,"Creld2",3.3577195021295e-14,"Down"
2.44126480265319e-18,-1.29950842805538,0.284,0.654,4.28979051122218e-14,"Atxn10",4.28979051122218e-14,"Down"
1.20536639756123e-17,-1.70728132252936,0.209,0.543,2.1180698337946e-13,"Tmem248",2.1180698337946e-13,"Down"
2.03644315294913e-17,-1.42529649795361,0.308,0.623,3.57843790836222e-13,"Isg20",3.57843790836222e-13,"Down"
1.14730674289546e-16,-2.2165232409376,0.09,0.403,2.0160474086159e-12,"Cdh3",2.0160474086159e-12,"Down"
6.47516623993822e-16,-1.0504199504477,0.464,0.762,1.13781621168194e-11,"Tmed2",1.13781621168194e-11,"Down"
8.94983987229459e-16,1.88979862756405,0.773,0.66,1.57266586235961e-11,"Psg26",1.57266586235961e-11,"Up"
1.87780860167358e-15,-2.41982298127846,0.1,0.394,3.29968527486081e-11,"Prl7a1",3.29968527486081e-11,"Down"
3.64619519708084e-15,-1.11830975589941,0.555,0.808,6.40709420031046e-11,"Krt8",6.40709420031046e-11,"Down"
4.08096088087654e-15,-1.47974798848826,0.209,0.523,7.17106445987626e-11,"Rnf128",7.17106445987626e-11,"Down"
1.41832257837359e-14,-1.3888483345004,0.251,0.567,2.49227643471807e-10,"Ddb1",2.49227643471807e-10,"Down"
3.29465677327491e-14,1.183748466328,0.872,0.793,5.78937088199868e-10,"Tpt1",5.78937088199868e-10,"Up"
3.6302457074449e-14,-1.92701662374262,0.09,0.375,6.37906775712218e-10,"Rarres2",6.37906775712218e-10,"Down"
7.78697247848481e-14,2.08854601138072,0.37,0.144,1.36832680391935e-09,"Btrc",1.36832680391935e-09,"Up"
9.64159344995096e-14,1.07428668622827,0.981,1,1.69422080102538e-09,"Tpbpb",1.69422080102538e-09,"Up"
1.42785201954788e-13,-1.34856742998014,0.237,0.538,2.50902156874953e-09,"Ada",2.50902156874953e-09,"Down"
1.94895853952054e-13,-1.99775821510564,0.104,0.375,3.4247099456455e-09,"Stt3b",3.4247099456455e-09,"Down"
2.3381908050142e-13,-1.53410877941238,0.194,0.475,4.10866888257095e-09,"Lifr",4.10866888257095e-09,"Down"
3.07274049417603e-13,-1.10742964030852,0.294,0.591,5.39941959636611e-09,"Csf1r",5.39941959636611e-09,"Down"
5.78470294270765e-13,-1.53524310107997,0.19,0.473,1.01648800109259e-08,"Ucp2",1.01648800109259e-08,"Down"
1.94665159062205e-12,-1.68712906413274,0.152,0.421,3.42065617504107e-08,"Colec12",3.42065617504107e-08,"Down"
3.45769522924552e-12,-1.87043309537625,0.095,0.349,6.07586205683023e-08,"Calu",6.07586205683023e-08,"Down"
6.01276649313248e-12,-1.51747810486826,0.18,0.447,1.05656332817324e-07,"Serpinb9e",1.05656332817324e-07,"Down"
6.15918117178997e-12,-1.43629549690286,0.204,0.468,1.08229131550693e-07,"Dnajb11",1.08229131550693e-07,"Down"
1.01527217601771e-11,-1.59307055292233,0.142,0.399,1.78403626769833e-07,"Stt3a",1.78403626769833e-07,"Down"
8.47886421875292e-11,-1.74941769441488,0.118,0.355,1.48990602051926e-06,"Cfap77",1.48990602051926e-06,"Down"
1.09467927031417e-10,-1.02663933509277,0.294,0.553,1.92357041379607e-06,"Dnajc3",1.92357041379607e-06,"Down"
1.27993242281714e-10,-1.15257632415775,0.237,0.494,2.24909725337428e-06,"Ddost",2.24909725337428e-06,"Down"
3.3188688921482e-10,-1.45501837161078,0.133,0.366,5.83191641728281e-06,"Laptm4a",5.83191641728281e-06,"Down"
3.34354168133539e-10,-1.06590421739741,0.204,0.46,5.87527144244255e-06,"Fndc3b",5.87527144244255e-06,"Down"
3.92381646911956e-10,-1.31883541345351,0.223,0.457,6.89493029953689e-06,"Nsd3",6.89493029953689e-06,"Down"
9.562018621939e-10,1.38165537444248,0.398,0.196,1.68023791224712e-05,"Tsc22d1",1.68023791224712e-05,"Up"
1.06155563974403e-09,-1.42084572602359,0.137,0.368,1.86536557015821e-05,"Efhd2",1.86536557015821e-05,"Down"
