"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.13015167785089e-93,-1.30861220865963,1,1,9.1713444161031e-91,"Dlx3",9.1713444161031e-91,"Down"
3.48965078582283e-92,-1.06247471726556,1,1,1.02246768024609e-89,"Zxdc",1.02246768024609e-89,"Down"
5.86242875755302e-89,-1.17371551475425,1,1,1.71769162596304e-86,"Glis1",1.71769162596304e-86,"Down"
2.8094812848528e-75,-1.77446206258746,0.85,1,8.23178016461871e-73,"Tead3",8.23178016461871e-73,"Down"
1.04228674537477e-72,1.01433662409888,1,1,3.05390016394806e-70,"Tbp",3.05390016394806e-70,"Up"
4.35992785202894e-66,-1.56328502635762,0.91,1,1.27745886064448e-63,"Pparg",1.27745886064448e-63,"Down"
4.93112140007311e-50,-1.42319383046941,0.835,0.988,1.44481857022142e-47,"Cux1",1.44481857022142e-47,"Down"
1.815092487235e-28,1.25982026032066,0.734,0.327,5.31822098759856e-26,"Cebpg",5.31822098759856e-26,"Up"
1.43289681206616e-21,-1.30679193270522,0.253,0.637,4.19838765935386e-19,"Gtf2ird1",4.19838765935386e-19,"Down"
1.6612791369929e-18,-1.6463157615364,0.296,0.596,4.86754787138921e-16,"Creb3",4.86754787138921e-16,"Down"
3.13362700605664e-18,-1.31373174880541,0.356,0.682,9.18152712774595e-16,"Grhl2",9.18152712774595e-16,"Down"
8.3358133966495e-16,1.12040325474398,0.649,0.388,2.4423933252183e-13,"Sox17",2.4423933252183e-13,"Up"
3.15586235678555e-11,-1.10872031929441,0.424,0.576,9.24667670538166e-09,"Ebf2",9.24667670538166e-09,"Down"
1.36147195048802e-06,1.16456071348279,0.373,0.224,0.00039891128149299,"Rfxank",0.00039891128149299,"Up"
5.17642700043686e-06,-1.04826792396705,0.195,0.347,0.001516693111128,"Nr1h3",0.001516693111128,"Down"
