"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.88586815434501e-29,2.43566830436973,1,0.446,8.45559369223087e-27,"Patz1",8.45559369223087e-27,"Up"
3.14865169081347e-25,1.72064801285288,1,0.807,9.22554945408348e-23,"Atf2",9.22554945408348e-23,"Up"
1.1154397243692e-17,1.34885030294969,1,1,3.26823839240177e-15,"Fosb",3.26823839240177e-15,"Up"
1.91159102052724e-15,1.07883700023959,1,1,5.6009616901448e-13,"Jun",5.6009616901448e-13,"Up"
3.86413200192934e-15,1.21403414567719,1,1,1.1321906765653e-12,"Rel",1.1321906765653e-12,"Up"
5.35229406714445e-15,1.36076923752319,1,1,1.56822216167332e-12,"Plagl1",1.56822216167332e-12,"Up"
2.626968245259e-14,1.24664575775482,1,1,7.69701695860886e-12,"Ebf1",7.69701695860886e-12,"Up"
4.2746444824903e-14,1.274514604399,1,1,1.25247083336966e-11,"Nfkb1",1.25247083336966e-11,"Up"
9.75321855437985e-14,1.36358873639543,1,1,2.8576930364333e-11,"Zbtb20",2.8576930364333e-11,"Up"
7.40244859171364e-13,1.43736929058043,1,0.992,2.1689174373721e-10,"Irf4",2.1689174373721e-10,"Up"
3.03811136841848e-12,1.2666471078484,1,1,8.90166630946616e-10,"Pax5",8.90166630946616e-10,"Up"
3.1149734151322e-12,1.20657524059698,1,0.997,9.12687210633734e-10,"Klf2",9.12687210633734e-10,"Up"
1.13470213069774e-11,1.40617027828359,1,1,3.32467724294437e-09,"Nfib",3.32467724294437e-09,"Up"
1.80401666176661e-11,1.44318053604478,1,0.997,5.28576881897616e-09,"Fli1",5.28576881897616e-09,"Up"
2.31217106557246e-11,1.00896095072945,1,1,6.7746612221273e-09,"Creb3l1",6.7746612221273e-09,"Up"
8.75291503809361e-11,1.86955062342933,0.918,0.624,2.56460410616143e-08,"Max",2.56460410616143e-08,"Up"
1.59473331280523e-10,1.01772568910336,1,1,4.67256860651932e-08,"Ets1",4.67256860651932e-08,"Up"
1.66792621980597e-10,1.43762855864312,1,0.96,4.8870238240315e-08,"Gata4",4.8870238240315e-08,"Up"
2.79129231692288e-10,1.58240551435306,1,0.942,8.17848648858403e-08,"Relb",8.17848648858403e-08,"Up"
4.3285371242236e-10,1.05450107735639,1,1,1.26826137739751e-07,"Klf13",1.26826137739751e-07,"Up"
5.00665926978621e-10,1.15563917496287,1,1,1.46695116604736e-07,"Etv6",1.46695116604736e-07,"Up"
6.88737155765206e-10,2.56465801098918,0.673,0.313,2.01799986639205e-07,"Tcf21",2.01799986639205e-07,"Up"
8.01369244916399e-10,1.28832748961138,1,1,2.34801188760505e-07,"Egr1",2.34801188760505e-07,"Up"
1.13950843453012e-09,1.20659446100218,1,1,3.33875971317324e-07,"Zfp407",3.33875971317324e-07,"Up"
5.39995484242595e-09,2.0609228859728,0.796,0.424,1.5821867688308e-06,"Ebf2",1.5821867688308e-06,"Up"
1.04025321217217e-08,2.19442637511732,0.633,0.296,3.04794191166445e-06,"Creb3",3.04794191166445e-06,"Up"
1.27152378306035e-08,1.22980043750076,1,0.992,3.72556468436682e-06,"Nfe2l1",3.72556468436682e-06,"Up"
2.36406324135483e-08,1.8394976907812,0.959,0.897,6.92670529716965e-06,"Nfatc1",6.92670529716965e-06,"Up"
2.85018225232386e-08,1.54326719725249,0.939,0.727,8.3510339993089e-06,"Fosl1",8.3510339993089e-06,"Up"
3.73860680806799e-08,1.19588947350586,1,0.997,1.09541179476392e-05,"Pou2f1",1.09541179476392e-05,"Up"
4.09061299541259e-08,1.68016931631766,0.959,0.732,1.19854960765589e-05,"Creb3l2",1.19854960765589e-05,"Up"
