"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.27659790939577e-38,2.86572202541232,0.945,0.249,1.25304318745296e-35,"Patz1",1.25304318745296e-35,"Up"
2.35746130478241e-36,-1.28993681949487,1,1,6.90736162301247e-34,"Tfeb",6.90736162301247e-34,"Down"
2.60172971727833e-36,2.06466238210738,1,0.967,7.62306807162551e-34,"Atf2",7.62306807162551e-34,"Up"
5.18511523068106e-36,-1.1610948165686,1,1,1.51923876258955e-33,"Zxdc",1.51923876258955e-33,"Down"
5.56515478526219e-36,-2.46872768441505,0.589,1,1.63059035208182e-33,"Tead3",1.63059035208182e-33,"Down"
9.13031645843907e-36,-1.61458974922219,1,1,2.67518272232265e-33,"Dlx3",2.67518272232265e-33,"Down"
6.62872529834013e-35,-1.60103117671962,0.973,1,1.94221651241366e-32,"Gata3",1.94221651241366e-32,"Down"
1.24609832132027e-31,-2.08101751476786,0.671,1,3.65106808146839e-29,"Pparg",3.65106808146839e-29,"Down"
1.76024014854202e-31,-1.33660388036135,0.973,0.996,5.15750363522812e-29,"Ovol2",5.15750363522812e-29,"Down"
4.91325523369516e-30,2.35676684929844,0.658,0.057,1.43958378347268e-27,"Tcf21",1.43958378347268e-27,"Up"
2.91864796747824e-27,-1.39158321874485,0.644,0.996,8.55163854471125e-25,"Foxn2",8.55163854471125e-25,"Down"
8.15824962961168e-27,1.14282034977634,1,0.992,2.39036714147622e-24,"Klf2",2.39036714147622e-24,"Up"
9.12229888748826e-24,1.53483015505306,1,0.788,2.67283357403406e-21,"Zfp507",2.67283357403406e-21,"Up"
1.22509366555697e-23,2.17184058630595,0.904,0.388,3.58952444008191e-21,"Sox17",3.58952444008191e-21,"Up"
2.36655006573872e-23,-1.3153873713686,0.644,0.996,6.93399169261445e-21,"Nr6a1",6.93399169261445e-21,"Down"
1.72884361606282e-21,2.16052656670897,0.658,0.118,5.06551179506406e-19,"Sp2",5.06551179506406e-19,"Up"
2.43561624621608e-21,2.0689561120907,0.89,0.367,7.13635560141312e-19,"Fosl1",7.13635560141312e-19,"Up"
3.10540827800006e-21,-1.07147630715272,0.849,0.988,9.09884625454017e-19,"Cux1",9.09884625454017e-19,"Down"
9.42668696896987e-21,2.61064602439156,0.493,0.053,2.76201928190817e-18,"Snd1",2.76201928190817e-18,"Up"
9.64552849291801e-21,1.30219220511635,1,0.967,2.82613984842498e-18,"Irf4",2.82613984842498e-18,"Up"
5.89778087595718e-20,1.18409135853777,1,0.996,1.72804979665545e-17,"Pou2f1",1.72804979665545e-17,"Up"
3.54712959315748e-19,2.02368393678862,0.685,0.159,1.03930897079514e-16,"Elk4",1.03930897079514e-16,"Up"
7.16238782203966e-19,2.10410465637988,0.548,0.082,2.09857963185762e-16,"Prrx1",2.09857963185762e-16,"Up"
2.51336061704371e-18,2.12500815263927,0.493,0.057,7.36414660793807e-16,"Zbtb40",7.36414660793807e-16,"Up"
1.35099149891955e-17,1.18067291912477,1,0.996,3.95840509183427e-15,"Nfe2l1",3.95840509183427e-15,"Up"
3.86892702039238e-16,1.14766284088514,1,0.996,1.13359561697497e-13,"Stat2",1.13359561697497e-13,"Up"
