"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.71424428853331e-65,-2.35755993907757,0.208,0.931,1.31746530550939e-60,"Serpinb9b-201",1.31746530550939e-60,"Down"
2.11727145544165e-65,2.41249276263249,0.95,0.898,1.62720780436513e-60,"Set-201",1.62720780436513e-60,"Up"
2.36156493882885e-65,-1.40789117970695,0.827,1,1.81495711808753e-60,"Eef1a1-201",1.81495711808753e-60,"Down"
1.06858028073346e-63,-2.22383458490287,0.434,0.971,8.21246688954895e-59,"Huwe1-201",8.21246688954895e-59,"Down"
2.70985037022146e-62,-2.69098605473373,0.261,0.869,2.08262840353e-57,"Tacc2-203",2.08262840353e-57,"Down"
1.10617823638103e-58,-3.11968852078574,0.063,0.686,8.50142221788275e-54,"Syna-201",8.50142221788275e-54,"Down"
1.66415760086953e-56,-2.03411647876683,0.466,0.971,1.27897168257227e-51,"Serpinb9e-201",1.27897168257227e-51,"Down"
1.27493118644921e-55,-2.24193394367993,0.125,0.784,9.79835614033673e-51,"Lgalsl-201",9.79835614033673e-51,"Down"
1.88017454779274e-55,-2.39385981005362,0.168,0.816,1.44498934696063e-50,"Ankrd13a-201",1.44498934696063e-50,"Down"
5.39153863066915e-55,-1.97935566301955,0.175,0.857,4.14361309921447e-50,"Baiap2l1-201",4.14361309921447e-50,"Down"
2.90115126399511e-54,-2.10194462346418,0.261,0.898,2.2296507924308e-49,"Arhgef6-201",2.2296507924308e-49,"Down"
1.02315607655254e-52,-2.25229933613511,0.115,0.759,7.86336371073693e-48,"Arhgap5-204",7.86336371073693e-48,"Down"
4.50375226192717e-52,1.96540080838829,0.965,0.971,3.46131376338151e-47,"Tpt1-201",3.46131376338151e-47,"Up"
7.61885850774732e-52,-2.13513203754133,0.175,0.816,5.85539751754413e-47,"Atp11a-201",5.85539751754413e-47,"Down"
9.03258943022382e-52,-2.25031143393616,0.165,0.796,6.94190628070421e-47,"Atp11a-202",6.94190628070421e-47,"Down"
4.96048683412391e-51,-1.89822476609617,0.278,0.922,3.81233255149759e-46,"Cep170b-202",3.81233255149759e-46,"Down"
8.95314316302304e-51,-1.70001033025942,0.341,0.947,6.88084864650972e-46,"Slc16a1-201",6.88084864650972e-46,"Down"
1.2274201224221e-50,-2.0255785157771,0.068,0.653,9.43321460886277e-46,"Mark3-201",9.43321460886277e-46,"Down"
1.6962536435866e-50,-2.37050920566219,0.103,0.706,1.30363877524205e-45,"Dvl3-203",1.30363877524205e-45,"Down"
5.07126228584127e-50,-1.90783123360774,0.068,0.649,3.89746791716045e-45,"Mark3-202",3.89746791716045e-45,"Down"
1.16750771763473e-49,-1.93514426838678,0.316,0.922,8.97276381310993e-45,"Akap13-205",8.97276381310993e-45,"Down"
2.14348833127607e-49,-2.12178843275323,0.065,0.637,1.64735652211891e-44,"Ptpn13-201",1.64735652211891e-44,"Down"
7.8396344457757e-49,-2.2187045345324,0.15,0.771,6.02507265695645e-44,"Nsd1-201",6.02507265695645e-44,"Down"
1.2163162494521e-48,-2.42709706456114,0.198,0.796,9.34787690353913e-44,"Etl4-202",9.34787690353913e-44,"Down"
6.80749710836951e-48,-2.08314253300397,0.469,0.939,5.2318338276663e-43,"Tfrc-201",5.2318338276663e-43,"Down"
1.14760155351015e-47,-1.7440901126821,0.216,0.886,8.8197769793469e-43,"Dlx3-201",8.8197769793469e-43,"Down"
1.82244977534677e-47,-2.59224798287294,0.198,0.771,1.400625550345e-42,"Amot-202",1.400625550345e-42,"Down"
1.92037046390732e-47,-1.76849587900109,0.429,0.959,1.47588151633133e-42,"Gjb2-201",1.47588151633133e-42,"Down"
2.76067629894248e-47,-1.99565246813785,0.158,0.771,2.12169016278925e-42,"Arid5b-204",2.12169016278925e-42,"Down"
5.78263744094642e-47,-1.89354485981181,0.318,0.906,4.44418817886496e-42,"Helz-203",4.44418817886496e-42,"Down"
