"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.56474984992275e-40,6.26674062847415,0.592,0.028,5.81381284965963e-35,"Ctsj-202",5.81381284965963e-35,"Up"
3.25654541791124e-33,4.46481756573768,0.592,0.045,2.5027854154815e-28,"Col1a1-201",2.5027854154815e-28,"Up"
6.86911509039889e-31,6.16840933287046,0.469,0.023,5.27918971157516e-26,"Ctsj-201",5.27918971157516e-26,"Up"
3.46792643172145e-29,7.45547773037346,0.347,0.005,2.6652401798352e-24,"Fxyd6-201",2.6652401798352e-24,"Up"
3.74052661635231e-29,7.08316972321281,0.347,0.005,2.87474432573141e-24,"Fxyd6-203",2.87474432573141e-24,"Up"
1.18484302695697e-26,5.90424465402642,0.51,0.045,9.10599259937513e-22,"Fabp3-201",9.10599259937513e-22,"Up"
2.55074958612949e-23,-3.63973857358739,0.224,0.95,1.96035308692396e-18,"Set-201",1.96035308692396e-18,"Down"
3.12348226432772e-23,5.97980815222575,0.408,0.03,2.40052105942643e-18,"Cited1-201",2.40052105942643e-18,"Up"
3.67938392948489e-23,4.20767174972777,0.653,0.128,2.82775372516632e-18,"Anxa2-201",2.82775372516632e-18,"Up"
6.83775574044386e-23,4.36362751760815,0.51,0.058,5.25508879676073e-18,"Prl3b1-201",5.25508879676073e-18,"Up"
2.18314652961694e-21,4.52601803016482,0.429,0.04,1.6778354338718e-16,"Col3a1-201",1.6778354338718e-16,"Up"
2.88043034158745e-21,5.54145062434077,0.347,0.02,2.21372593472362e-16,"Cts3-201",2.21372593472362e-16,"Up"
6.69449024958378e-21,4.72576810667888,0.429,0.043,5.14498353641512e-16,"Myof-211",5.14498353641512e-16,"Up"
8.05836880741102e-21,4.42419198391985,0.612,0.123,6.19317876324767e-16,"Psg21-201",6.19317876324767e-16,"Up"
3.12657341194443e-20,4.50229062899087,0.49,0.063,2.40289673001577e-15,"Tpbpb-201",2.40289673001577e-15,"Up"
1.32028752675134e-19,3.59574809060074,0.49,0.065,1.01469377580948e-14,"Spp1-204",1.01469377580948e-14,"Up"
1.84878714492664e-19,-3.21481937919931,0.245,0.88,1.42086687236192e-14,"Hnrnpab-203",1.42086687236192e-14,"Down"
2.39259051145861e-19,-3.27695014552115,0.224,0.875,1.8388015116764e-14,"Hnrnpab-202",1.8388015116764e-14,"Down"
1.06570410355217e-18,4.60502524496344,0.408,0.045,8.19036231743982e-14,"Rbms2-202",8.19036231743982e-14,"Up"
1.2241338580946e-18,3.53251578133931,0.592,0.118,9.40795835300024e-14,"Epas1-201",9.40795835300024e-14,"Up"
6.71226219933984e-18,3.14825121713035,0.49,0.073,5.15864199068064e-13,"Spp1-201",5.15864199068064e-13,"Up"
1.66369074398502e-17,-2.15412635984292,0.694,0.965,1.27861288438225e-12,"Tpt1-201",1.27861288438225e-12,"Down"
1.67914906971221e-17,3.43169127064101,0.449,0.063,1.29049322603662e-12,"Ass1-201",1.29049322603662e-12,"Up"
1.7369684068171e-17,3.31529318775858,0.49,0.075,1.33492969937521e-12,"Ceacam11-201",1.33492969937521e-12,"Up"
1.95027112191515e-17,3.02109975897194,0.49,0.075,1.49886136803667e-12,"Spp1-205",1.49886136803667e-12,"Up"
3.79876258713763e-17,4.79020347671407,0.347,0.033,2.91950099871876e-12,"Prl2b1-202",2.91950099871876e-12,"Up"
8.25050794374193e-17,4.02141053450462,0.388,0.045,6.34084537508342e-12,"Col1a2-201",6.34084537508342e-12,"Up"
9.98189546668939e-17,3.93769149474109,0.551,0.12,7.67148594196946e-12,"Psg21-202",7.67148594196946e-12,"Up"
1.4371479686981e-16,3.57519388041187,0.49,0.083,1.10450569986323e-11,"Ptbp3-212",1.10450569986323e-11,"Up"
2.06990512313433e-16,-1.3838846508581,0.306,0.882,1.59080488333366e-11,"Hnrnpab-201",1.59080488333366e-11,"Down"
5.06993686370969e-16,-4.11535603251875,0.204,0.774,3.89644927723545e-11,"Smdt1-201",3.89644927723545e-11,"Down"
2.17761158945216e-15,4.59885366358308,0.347,0.04,1.67358161095756e-10,"Stard8-201",1.67358161095756e-10,"Up"
6.93531082328707e-15,-3.34322990678917,0.265,0.799,5.33006378012904e-10,"Hnrnpa2b1-201",5.33006378012904e-10,"Down"
1.24852502187045e-14,-1.38216069264812,0.776,0.985,9.59541420308312e-10,"Ptma-201",9.59541420308312e-10,"Down"
1.38858477292658e-14,-2.48503473175389,0.51,0.885,1.067182941385e-09,"Ppia-202",1.067182941385e-09,"Down"
2.3711242222734e-14,3.64498944777425,0.347,0.043,1.822303809786e-09,"Mapre2-209",1.822303809786e-09,"Up"
1.60836344528776e-13,3.24199620567641,0.388,0.06,1.23609164224146e-08,"Mapre2-201",1.23609164224146e-08,"Up"
1.76592836891141e-13,2.72563925307444,0.449,0.083,1.35718658864318e-08,"Lyz2-201",1.35718658864318e-08,"Up"
1.94881131744398e-13,-1.76872433539993,0.653,0.922,1.4977394499084e-08,"Calm1-202",1.4977394499084e-08,"Down"
2.95761545121789e-13,2.77100603583213,0.449,0.088,2.273045778879e-08,"Rbms2-201",2.273045778879e-08,"Up"
3.86326854672022e-13,-3.06119957715369,0.286,0.777,2.96907640889636e-08,"Fus-203",2.96907640889636e-08,"Down"
5.40492331100997e-13,3.2336552796147,0.429,0.08,4.1538997614436e-08,"Ptbp3-201",4.1538997614436e-08,"Up"
6.1132474294165e-13,2.32533399848518,0.959,0.784,4.69827517940376e-08,"Peg10-203",4.69827517940376e-08,"Up"
7.19159012965362e-13,2.56200742111719,0.776,0.368,5.52702467824399e-08,"Ubc-202",5.52702467824399e-08,"Up"
7.31409296830767e-13,4.92313606347605,0.347,0.055,5.62117300986318e-08,"Anxa2-205",5.62117300986318e-08,"Up"
7.47856065638662e-13,2.16075665366823,0.469,0.09,5.74757300685938e-08,"Ftl1-203",5.74757300685938e-08,"Up"
1.28458446844492e-12,3.37008990452587,0.449,0.095,9.87254547378655e-08,"Gsn-205",9.87254547378655e-08,"Up"
3.4931013986475e-12,-3.74914283804035,0.184,0.697,2.68458814891655e-07,"Cox6c-201",2.68458814891655e-07,"Down"
4.02048980937771e-12,-4.25027636383712,0.245,0.724,3.08990723809915e-07,"Prdx2-201",3.08990723809915e-07,"Down"
5.57189300004989e-12,-1.77969371346301,0.388,0.862,4.28222264625834e-07,"Rhox6-201",4.28222264625834e-07,"Down"
6.90114467298033e-12,3.48182661309645,0.347,0.058,5.3038057269723e-07,"Psg23-201",5.3038057269723e-07,"Up"
1.43416423552065e-11,3.86281320001042,0.51,0.16,1.10221258156704e-06,"Ndrg1-201",1.10221258156704e-06,"Up"
1.52989560355784e-11,3.53920857896483,0.449,0.11,1.17578596715834e-06,"Gnas-203",1.17578596715834e-06,"Up"
2.14825264889216e-11,-4.2324717253295,0.102,0.612,1.65101809077958e-06,"Hmgn5-201",1.65101809077958e-06,"Down"
2.26771327911817e-11,4.07676940965984,0.469,0.12,1.74282836353348e-06,"Gnas-211",1.74282836353348e-06,"Up"
