"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.83667207394888e-40,6.18733605776786,0.877,0.143,2.94863595571267e-35,"Ftl1-203",2.94863595571267e-35,"Up"
3.20682856556676e-38,5.41054421150671,0.822,0.102,2.46457602578068e-33,"Ftl1-206",2.46457602578068e-33,"Up"
7.15647313957133e-33,-5.07650722370896,0.041,0.943,5.50003586668615e-28,"Dio3-202",5.50003586668615e-28,"Down"
5.44944407509015e-31,-4.77988741043064,0.041,0.922,4.18811574946979e-26,"Wnk3-206",4.18811574946979e-26,"Down"
8.75551287026909e-31,-4.81887694476143,0.027,0.906,6.72896186131661e-26,"Nacad-201",6.72896186131661e-26,"Down"
1.80942716270409e-29,3.02828217141693,0.849,0.171,1.3906171516246e-24,"Ftl1-202",1.3906171516246e-24,"Up"
1.14382978952872e-28,-3.30049779900295,0.164,0.943,8.79078946444402e-24,"Serpinb9g-201",8.79078946444402e-24,"Down"
1.01357821602292e-26,-2.49731332441738,0.315,0.976,7.78975402142252e-22,"Calr-201",7.78975402142252e-22,"Down"
2.60643935559202e-26,-3.99549827045336,0.096,0.873,2.00315290234669e-21,"Prss8-201",2.00315290234669e-21,"Down"
4.26977338930703e-26,-1.88614274138491,0.479,0.996,3.28149164061803e-21,"Peg3-201",3.28149164061803e-21,"Down"
4.67123861312093e-26,-6.26850154973175,0.027,0.808,3.59003372372796e-21,"Tfeb-201",3.59003372372796e-21,"Down"
5.01949971823925e-26,-3.80580912944622,0.096,0.869,3.85768631345559e-21,"Tacc2-203",3.85768631345559e-21,"Down"
5.05302423934731e-26,-2.85767809375863,0.178,0.935,3.88345124890798e-21,"Ddx3x-201",3.88345124890798e-21,"Down"
2.14152876819886e-25,-3.95157852812363,0.055,0.833,1.64585051951155e-20,"Rgl1-201",1.64585051951155e-20,"Down"
4.06833002654997e-25,-4.61401632583733,0.068,0.824,3.12667435860471e-20,"Rbbp6-201",3.12667435860471e-20,"Down"
4.73684973817769e-25,-2.49983960369943,0.123,0.914,3.64045849777908e-20,"Flnb-201",3.64045849777908e-20,"Down"
4.95247370855496e-25,-3.0626870973176,0.192,0.914,3.80617414397283e-20,"Dap-201",3.80617414397283e-20,"Down"
6.151521904843e-25,-3.57808044125782,0.096,0.865,4.72769064474804e-20,"Plekha6-202",4.72769064474804e-20,"Down"
6.26991565501233e-25,-3.07137779567951,0.082,0.853,4.81868097750317e-20,"Ankrd11-203",4.81868097750317e-20,"Down"
7.50742026004439e-25,-2.19946728026719,0.151,0.922,5.76975276665452e-20,"Akap13-205",5.76975276665452e-20,"Down"
1.07015747532982e-24,-3.02941136418035,0.082,0.849,8.22458826089982e-20,"Ankrd11-202",8.22458826089982e-20,"Down"
1.22931014933383e-24,-4.19846816594838,0.041,0.816,9.44774022169021e-20,"Wnk3-205",9.44774022169021e-20,"Down"
4.2365845846581e-24,-3.55125962149129,0.068,0.837,3.25598471669314e-19,"Utp14b-201",3.25598471669314e-19,"Down"
5.96920334037314e-24,-2.55195188719989,0.11,0.882,4.58757153521038e-19,"Cotl1-201",4.58757153521038e-19,"Down"
