"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.14569172063896e-76,-2.72768113219863,0.451,0.971,1.25564094915068e-71,"Serpinb9e",1.25564094915068e-71,"Down"
3.86454944746194e-72,-2.68880999529169,0.378,0.935,6.79078628908011e-68,"Arhgef6",6.79078628908011e-68,"Down"
3.49069625384665e-65,-2.06451326020408,0.441,0.947,6.13385145725933e-61,"Mbnl3",6.13385145725933e-61,"Down"
2.61499495239337e-63,-2.78918272892585,0.201,0.837,4.59506913034563e-59,"Serpinb9b",4.59506913034563e-59,"Down"
6.5882212799816e-61,2.10690308200768,0.942,0.661,1.15768224331837e-56,"Tpt1",1.15768224331837e-56,"Up"
3.53308747258729e-60,-2.48641177994821,0.436,0.914,6.20834130683039e-56,"Gjb2",6.20834130683039e-56,"Down"
1.96842389296588e-58,-2.06757031190435,0.449,0.918,3.45891446471964e-54,"Plbd1",3.45891446471964e-54,"Down"
1.49991931014947e-57,-2.11356993959277,0.348,0.894,2.63565821179464e-53,"Slc16a1",2.63565821179464e-53,"Down"
1.23383681148322e-55,-1.69607332453437,0.511,0.943,2.16809804513831e-51,"Wnk3",2.16809804513831e-51,"Down"
2.00908791765853e-55,-1.87036054203015,0.439,0.935,3.53036928890957e-51,"Plekha6",3.53036928890957e-51,"Down"
3.19942009949543e-55,-2.05062607306997,0.343,0.882,5.62202099883338e-51,"Tacc2",5.62202099883338e-51,"Down"
1.01755857872804e-54,-1.77311150751773,0.439,0.939,1.78805393454091e-50,"Helz",1.78805393454091e-50,"Down"
5.06301276937804e-53,-1.73057404482004,0.486,0.918,8.89672603835109e-49,"Huwe1",8.89672603835109e-49,"Down"
5.82242112333331e-52,-2.14059346933226,0.381,0.882,1.02311583979213e-47,"Akap13",1.02311583979213e-47,"Down"
1.61048775699147e-50,-2.8675827323309,0.13,0.69,2.82994908658541e-46,"Baiap2l1",2.82994908658541e-46,"Down"
1.76311597111137e-50,-1.03842460386501,0.912,0.996,3.0981473844369e-46,"Sin3b",3.0981473844369e-46,"Down"
3.38132276768188e-50,-1.94147082731866,0.316,0.869,5.9416603673706e-46,"Cep170b",5.9416603673706e-46,"Down"
3.94297449528603e-50,-1.84686404820001,0.373,0.886,6.9285947831166e-46,"Lima1",6.9285947831166e-46,"Down"
2.48903280937928e-49,-2.07189072779888,0.499,0.922,4.37372845264128e-45,"Tfrc",4.37372845264128e-45,"Down"
3.75111968603749e-48,-1.75733898115757,0.421,0.914,6.59146751230508e-44,"Tmtc1",6.59146751230508e-44,"Down"
1.66346360676292e-47,-1.62690082373765,0.519,0.931,2.9230382498038e-43,"Calr",2.9230382498038e-43,"Down"
6.68272257273396e-47,2.02368027978624,0.867,0.571,1.17428801048081e-42,"Hnrnpab",1.17428801048081e-42,"Up"
1.2098349230207e-46,-2.37480189558501,0.195,0.747,2.12592192673197e-42,"Ppp2r3a",2.12592192673197e-42,"Down"
2.22993052509568e-46,-1.97453873327369,0.356,0.833,3.91843391869813e-42,"Bbx",3.91843391869813e-42,"Down"
4.5570346201323e-46,-1.66864332496494,0.559,0.922,8.00762123449648e-42,"Mfge8",8.00762123449648e-42,"Down"
5.18337309678158e-46,-1.50314241481808,0.584,0.967,9.1082232056646e-42,"Eif4g1",9.1082232056646e-42,"Down"
9.78714692381906e-46,-1.66580496450739,0.496,0.918,1.71979745745349e-41,"Uaca",1.71979745745349e-41,"Down"
4.23092196963278e-45,-2.02115665159656,0.293,0.8,7.43457608503872e-41,"Lonrf3",7.43457608503872e-41,"Down"
3.64455922629951e-44,2.1410888367814,0.85,0.51,6.4042194724535e-40,"Set",6.4042194724535e-40,"Up"
3.81312611910955e-44,-2.09471865725314,0.238,0.759,6.7004252164993e-40,"Fam90a1b",6.7004252164993e-40,"Down"
7.37522969868827e-44,-1.35743135608574,0.604,0.963,1.2959753626535e-39,"Rlim",1.2959753626535e-39,"Down"
8.24279280555488e-44,-1.10560520142746,0.762,0.992,1.4484235517921e-39,"Eef1a1",1.4484235517921e-39,"Down"
1.16894676563138e-43,-2.38442951334845,0.266,0.759,2.05407325656745e-39,"Amot",2.05407325656745e-39,"Down"
1.83116859374815e-43,-1.60602663687653,0.436,0.902,3.21772945293425e-39,"Tcf20",3.21772945293425e-39,"Down"
