"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
8.07123875706215e-53,6.0654612765199,0.959,0.105,1.41827807439096e-48,"Tmtc2",1.41827807439096e-48,"Up"
1.22105470505993e-47,5.98431242938062,0.959,0.143,2.14563732773131e-43,"D130009I18Rik",2.14563732773131e-43,"Up"
3.73671332429149e-37,5.3510430772703,0.98,0.276,6.56615265344501e-33,"Jarid2",6.56615265344501e-33,"Up"
1.72694092535881e-35,5.63219266392761,0.531,0.025,3.0345805940405e-31,"Il31ra",3.0345805940405e-31,"Up"
6.78223448568652e-33,4.19112115782511,0.694,0.08,1.19177424382484e-28,"Arhgap21",1.19177424382484e-28,"Up"
1.71288774891095e-29,5.23498845773609,0.429,0.018,3.00988635238632e-25,"Cited1",3.00988635238632e-25,"Up"
3.96173203878111e-28,3.97662549162619,0.612,0.073,6.96155553854617e-24,"Anxa2",6.96155553854617e-24,"Up"
6.22363455286445e-27,6.8011811544374,0.531,0.053,1.09361706362934e-22,"Zfp791",1.09361706362934e-22,"Up"
7.39110778155863e-25,2.75651190622951,1,0.689,1.29876545937548e-20,"Peak1",1.29876545937548e-20,"Up"
1.03800981784274e-23,4.70360699721977,0.388,0.023,1.82399085191327e-19,"Sspn",1.82399085191327e-19,"Up"
2.4126427896774e-22,3.26995381977358,0.653,0.123,4.23949591002113e-18,"Dnah7b",4.23949591002113e-18,"Up"
5.69122637545263e-22,5.8084369704402,0.429,0.04,1.00006229869454e-17,"Fabp3",1.00006229869454e-17,"Up"
6.14111500669652e-22,2.35754239309087,1,0.749,1.07911672897671e-17,"Zc3h7a",1.07911672897671e-17,"Up"
5.68186100816431e-21,3.46043789721127,0.939,0.501,9.98416616354632e-17,"Itga9",9.98416616354632e-17,"Up"
1.74571463910097e-19,-3.22112634399246,0.204,0.867,3.06756976382823e-15,"Hnrnpab",3.06756976382823e-15,"Down"
2.54579832300744e-19,-3.53797898934998,0.184,0.85,4.47347681318868e-15,"Set",4.47347681318868e-15,"Down"
5.15549309595649e-19,3.88114518277196,0.429,0.05,9.05923246821475e-15,"Ass1",9.05923246821475e-15,"Up"
9.71786229133212e-19,3.58943597730046,0.429,0.05,1.70762276183288e-14,"Myof",1.70762276183288e-14,"Up"
9.32409797202006e-17,3.26654319161093,0.469,0.075,1.63843049564337e-12,"Rbms2",1.63843049564337e-12,"Up"
5.47984500181655e-16,2.60044392816437,0.755,0.286,9.62918363719203e-12,"Camk1d",9.62918363719203e-12,"Up"
7.51277989054122e-16,3.06617707660448,0.469,0.078,1.3201456823659e-11,"Epas1",1.3201456823659e-11,"Up"
2.24087929790453e-15,-1.74679179323243,0.633,0.942,3.93767310227784e-11,"Tpt1",3.93767310227784e-11,"Down"
6.77633723624664e-15,-1.58217653393249,0.592,0.975,1.19073797915326e-10,"Ptma",1.19073797915326e-10,"Down"
2.91566207914561e-14,-2.53670733211394,0.245,0.787,5.12340140547466e-10,"Fus",5.12340140547466e-10,"Down"
1.89226863094113e-13,3.40404671536087,0.347,0.048,3.32509443828976e-09,"Stard8",3.32509443828976e-09,"Up"
1.31703908139025e-12,-5.48621756166024,0,0.571,2.31430107381895e-08,"Dio3",2.31430107381895e-08,"Down"
1.58912277768146e-12,3.02553509210714,0.388,0.068,2.79240654494186e-08,"Tlcd4",2.79240654494186e-08,"Up"
1.81965548642259e-12,-1.66681094398762,0.571,0.89,3.19749862074178e-08,"Calm1",3.19749862074178e-08,"Down"
4.61527825922252e-12,-1.68572038295317,0.408,0.882,8.10996695710581e-08,"Cdkn1c",8.10996695710581e-08,"Down"
9.55280351798296e-12,-2.52392872739263,0.204,0.704,1.67861863417997e-07,"Ubxn1",1.67861863417997e-07,"Down"
1.75165084770513e-11,-1.98278977254379,0.429,0.799,3.07800086958745e-07,"Hnrnpa2b1",3.07800086958745e-07,"Down"
1.80949300587739e-11,-1.66134394617385,0.429,0.855,3.17964110992775e-07,"Lamp1",3.17964110992775e-07,"Down"
2.71511592570576e-11,-2.76236746728429,0.122,0.647,4.77100170465016e-07,"Cox6c",4.77100170465016e-07,"Down"
3.86345334095828e-11,-1.8747828495779,0.306,0.774,6.78886021073189e-07,"Slc38a1",6.78886021073189e-07,"Down"
5.03486896208273e-11,-1.74925196749404,0.408,0.787,8.84727174017177e-07,"Ppia",8.84727174017177e-07,"Down"
1.10480737456842e-10,2.54748779530249,0.388,0.083,1.94136751859163e-06,"Gsn",1.94136751859163e-06,"Up"
1.11812540512141e-10,-3.42732387260667,0.061,0.579,1.96476996187933e-06,"Smdt1",1.96476996187933e-06,"Down"
1.19759569287943e-10,-1.3682432877999,0.592,0.88,2.10441515152773e-06,"Ywhaz",2.10441515152773e-06,"Down"
2.10428379456928e-10,2.62499716252341,0.367,0.075,3.69764748381714e-06,"Hprt",3.69764748381714e-06,"Up"
3.29982917769359e-10,2.51964416237718,0.51,0.163,5.79845983104318e-06,"Ndrg1",5.79845983104318e-06,"Up"
4.08056517241736e-10,-1.57994442595453,0.49,0.815,7.17036912097178e-06,"Ankrd17",7.17036912097178e-06,"Down"
4.37898658107418e-10,1.01736116066144,0.408,0.083,7.69475522026354e-06,"Sparc",7.69475522026354e-06,"Up"
1.69935057882697e-09,2.1428920427453,0.449,0.125,2.98609883711475e-05,"Grb10",2.98609883711475e-05,"Up"
1.77544946006818e-09,-1.67836848133753,0.367,0.764,3.1198197912318e-05,"Rhox6",3.1198197912318e-05,"Down"
2.68930559671331e-09,2.76919533884735,0.388,0.095,4.72564779454462e-05,"Fn1",4.72564779454462e-05,"Up"
3.23746166637642e-09,-2.04551465925237,0.163,0.642,5.68886764015665e-05,"Gkap1",5.68886764015665e-05,"Down"
3.49411742157648e-09,-2.34757172670579,0.143,0.602,6.13986313319419e-05,"Arl6ip1",6.13986313319419e-05,"Down"
5.05405472318703e-09,-3.00568363850358,0.082,0.531,8.88098495958426e-05,"Otx2os1",8.88098495958426e-05,"Down"
5.44503670609615e-09,-1.35528669183379,0.429,0.817,9.56801849995215e-05,"Ncl",9.56801849995215e-05,"Down"
5.64242773163702e-09,-1.73999965425584,0.286,0.724,9.91487401003256e-05,"Txnl1",9.91487401003256e-05,"Down"
8.96968310774811e-09,2.31926629516385,0.531,0.201,0.00015761527156935,"Ubc",0.00015761527156935,"Up"
1.09147561041329e-08,-2.87170533346766,0.061,0.511,0.000191794094261823,"Cotl1",0.000191794094261823,"Down"
1.7029620852331e-08,-2.97446490789286,0.061,0.504,0.00029924449761716,"Hmgn5",0.00029924449761716,"Down"
2.08828216174715e-08,-2.49802686394988,0.061,0.504,0.000366952941462208,"Eps8",0.000366952941462208,"Down"
2.24461507722705e-08,-2.24499385027358,0.163,0.586,0.000394423761370338,"Cnbp",0.000394423761370338,"Down"
2.44978418307993e-08,2.33365738746947,0.449,0.148,0.000430476076650805,"Ahnak",0.000430476076650805,"Up"
2.85401155633625e-08,-2.62312208393141,0.082,0.516,0.000501506910679407,"Dnmt1",0.000501506910679407,"Down"
