"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
8.26197710859318e-58,8.98879652981688,0.918,0.029,1.45179461752199e-53,"Zfp791",1.45179461752199e-53,"Up"
2.77693142811863e-51,6.12713326980172,0.932,0.086,4.87962390549005e-47,"Tmtc2",4.87962390549005e-47,"Up"
3.32059021323749e-47,5.3954705561611,0.945,0.135,5.83494112270091e-43,"D130009I18Rik",5.83494112270091e-43,"Up"
2.47766908605634e-40,5.93800025736715,0.973,0.384,4.35376011801821e-36,"Itga9",4.35376011801821e-36,"Up"
3.93591288133743e-38,4.87307715276873,0.973,0.396,6.91618611508613e-34,"Jarid2",6.91618611508613e-34,"Up"
1.90110970877397e-35,5.34672622230968,0.644,0.029,3.34062998025763e-31,"Gnb1l",3.34062998025763e-31,"Up"
5.30290569216726e-35,6.96598190058471,0.589,0.012,9.3182658822763e-31,"Ttc41",9.3182658822763e-31,"Up"
2.06248353522314e-33,4.65787965170226,0.726,0.086,3.6241960680941e-29,"Il31ra",3.6241960680941e-29,"Up"
5.43714317446871e-33,3.82817048959548,1,0.931,9.55414798617642e-29,"Peak1",9.55414798617642e-29,"Up"
3.96029866376202e-31,3.07936022181106,0.986,0.963,6.95903681196263e-27,"Zc3h7a",6.95903681196263e-27,"Up"
4.62037396537587e-31,-5.52231329902687,0.041,0.886,8.11892113195847e-27,"Dio3",8.11892113195847e-27,"Down"
5.00363631096827e-31,-3.59557881732453,0.151,0.935,8.79238972563344e-27,"Plekha6",8.79238972563344e-27,"Down"
5.20807027453195e-31,-3.24073487883119,0.329,0.971,9.15162108640754e-27,"Serpinb9e",9.15162108640754e-27,"Down"
1.1144062252401e-30,-3.89061654049274,0.068,0.914,1.9582346189919e-26,"Gkap1",1.9582346189919e-26,"Down"
2.89812921781017e-30,-3.74503971620712,0.11,0.902,5.09259266153604e-26,"Atp11a",5.09259266153604e-26,"Down"
6.08282457963047e-29,4.07528432087669,0.753,0.147,1.06887393513267e-24,"Camk1d",1.06887393513267e-24,"Up"
8.35189067872479e-29,-2.8292159958286,0.205,0.967,1.46759423006552e-24,"Eif4g1",1.46759423006552e-24,"Down"
1.58418598292161e-28,7.62945642948439,0.452,0,2.78373160918984e-24,"Fxyd6",2.78373160918984e-24,"Up"
1.80170593692479e-28,-3.69613011572618,0.096,0.882,3.16595767236424e-24,"Tacc2",3.16595767236424e-24,"Down"
3.42085463595955e-28,-2.37834175119974,0.37,0.971,6.01112576630813e-24,"Tbrg1",6.01112576630813e-24,"Down"
8.73084120224492e-28,-3.1049356612935,0.247,0.922,1.53418341605848e-23,"Mfge8",1.53418341605848e-23,"Down"
2.13969598825962e-27,-2.21842120171677,0.534,0.988,3.75987379056981e-23,"Cdkn1c",3.75987379056981e-23,"Down"
2.43654379194216e-27,-2.86298097357854,0.219,0.931,4.28149475120076e-23,"Calr",4.28149475120076e-23,"Down"
2.54697211022262e-27,-3.48200531037333,0.11,0.869,4.47553939208319e-23,"Cep170b",4.47553939208319e-23,"Down"
4.51225931612581e-27,-4.61513039361269,0.027,0.816,7.92894207029628e-23,"Nacad",7.92894207029628e-23,"Down"
5.14587514144026e-27,-3.20379859291528,0.123,0.886,9.04233179853883e-23,"Lima1",9.04233179853883e-23,"Down"
8.02565693683088e-27,-2.96895799177453,0.11,0.894,1.41026843693992e-22,"Slc16a1",1.41026843693992e-22,"Down"
1.53979866400521e-26,-3.60191477410852,0.082,0.841,2.70573421238995e-22,"Washc2",2.70573421238995e-22,"Down"
1.831834707151e-26,-2.95758435158722,0.137,0.873,3.21889994740573e-22,"Git2",3.21889994740573e-22,"Down"
