"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.4700633528385e-20,1.10930106288038,1,1,2.18872856238168e-17,"Thap11",2.18872856238168e-17,"Up"
4.00081136654806e-18,1.22753042074886,1,1,1.17223773039858e-15,"Tbp",1.17223773039858e-15,"Up"
9.14988753084252e-18,1.25303843132617,1,0.97,2.68091704653686e-15,"Pou2f3",2.68091704653686e-15,"Up"
5.37502864103537e-15,2.10122917786313,0.614,0.173,1.57488339182336e-12,"Hsf1",1.57488339182336e-12,"Up"
8.5280762491404e-14,1.69906512659346,0.629,0.183,2.49872634099814e-11,"Zbtb16",2.49872634099814e-11,"Up"
5.02357275608388e-13,1.85796991830856,0.414,0.087,1.47190681753258e-10,"Prdm1",1.47190681753258e-10,"Up"
2.3625656483824e-12,1.32202156343498,0.971,0.793,6.92231734976044e-10,"Zfp507",6.92231734976044e-10,"Up"
5.35730139748041e-10,1.35050588418168,0.857,0.588,1.56968930946176e-07,"Sox6",1.56968930946176e-07,"Up"
3.69055725069435e-08,1.32784868160973,0.986,0.95,1.08133327445345e-05,"Cebpd",1.08133327445345e-05,"Up"
7.40114566276398e-08,1.60307046198102,0.629,0.266,2.16853567918985e-05,"Ebf2",2.16853567918985e-05,"Up"
1.40690526092796e-07,1.75820043087529,0.486,0.203,4.12223241451893e-05,"Snd1",4.12223241451893e-05,"Up"
2.76773427927547e-07,1.39142351542761,0.571,0.245,8.10946143827712e-05,"Zfp654",8.10946143827712e-05,"Up"
3.00040476013266e-07,-1.08490405291105,0.271,0.606,8.79118594718868e-05,"Eomes",8.79118594718868e-05,"Down"
6.05302636037349e-07,1.71229511573564,0.7,0.36,0.000177353672358943,"Sp2",0.000177353672358943,"Up"
2.13515049810125e-06,1.71459403632645,0.757,0.618,0.000625599095943667,"Zfp64",0.000625599095943667,"Up"
2.29534181484556e-06,1.07307351521487,0.986,1,0.000672535151749748,"Elf3",0.000672535151749748,"Up"
4.28731315491927e-06,1.04213878049945,0.986,0.984,0.00125618275439135,"Dlx3",0.00125618275439135,"Up"
1.32111180423809e-05,1.80315704632289,0.643,0.354,0.0038708575864176,"Nfia",0.0038708575864176,"Up"
2.32623845302799e-05,1.16706944138106,0.914,0.626,0.00681587866737202,"Tead4",0.00681587866737202,"Up"
2.71689786309988e-05,1.99164874012637,0.686,0.513,0.00796051073888266,"Sox17",0.00796051073888266,"Up"
2.85253444375303e-05,1.41422169355813,0.4,0.167,0.00835792592019638,"Zbtb40",0.00835792592019638,"Up"
