"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.06890852014239e-35,1.02091787202939,1,1,3.13190196401721e-33,"Ets1",3.13190196401721e-33,"Up"
1.3775626344749e-34,1.18098303056613,1,1,4.03625851901144e-32,"Foxp1",4.03625851901144e-32,"Up"
1.4143482372745e-33,1.13823126584882,1,1,4.14404033521429e-31,"Bcl11b",4.14404033521429e-31,"Up"
3.09274423843524e-28,-1.79073128597001,0.924,1,9.06174061861524e-26,"Pou2f3",9.06174061861524e-26,"Down"
8.99584931527952e-28,1.03632161005805,1,1,2.6357838493769e-25,"Myb",2.6357838493769e-25,"Up"
6.60851030900048e-24,-2.17031756900051,0.328,0.857,1.93629352053714e-21,"Sox6",1.93629352053714e-21,"Down"
2.51214041102174e-21,-1.07915968277065,1,1,7.36057140429369e-19,"Thap11",7.36057140429369e-19,"Down"
2.66327626067488e-21,-1.28932631462646,0.987,1,7.80339944377741e-19,"Tbp",7.80339944377741e-19,"Down"
2.36773955151129e-20,-1.59581194509472,0.874,1,6.93747688592809e-18,"Tfap2c",6.93747688592809e-18,"Down"
1.86912624213702e-19,2.34985823834645,0.849,0.414,5.47653988946148e-17,"Stat5b",5.47653988946148e-17,"Up"
3.29574009556191e-19,-1.11122572368114,1,1,9.65651847999639e-17,"E2f4",9.65651847999639e-17,"Down"
8.38399444809664e-18,-1.13658798883055,0.996,1,2.45651037329232e-15,"Tfdp1",2.45651037329232e-15,"Down"
2.56520200711197e-14,-1.34714374381604,0.845,0.957,7.51604188083806e-12,"Zfp42",7.51604188083806e-12,"Down"
1.44984364386412e-09,-1.10639337698926,0.992,0.986,4.24804187652188e-07,"Elf3",4.24804187652188e-07,"Down"
2.49308911277396e-08,-1.09930092164738,0.945,0.986,7.30475110042771e-06,"Cebpd",7.30475110042771e-06,"Down"
4.41354861373632e-08,-1.0136320925492,0.819,0.957,1.29316974382474e-05,"Arid3a",1.29316974382474e-05,"Down"
8.13037823183042e-07,-1.19034447076832,0.592,0.914,0.000238220082192631,"Tead4",0.000238220082192631,"Down"
1.03652455073885e-06,-1.67629919191337,0.126,0.386,0.000303701693366483,"Hand1",0.000303701693366483,"Down"
3.02853892479548e-06,-1.59045336884509,0.307,0.586,0.000887361904965077,"Zfp37",0.000887361904965077,"Down"
3.41238415865032e-06,-2.01830614880522,0.122,0.343,0.000999828558484545,"Zfp334",0.000999828558484545,"Down"
4.37554738006626e-06,-1.37746048552145,0.265,0.571,0.00128203538235941,"Zfp654",0.00128203538235941,"Down"
8.49648859887287e-06,-1.21675418713751,0.714,0.9,0.00248947115946975,"Gata4",0.00248947115946975,"Down"
9.13571838733842e-06,-1.5146542034285,0.458,0.657,0.00267676548749016,"Usf1",0.00267676548749016,"Down"
1.17786481927248e-05,-1.58611822448082,0.273,0.529,0.00345114392046836,"Gli3",0.00345114392046836,"Down"
2.52031611091284e-05,-1.0749609390744,0.307,0.629,0.00738452620497462,"Zbtb16",0.00738452620497462,"Down"
