"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.73340874843599e-22,-7.70805627211006,0.008,0.4,1.332193959523e-17,"Hsd3b6-201",1.332193959523e-17,"Down"
2.50524892691564e-21,2.72992603100464,0.87,0.343,1.92538401029175e-16,"Ddx5-201",1.92538401029175e-16,"Up"
4.54655172263576e-21,1.83408400389643,0.966,0.829,3.49420686091449e-16,"Eef1a1-201",3.49420686091449e-16,"Up"
9.22075260705975e-21,3.75867426834086,0.798,0.114,7.0865172086297e-16,"Dock2-201",7.0865172086297e-16,"Up"
9.93816236225728e-21,3.53203707931947,0.798,0.086,7.63787530188921e-16,"Klf2-201",7.63787530188921e-16,"Up"
1.37157567199185e-20,5.05685399776896,0.727,0.029,1.05411076695261e-15,"Itk-201",1.05411076695261e-15,"Up"
4.81826433315959e-20,2.85474756269241,0.861,0.329,3.70302887060647e-15,"Ets1-201",3.70302887060647e-15,"Up"
6.99037627356529e-20,-5.6571340468607,0.286,0.729,5.37238378128587e-15,"Prdx2-201",5.37238378128587e-15,"Down"
9.85962449111319e-20,1.86358693455458,0.912,0.529,7.57751580640013e-15,"B2m-201",7.57751580640013e-15,"Up"
1.17674860641787e-18,2.52847827038599,0.861,0.271,9.04378373976389e-14,"Fam107b-201",9.04378373976389e-14,"Up"
2.73074983477869e-18,-3.58031975021176,0.324,0.743,2.09869047802081e-13,"Peg10-202",2.09869047802081e-13,"Down"
3.15937504543382e-18,4.82452006014808,0.702,0.071,2.42810609741771e-13,"Bltp1-201",2.42810609741771e-13,"Up"
4.68093697857862e-18,2.94846623174435,0.79,0.186,3.59748730551681e-13,"Zfp36l2-201",3.59748730551681e-13,"Up"
5.89828224779859e-18,-4.80928629136382,0.101,0.529,4.53306583872312e-13,"Gpx1-201",4.53306583872312e-13,"Down"
6.20035549546355e-18,3.51956608797639,0.752,0.129,4.76522121248356e-13,"Lef1-201",4.76522121248356e-13,"Up"
6.58974585162214e-18,2.01978579636639,0.908,0.386,5.06448327680568e-13,"Btg1-201",5.06448327680568e-13,"Up"
8.47488799910533e-18,5.2545852789272,0.672,0.043,6.51329042283241e-13,"Psg21-201",6.51329042283241e-13,"Up"
9.63211766525122e-18,3.20451830275647,0.773,0.186,7.40266771045217e-13,"Mbnl1-201",7.40266771045217e-13,"Up"
9.88860477401101e-18,3.97664824606335,0.668,0.029,7.59978831301842e-13,"Col1a1-201",7.59978831301842e-13,"Up"
5.00047261001124e-17,1.91938436766964,0.887,0.443,3.84306321969804e-12,"Pabpc1-201",3.84306321969804e-12,"Up"
6.810514903006e-17,4.08848834344533,0.718,0.114,5.23415312355623e-12,"Macf1-203",5.23415312355623e-12,"Up"
7.11940797721491e-17,2.53692706916672,0.866,0.329,5.47154980680875e-12,"Tnfaip3-201",5.47154980680875e-12,"Up"
2.98944189864522e-16,6.52453438220607,0.601,0.014,2.29750567678479e-11,"Il7r-201",2.29750567678479e-11,"Up"
3.85424468632212e-16,-3.12198688519889,0.483,0.771,2.962141211226e-11,"Hnrnpab-202",2.962141211226e-11,"Down"
4.7301218342133e-16,-3.1039640310285,0.487,0.771,3.63528783446629e-11,"Hnrnpab-203",3.63528783446629e-11,"Down"
6.192704981252e-16,3.15853862460395,0.685,0.071,4.75934148629141e-11,"Ssh2-201",4.75934148629141e-11,"Up"
9.07031073516887e-16,-3.39198613377613,0.181,0.671,6.97089661240668e-11,"Tpt1-206",6.97089661240668e-11,"Down"
1.36444596034625e-15,-2.8845813519788,0.525,0.771,1.04863129836451e-10,"Hnrnpab-201",1.04863129836451e-10,"Down"
1.5370849188243e-15,-3.54970343222606,0.454,0.743,1.18131124351322e-10,"Set-201",1.18131124351322e-10,"Down"
1.91941237899754e-15,5.1603620520267,0.592,0.014,1.47514518975477e-10,"Col1a2-201",1.47514518975477e-10,"Up"
1.99727288022931e-15,2.08101251581326,0.832,0.314,1.53498409937144e-10,"Vps37b-201",1.53498409937144e-10,"Up"
2.4911047753003e-15,3.48972829563281,0.613,0.029,1.91451366400929e-10,"Cxcr4-201",1.91451366400929e-10,"Up"
2.52922255465608e-15,4.89554798676475,0.647,0.1,1.94380870215538e-10,"Satb1-208",1.94380870215538e-10,"Up"
2.74084456374214e-15,-1.65583676298443,0.95,0.971,2.10644868101838e-10,"Ftl1-201",2.10644868101838e-10,"Down"
3.21117167000112e-15,-4.71030088732847,0.164,0.557,2.46791387526266e-10,"Cox6c-201",2.46791387526266e-10,"Down"
3.68904705152214e-15,-2.90236453238471,0.21,0.7,2.83518022097683e-10,"Tpt1-208",2.83518022097683e-10,"Down"
5.35601776482586e-15,2.87899394392948,0.79,0.429,4.11631389297926e-10,"H2-K1-205",4.11631389297926e-10,"Up"
1.29344104010346e-14,4.75511369116267,0.597,0.043,9.94061176961116e-10,"Psg21-202",9.94061176961116e-10,"Up"
1.40124394212568e-14,2.71112204694068,0.693,0.1,1.07691201928127e-09,"Gvin-ps7-201",1.07691201928127e-09,"Up"
2.22205436632343e-14,3.19225756601568,0.626,0.057,1.70773766269421e-09,"Ablim1-207",1.70773766269421e-09,"Up"
3.37129455692254e-14,3.18942592603615,0.588,0.029,2.59097471877725e-09,"Ctsj-202",2.59097471877725e-09,"Up"
3.48228711542925e-14,3.27047014035242,0.609,0.043,2.67627693969199e-09,"Dusp10-201",2.67627693969199e-09,"Up"
4.95675362578757e-14,-4.326299079673,0.076,0.429,3.80946343156278e-09,"Fam220a-207",3.80946343156278e-09,"Down"
5.07842940501895e-14,-3.49453536257093,0.143,0.514,3.90297613493326e-09,"Arf5-201",3.90297613493326e-09,"Down"
7.0256239150649e-14,2.06381201734687,0.794,0.229,5.39947300368398e-09,"Ifngr1-201",5.39947300368398e-09,"Up"
7.11997233370558e-14,3.34047818505644,0.58,0.029,5.47198353734609e-09,"Psg23-201",5.47198353734609e-09,"Up"
8.88847796322663e-14,1.74890491583868,0.832,0.286,6.83115085385819e-09,"Jak1-201",6.83115085385819e-09,"Up"
9.73800254667124e-14,2.60944789639163,0.664,0.1,7.48404447721872e-09,"Rasa3-201",7.48404447721872e-09,"Up"
1.23077348113236e-13,-5.31465968778842,0.046,0.357,9.45898651189462e-09,"Blvrb-201",9.45898651189462e-09,"Down"
1.78432635186811e-13,2.77960624616207,0.597,0.043,1.37132617446472e-08,"Crybg1-202",1.37132617446472e-08,"Up"
1.78432635186811e-13,2.77960624616207,0.597,0.043,1.37132617446472e-08,"Crybg1-201",1.37132617446472e-08,"Up"
2.04333979011149e-13,2.58006002217099,0.66,0.086,1.57038836229228e-08,"Col3a1-201",1.57038836229228e-08,"Up"
2.90929195925249e-13,-1.11541706950732,0.916,0.971,2.23590724236391e-08,"Ptma-201",2.23590724236391e-08,"Down"
3.62398482821879e-13,4.32889338312082,0.529,0.014,2.78517729987927e-08,"Galnt6-201",2.78517729987927e-08,"Up"
4.7843594909851e-13,3.17488952187202,0.529,0.014,3.67697164320169e-08,"Ms4a4b-201",3.67697164320169e-08,"Up"
5.18660136317482e-13,2.72944125139538,0.676,0.157,3.98611061165438e-08,"Col4a1-208",3.98611061165438e-08,"Up"
6.43287506895676e-13,3.64512126361699,0.542,0.029,4.94392180549603e-08,"Dock10-201",4.94392180549603e-08,"Up"
7.42830645823834e-13,4.2219608133485,0.555,0.057,5.70895064541449e-08,"Bltp1-217",5.70895064541449e-08,"Up"
8.0948579035592e-13,2.63977189607385,0.66,0.114,6.22122209320139e-08,"Sik1-201",6.22122209320139e-08,"Up"
8.24024261624027e-13,4.06929135366715,0.563,0.057,6.3329560602853e-08,"Cd2-201",6.3329560602853e-08,"Up"
9.83215376667988e-13,4.24818167162155,0.517,0.014,7.55640345584416e-08,"Galnt6-202",7.55640345584416e-08,"Up"
9.91659107820902e-13,-3.91890830808327,0.059,0.371,7.62129690724676e-08,"Gnai2-207",7.62129690724676e-08,"Down"
1.14031621322674e-12,2.62612328547176,0.613,0.1,8.76378622513278e-08,"Spata13-206",8.76378622513278e-08,"Up"
1.14031621322674e-12,2.62612328547176,0.613,0.1,8.76378622513278e-08,"Spata13-201",8.76378622513278e-08,"Up"
1.44533393950792e-12,3.85388997547965,0.529,0.029,1.11079694586942e-07,"Klf3-201",1.11079694586942e-07,"Up"
1.47939976693742e-12,6.33705429455613,0.483,0,1.13697789688209e-07,"Gramd3-203",1.13697789688209e-07,"Up"
1.47939976693742e-12,6.37743285717311,0.483,0,1.13697789688209e-07,"Gramd3-201",1.13697789688209e-07,"Up"
