"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.93616083234856e-51,4.31339475058726,0.672,0.057,2.25655704609316e-46,"Psg21-201",2.25655704609316e-46,"Up"
8.56153395336317e-51,3.78782821460808,0.761,0.133,6.57988130451773e-46,"Tpbpa-201",6.57988130451773e-46,"Up"
2.73644504058423e-47,5.44798616298652,0.58,0.02,2.1030674714906e-42,"Psg23-201",2.1030674714906e-42,"Up"
5.54565452768684e-46,4.45440521855039,0.571,0.02,4.26205733070844e-41,"Ceacam11-201",4.26205733070844e-41,"Up"
6.38545264453517e-43,3.9386190560087,0.597,0.053,4.90747577543106e-38,"Psg21-202",4.90747577543106e-38,"Up"
4.15975409501552e-42,1.94178268666269,0.769,0.18,3.19693741218322e-37,"Col4a1-201",3.19693741218322e-37,"Up"
1.08261498062255e-38,3.643257422122,0.555,0.04,8.32032917207653e-34,"Prl8a9-201",8.32032917207653e-34,"Up"
4.13196522033102e-37,3.89772004397899,0.521,0.033,3.1755805504332e-32,"Psg27-201",3.1755805504332e-32,"Up"
1.39012554964268e-32,1.96297576197235,0.668,0.2,1.06836708992239e-27,"Col1a1-201",1.06836708992239e-27,"Up"
1.50105500160779e-31,1.7901961233867,0.676,0.18,1.15362081093565e-26,"Col4a1-208",1.15362081093565e-26,"Up"
2.35779106118728e-31,2.7889052125702,0.592,0.117,1.81205674216487e-26,"Alas2-201",1.81205674216487e-26,"Up"
8.855850246028e-31,2.01227425080146,0.592,0.13,6.80607514808236e-26,"Col1a2-201",6.80607514808236e-26,"Up"
6.04247535042728e-30,7.36689939972032,0.374,0.003,4.64388400581738e-25,"Psg16-204",4.64388400581738e-25,"Up"
9.72519911657517e-30,1.16453238895473,0.618,0.133,7.47420452905268e-25,"Col4a2-201",7.47420452905268e-25,"Up"
2.33579704687589e-29,-3.28169183409402,0.197,0.643,1.795153462406e-24,"H2-Q7-206",1.795153462406e-24,"Down"
2.9942354065177e-29,2.25930611559776,0.5,0.07,2.30118967932511e-24,"Lyz2-201",2.30118967932511e-24,"Up"
3.00886858178846e-29,-3.00469951743383,0.202,0.65,2.3124358598477e-24,"H2-Q6-202",2.3124358598477e-24,"Down"
8.18660489991343e-29,1.64040176768192,0.66,0.19,6.29173332977947e-24,"Col3a1-201",6.29173332977947e-24,"Up"
4.66791217080684e-28,-1.89765584339347,0.45,0.87,3.58747721975189e-23,"H2-K1-201",3.58747721975189e-23,"Down"
5.30891509279394e-28,4.58810946541083,0.391,0.02,4.08011360541585e-23,"H2-T-ps-201",4.08011360541585e-23,"Up"
2.77683924069521e-27,-1.71028931009616,0.336,0.793,2.1341120300439e-22,"Naca-202",2.1341120300439e-22,"Down"
5.3462933498261e-27,3.57844767013312,0.399,0.027,4.10884029107535e-22,"Psg16-202",4.10884029107535e-22,"Up"
9.84689237249078e-27,3.6478461684554,0.374,0.017,7.56773066395406e-22,"Ceacam14-201",7.56773066395406e-22,"Up"
4.50742756725624e-26,-1.5646448166564,0.286,0.787,3.46413838253911e-21,"Ftl1-203",3.46413838253911e-21,"Down"
4.62503186032628e-26,4.15588503188501,0.349,0.01,3.55452198593516e-21,"Psg28-201",3.55452198593516e-21,"Up"
1.15080059167831e-24,2.22546647650239,0.752,0.4,8.84436286728447e-20,"Lef1-201",8.84436286728447e-20,"Up"
1.17397683048903e-24,1.96875654614976,0.79,0.533,9.02248153304036e-20,"H2-K1-205",9.02248153304036e-20,"Up"
1.39071665729708e-24,-1.16058024534158,0.256,0.753,1.0688213797991e-19,"Ftl1-202",1.0688213797991e-19,"Down"
1.74594293650638e-24,3.31586246749222,0.37,0.027,1.34182698442262e-19,"Psg16-201",1.34182698442262e-19,"Up"
2.73475501942155e-24,2.15741991589112,0.538,0.147,2.10176862262624e-19,"Fn1-214",2.10176862262624e-19,"Up"
6.75420147498113e-24,3.3861703049661,0.399,0.043,5.190874001582e-19,"Thbs1-201",5.190874001582e-19,"Up"
8.14981358757107e-24,2.45297206712264,0.534,0.15,6.26345773459187e-19,"Fn1-203",6.26345773459187e-19,"Up"
8.33237222119207e-24,-1.67945843366365,0.269,0.683,6.40376134687495e-19,"Ppia-206",6.40376134687495e-19,"Down"
1.51093671447726e-23,2.37890506117897,0.542,0.153,1.16121530254436e-18,"Fn1-201",1.16121530254436e-18,"Up"
4.60313320129749e-23,1.99088045555317,0.525,0.147,3.53769199052517e-18,"Fn1-211",3.53769199052517e-18,"Up"
5.18550139536871e-23,2.3595413333731,0.525,0.15,3.98526524239667e-18,"Fn1-217",3.98526524239667e-18,"Up"
3.38118172682035e-22,1.78045842692836,0.588,0.187,2.59857340433051e-17,"Ctsj-202",2.59857340433051e-17,"Up"
4.20480996461673e-22,-2.13547804662166,0.134,0.54,3.23156465020654e-17,"H3f3a-201",3.23156465020654e-17,"Down"
5.49592062045354e-22,-1.69322268955632,0.269,0.667,4.22383483364336e-17,"Ppia-201",4.22383483364336e-17,"Down"
7.99640909385087e-22,-1.15220902142859,0.214,0.67,6.14556024498815e-17,"Ftl1-206",6.14556024498815e-17,"Down"
