"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.43089613389277e-46,2.50064693936824,0.67,0.181,1.86824091474195e-41,"Ftl1-206",1.86824091474195e-41,"Up"
2.50477665543795e-38,2.22289183902756,0.65,0.197,1.92502105077028e-33,"H2-Q6-202",1.92502105077028e-33,"Up"
2.9756267316846e-36,1.27000126684378,0.927,0.757,2.28688816836889e-31,"H2-D1-202",2.28688816836889e-31,"Up"
1.98857950281997e-35,2.18801170377412,0.643,0.223,1.52830289109726e-30,"H2-Q7-206",1.52830289109726e-30,"Up"
8.11021571844111e-34,1.72359722878335,0.753,0.348,6.23302518825073e-29,"Spc24-201",6.23302518825073e-29,"Up"
3.3960101746898e-32,-1.3544614613173,0.92,0.948,2.6099696596561e-27,"Ftl1-201",2.6099696596561e-27,"Down"
2.52493547763084e-29,1.03638544165014,0.95,0.934,1.94051391197841e-24,"Ubb-201",1.94051391197841e-24,"Up"
4.19048024499373e-29,1.42969789091627,0.87,0.646,3.22055168748748e-24,"H2-K1-201",3.22055168748748e-24,"Up"
7.19849595024788e-28,1.92620790256544,0.653,0.292,5.53233207760351e-23,"Klf2-201",5.53233207760351e-23,"Up"
1.32687624935527e-27,2.69265386198519,0.36,0.058,1.0197574726795e-22,"H2-Q5-203",1.0197574726795e-22,"Up"
1.9036027468546e-27,1.89644293627358,0.56,0.207,1.46299485506764e-22,"H2-K1-213",1.46299485506764e-22,"Up"
2.95100887039638e-27,-3.35297627667665,0.133,0.505,2.26796835725443e-22,"Tpbpa-201",2.26796835725443e-22,"Down"
8.19853871957166e-26,1.15649524563076,0.897,0.724,6.3009049475396e-21,"Jund-201",6.3009049475396e-21,"Up"
4.25588543429411e-24,1.88318522048246,0.557,0.211,3.2708181916724e-19,"Per1-201",3.2708181916724e-19,"Up"
4.669024144218e-24,1.8570269269741,0.553,0.209,3.5883318157973e-19,"Per1-206",3.5883318157973e-19,"Up"
1.08034905182706e-23,1.75847333976018,0.477,0.145,8.30291460291171e-19,"Tagap-201",8.30291460291171e-19,"Up"
2.23819499741012e-23,1.11052531122806,0.717,0.354,1.72014238330957e-18,"H2-Q4-202",1.72014238330957e-18,"Up"
1.65574153202881e-22,-3.35140226609645,0.117,0.435,1.27250359702542e-17,"Alas2-201",1.27250359702542e-17,"Down"
1.68208558295409e-22,2.08989945123523,0.467,0.159,1.29275005392353e-17,"Gimap4-202",1.29275005392353e-17,"Up"
1.82554069811375e-22,1.39572175487014,0.787,0.483,1.40300104812834e-17,"Ftl1-203",1.40300104812834e-17,"Up"
9.36589094402619e-22,1.19536629009547,0.753,0.416,7.19806182612189e-17,"Ets1-201",7.19806182612189e-17,"Up"
6.92182247596885e-21,2.1031335305324,0.357,0.089,5.3196974456811e-16,"Tsc22d3-205",5.3196974456811e-16,"Up"
7.3342811033895e-20,1.8094881582385,0.393,0.113,5.63668839919896e-15,"Btg2-201",5.63668839919896e-15,"Up"
7.6428479310416e-20,1.28058773451399,0.71,0.445,5.87383434892271e-15,"Tmsb4x-201",5.87383434892271e-15,"Up"
1.43701911750021e-19,-1.93157065227773,0.17,0.475,1.10440667256361e-14,"Peg10-202",1.10440667256361e-14,"Down"
2.19993463344899e-19,1.67808924904424,0.51,0.205,1.69073776319089e-14,"Per1-203",1.69073776319089e-14,"Up"
4.12437869669276e-19,2.94954252301717,0.347,0.097,3.16975000355625e-14,"Sfi1-216",3.16975000355625e-14,"Up"
5.2821959028837e-19,1.75050723915095,0.383,0.113,4.05957883920224e-14,"Tsc22d3-201",4.05957883920224e-14,"Up"
2.82752466603338e-18,1.33113202628623,0.76,0.575,2.1730658068333e-13,"Vps37b-201",2.1730658068333e-13,"Up"
2.87444541772419e-18,1.80772910909465,0.42,0.155,2.20912628133775e-13,"Tle5-206",2.20912628133775e-13,"Up"
1.04570329983738e-17,1.44831926890276,0.62,0.356,8.03664814057023e-13,"Tmsb4x-203",8.03664814057023e-13,"Up"
1.28773048069755e-17,1.42214454814454,0.76,0.586,9.89672383635296e-13,"Nfkbia-201",9.89672383635296e-13,"Up"
1.6976197707116e-17,-1.91585396319208,0.167,0.451,1.30468869858269e-12,"Peg10-203",1.30468869858269e-12,"Down"
3.43723889999326e-17,1.46269979305283,0.467,0.191,2.64165558420082e-12,"Per1-202",2.64165558420082e-12,"Up"
1.96397742924748e-16,1.86443680527666,0.35,0.111,1.50939521347386e-11,"Nr4a1-201",1.50939521347386e-11,"Up"
2.18064816886006e-16,1.99845788400074,0.42,0.165,1.67591534369571e-11,"Irf1-201",1.67591534369571e-11,"Up"
