"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.8075343383964e-36,-5.04508423897979,0.071,0.771,8.44779933943016e-32,"H19",8.44779933943016e-32,"Down"
6.07101242624061e-31,-6.77452352959023,0.017,0.557,1.066798303539e-26,"Prdx2",1.066798303539e-26,"Down"
7.19420308362319e-27,-6.57288966842058,0.008,0.471,1.26416536585427e-22,"Cntnap5b",1.26416536585427e-22,"Down"
3.22585235325096e-25,3.09767341042814,0.887,0.229,5.66846775513259e-21,"Ets1",5.66846775513259e-21,"Up"
2.98885112769474e-24,4.02296114844331,0.828,0.129,5.2520092015852e-20,"Itk",5.2520092015852e-20,"Up"
6.09869819000725e-24,-5.32624970083746,0.013,0.443,1.07166324594807e-19,"Gpx1",1.07166324594807e-19,"Down"
7.4380489655292e-24,-4.22496636500027,0.042,0.529,1.30701396422279e-19,"Ftl1-ps1",1.30701396422279e-19,"Down"
9.67539497333452e-24,-5.59560974492067,0.029,0.486,1.70016040471434e-19,"Peg10",1.70016040471434e-19,"Down"
1.33154016404537e-23,2.42297168082106,0.908,0.357,2.33978237626052e-19,"Mbnl1",2.33978237626052e-19,"Up"
2.54812474240088e-22,2.07264309916153,0.933,0.429,4.47756479734683e-18,"Ddx5",4.47756479734683e-18,"Up"
2.63000936693008e-22,2.65130499554985,0.882,0.243,4.62145245956954e-18,"Fam107b",4.62145245956954e-18,"Up"
1.04521808831802e-21,3.7055597897999,0.803,0.171,1.83665722479243e-17,"Satb1",1.83665722479243e-17,"Up"
1.8131646407817e-21,2.71641988890046,0.87,0.271,3.1860929067816e-17,"Dock2",3.1860929067816e-17,"Up"
4.58402930683742e-21,3.62186718600167,0.756,0.086,8.05505629797471e-17,"Ablim1",8.05505629797471e-17,"Up"
5.69409130280839e-21,3.23446525363702,0.807,0.171,1.00056572372949e-16,"Arhgap15",1.00056572372949e-16,"Up"
2.45066197988337e-20,2.42794498305823,0.857,0.329,4.30630323105106e-16,"Vps37b",4.30630323105106e-16,"Up"
4.20347786290207e-20,-4.14404636961671,0.038,0.457,7.38635130069151e-16,"Cox6c",7.38635130069151e-16,"Down"
4.6770350429442e-20,-3.35799178363106,0.252,0.714,8.21848597746155e-16,"Hnrnpab",8.21848597746155e-16,"Down"
8.27987705265616e-20,3.03242147769238,0.773,0.143,1.45493999569274e-15,"4932438A13Rik",1.45493999569274e-15,"Up"
8.8311586723367e-20,2.94466393824044,0.803,0.171,1.551811201903e-15,"Dock10",1.551811201903e-15,"Up"
9.9528197295327e-20,2.54139118518514,0.857,0.343,1.74890948287349e-15,"Tnfaip3",1.74890948287349e-15,"Up"
1.99454744259058e-19,3.35285995443925,0.777,0.171,3.50481876612018e-15,"Lef1",3.50481876612018e-15,"Up"
4.33329679424283e-19,2.72590192766885,0.937,0.5,7.6144691268435e-15,"Jarid2",7.6144691268435e-15,"Up"
6.77631807674933e-19,1.8333862119481,0.912,0.5,1.19073461244639e-14,"H2-K1",1.19073461244639e-14,"Up"
7.74597287191385e-19,2.09575898280543,0.878,0.443,1.3611223530527e-14,"B2m",1.3611223530527e-14,"Up"
9.30741980027335e-19,2.34298971041519,0.836,0.243,1.63549980730403e-14,"Ssh2",1.63549980730403e-14,"Up"
1.79419914489877e-18,3.12847455794881,0.769,0.171,3.15276673741612e-14,"Zfp36l2",3.15276673741612e-14,"Up"
2.91704203966552e-18,2.78905410531466,0.769,0.186,5.12582627210026e-14,"Rasa3",5.12582627210026e-14,"Up"
7.0882644148144e-18,-3.85299758761332,0.029,0.4,1.24554982297119e-13,"Arf5",1.24554982297119e-13,"Down"
7.72193309170918e-18,2.02236781302845,0.849,0.343,1.35689808287514e-13,"Btg1",1.35689808287514e-13,"Up"
8.3889185416939e-18,2.81588739665293,0.773,0.214,1.47410076614645e-13,"Bach2",1.47410076614645e-13,"Up"
1.06627110689528e-17,2.54674317849067,0.887,0.386,1.87365158903639e-13,"D130009I18Rik",1.87365158903639e-13,"Up"
1.20375000841978e-17,1.53298874418944,0.958,0.814,2.11522951479523e-13,"Eef1a1",2.11522951479523e-13,"Up"
1.25169273848227e-17,3.47477958297073,0.71,0.114,2.19947448006105e-13,"Klf2",2.19947448006105e-13,"Up"
2.361270331707e-17,2.84589996571937,0.765,0.2,4.14922422687553e-13,"Ptprc",4.14922422687553e-13,"Up"
2.89574899057708e-17,1.9910753769495,0.845,0.286,5.08841012624205e-13,"Jak1",5.08841012624205e-13,"Up"
6.58328897245715e-17,2.46129264631381,0.815,0.286,1.15681553824017e-12,"Ifngr1",1.15681553824017e-12,"Up"
1.02130625026004e-16,3.3005544440948,0.714,0.157,1.79463934295693e-12,"Grap2",1.79463934295693e-12,"Up"
4.83415930330234e-16,2.87471018985937,0.718,0.143,8.49458472776287e-12,"Zeb1",8.49458472776287e-12,"Up"
5.80655405014507e-16,5.1886615640239,0.588,0.014,1.02032767769149e-11,"Il7r",1.02032767769149e-11,"Up"
6.68835148876193e-16,-2.17632277264046,0.555,0.843,1.17527712360525e-11,"Ftl1",1.17527712360525e-11,"Down"
7.95231163882808e-16,3.00529429966951,0.79,0.257,1.39738020117487e-11,"Tmtc2",1.39738020117487e-11,"Up"
9.64207064503465e-16,-2.25894330919469,0.34,0.771,1.69430465374549e-11,"Sqstm1",1.69430465374549e-11,"Down"
1.15373855893167e-15,2.47732177753319,0.727,0.186,2.02734939575472e-11,"Cd53",2.02734939575472e-11,"Up"
2.67887878618553e-15,-3.2129937233342,0.071,0.457,4.70732580308521e-11,"Mkrn1",4.70732580308521e-11,"Down"
3.03147031494031e-15,2.22211686120938,0.769,0.243,5.32689963741311e-11,"Foxp1",5.32689963741311e-11,"Up"
3.89647082472623e-15,2.7454271729144,0.668,0.114,6.84687853320892e-11,"Stk17b",6.84687853320892e-11,"Up"
5.27303389964811e-15,2.38540715171176,0.731,0.2,9.26577516846166e-11,"Cytip",9.26577516846166e-11,"Up"
5.78248184363907e-15,2.33249733659755,0.718,0.171,1.01609770956426e-10,"Fyb",1.01609770956426e-10,"Up"
9.18367427567069e-15,-3.05410424430391,0.265,0.643,1.61375524372085e-10,"Set",1.61375524372085e-10,"Down"
9.84440679597592e-15,4.74225989383572,0.55,0.014,1.72985916218889e-10,"Ms4a4b",1.72985916218889e-10,"Up"
1.06918294226853e-14,-4.18057224564182,0.029,0.343,1.87876826615426e-10,"Krt8",1.87876826615426e-10,"Down"
1.75861529981547e-14,2.36617093284885,0.718,0.2,3.09023880483574e-10,"Zc3hav1",3.09023880483574e-10,"Up"
1.83596293197249e-14,2.47223290086039,0.702,0.171,3.22615406406205e-10,"Macf1",3.22615406406205e-10,"Up"
