"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.79642878767497e-46,-1.65502795499106,0.303,0.94,8.42828466570246e-42,"Zfp791",8.42828466570246e-42,"Down"
1.11533111971089e-35,-1.24059485797496,0.937,0.95,1.95985984355597e-31,"Itga9",1.95985984355597e-31,"Down"
4.11793583996673e-35,-2.37550667147152,0.235,0.73,7.23603685798954e-31,"H2-Q7",7.23603685798954e-31,"Down"
3.15547386654699e-26,1.74032120936567,0.777,0.437,5.54479867829636e-22,"Lef1",5.54479867829636e-22,"Up"
5.82057429825111e-24,-2.24583654135535,0.176,0.587,1.02279131568868e-19,"H2-Q6",1.02279131568868e-19,"Down"
9.74715102682145e-24,-2.64133701857779,0.155,0.557,1.71276937843307e-19,"Bhlhe40",1.71276937843307e-19,"Down"
4.45846468230268e-23,1.23307201833716,0.836,0.52,7.83441413974226e-19,"Ssh2",7.83441413974226e-19,"Up"
7.15981987160774e-23,3.21535643068932,0.403,0.06,1.25812354783891e-18,"Pde6a",1.25812354783891e-18,"Up"
5.5951574635023e-21,1.59054157093623,0.718,0.357,9.83181069486624e-17,"Zeb1",9.83181069486624e-17,"Up"
5.75096555704942e-20,2.60701942159435,0.433,0.097,1.01055966768472e-15,"St8sia1",1.01055966768472e-15,"Up"
7.09710137332463e-20,1.32090526957625,0.769,0.393,1.2471026533206e-15,"Rasa3",1.2471026533206e-15,"Up"
1.47293350489823e-19,-2.5654721968581,0.088,0.44,2.58823875480717e-15,"Ubald2",2.58823875480717e-15,"Down"
3.28655828995771e-19,1.24048904126479,0.807,0.553,5.77514022711369e-15,"Arhgap15",5.77514022711369e-15,"Up"
1.46142701518231e-18,-1.00812270365338,0.706,0.903,2.56801955107835e-14,"Actg1",2.56801955107835e-14,"Down"
2.00359628825817e-18,1.6734873934596,0.588,0.233,3.52071939772726e-14,"Il7r",3.52071939772726e-14,"Up"
3.75591289392068e-18,1.55042439073014,0.714,0.397,6.59989013719742e-14,"Grap2",6.59989013719742e-14,"Up"
1.84866307581411e-17,2.20847004510408,0.45,0.13,3.24847075682055e-13,"Sntb1",3.24847075682055e-13,"Up"
1.9716387741723e-17,-1.06393666257712,0.622,0.853,3.46456365397557e-13,"Ubc",3.46456365397557e-13,"Down"
2.28662328006882e-17,2.81043897113092,0.353,0.067,4.01805442773693e-13,"Dnah8",4.01805442773693e-13,"Up"
5.36760537213905e-17,-1.72439086760387,0.357,0.647,9.43195615992274e-13,"Nfkbia",9.43195615992274e-13,"Down"
5.5073818065734e-17,1.70781576374027,0.525,0.19,9.67757131051078e-13,"Crlf3",9.67757131051078e-13,"Up"
4.81102646028304e-16,-1.40296466697827,0.416,0.743,8.45393569600935e-12,"Il31ra",8.45393569600935e-12,"Down"
1.46611865910706e-14,-1.72007574556786,0.239,0.547,2.57626370778293e-10,"Pim1",2.57626370778293e-10,"Down"
1.77780272185431e-14,-2.30071460873032,0.071,0.35,3.12395494284239e-10,"Hnrnpd",3.12395494284239e-10,"Down"
2.50443437774859e-14,-1.04373578263726,0.815,0.927,4.40079208857983e-10,"Actb",4.40079208857983e-10,"Down"
