"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
6.32136897411436e-138,6.97321045779757,0.94,0.072,1.11079095613137e-133,"Zfp791",1.11079095613137e-133,"Up"
1.71678696258029e-106,4.22252268137364,0.95,0.523,3.01673805064609e-102,"Itga9",3.01673805064609e-102,"Up"
2.82387264575358e-91,1.97734444254298,1,0.942,4.96210901311818e-87,"Peak1",4.96210901311818e-87,"Up"
6.08561828665651e-71,2.6192743105499,0.953,0.64,1.06936484533128e-66,"Jarid2",1.06936484533128e-66,"Up"
2.6584776852575e-61,1.35193301229722,1,0.994,4.67147698853448e-57,"Zc3h7a",4.67147698853448e-57,"Up"
1.33738861012368e-60,3.04228453018214,0.81,0.326,2.35005926570933e-56,"Tmtc2",2.35005926570933e-56,"Up"
1.24502057613391e-56,2.55002006698814,0.87,0.443,2.1877501563825e-52,"D130009I18Rik",2.1877501563825e-52,"Up"
1.57736808566721e-42,3.3449547115149,0.507,0.087,2.77175120013442e-38,"Mphosph8",2.77175120013442e-38,"Up"
1.28735959450264e-41,1.86868240020555,0.73,0.286,2.26214827946004e-37,"H2-Q7",2.26214827946004e-37,"Up"
3.87649124605266e-38,1.54457139789402,0.83,0.592,6.81177041756373e-34,"6030443J06Rik",6.81177041756373e-34,"Up"
7.95198182890672e-37,1.70193202411945,0.747,0.372,1.39732224697549e-32,"Uso1",1.39732224697549e-32,"Up"
7.67058983848005e-34,1.05948925954178,0.917,0.676,1.34787604641771e-29,"H2-D1",1.34787604641771e-29,"Up"
1.24425531263209e-32,2.07583725362926,0.743,0.4,2.18640543535711e-28,"Il31ra",2.18640543535711e-28,"Up"
4.82319399674978e-30,1.92019516594809,0.587,0.221,8.47531649108871e-26,"H2-Q6",8.47531649108871e-26,"Up"
2.13023399762426e-28,2.69511648713121,0.37,0.062,3.74324718062534e-24,"Pkhd1",3.74324718062534e-24,"Up"
4.30660006476746e-28,2.39523922398487,0.447,0.113,7.56755763380938e-24,"Slc1a1",7.56755763380938e-24,"Up"
1.56871989511421e-27,2.07822582212336,0.607,0.274,2.75655459969469e-23,"Klf2",2.75655459969469e-23,"Up"
3.93176619554954e-27,1.17431522903251,0.853,0.579,6.90889955881965e-23,"Ubc",6.90889955881965e-23,"Up"
8.34114776293236e-26,1.32165809160376,0.76,0.515,1.46570648490247e-21,"Btrc",1.46570648490247e-21,"Up"
9.89953682873704e-26,1.80865676753043,0.52,0.179,1.73954661154567e-21,"Taf1c",1.73954661154567e-21,"Up"
2.40544566851714e-25,-1.23927546646503,0.7,0.845,4.22684912871832e-21,"Gapdh",4.22684912871832e-21,"Down"
1.24868068011821e-24,1.2664624031956,0.777,0.577,2.19418169110371e-20,"Vps37b",2.19418169110371e-20,"Up"
4.9565188023923e-22,-2.97907578101448,0.05,0.348,8.70959483956375e-18,"Cwc22",8.70959483956375e-18,"Down"
2.06244110446695e-21,1.08845891531073,0.747,0.429,3.62412150876932e-17,"Ets1",3.62412150876932e-17,"Up"
3.0627767019649e-21,1.97064418863545,0.44,0.151,5.38191122069272e-17,"Ubald2",5.38191122069272e-17,"Up"
8.15021459827537e-20,-1.91507952530263,0.173,0.503,1.43215570920895e-15,"H19",1.43215570920895e-15,"Down"
9.07108270409015e-20,1.48571304779233,0.643,0.346,1.59397065276272e-15,"Nmbr",1.59397065276272e-15,"Up"
1.10234294836416e-19,1.03313793259483,0.687,0.348,1.9370370288655e-15,"H2-Q4",1.9370370288655e-15,"Up"
1.24257958973701e-19,1.47478971244222,0.617,0.33,2.18346085508588e-15,"Gimap6",2.18346085508588e-15,"Up"
2.69530769916529e-19,1.39231742277876,0.54,0.239,4.73619468897324e-15,"Lck",4.73619468897324e-15,"Up"
6.51870220720115e-19,2.02914983042594,0.387,0.129,1.14546635184939e-14,"Klrk1",1.14546635184939e-14,"Up"
7.43441986108279e-18,-1.32407205399473,0.31,0.594,1.30637625798947e-13,"Pkm",1.30637625798947e-13,"Down"
8.70297718761951e-18,1.78882489300146,0.38,0.125,1.5292871514085e-13,"Gimap4",1.5292871514085e-13,"Up"
3.0277860328219e-17,1.35033517052278,0.5,0.213,5.32042561687464e-13,"Vmp1",5.32042561687464e-13,"Up"
4.02800030524355e-16,1.48530659757387,0.437,0.177,7.07800213637397e-12,"Adgre5",7.07800213637397e-12,"Up"
4.24270676152493e-16,-1.60342576461354,0.35,0.596,7.4552843213516e-12,"Hmgb1",7.4552843213516e-12,"Down"
6.56504812675029e-16,1.57188179372384,0.55,0.294,1.15361025683256e-11,"Camk2b",1.15361025683256e-11,"Up"
6.59585475772673e-16,1.55633066827711,0.42,0.169,1.15902359802774e-11,"Clhc1",1.15902359802774e-11,"Up"
2.49114735150805e-15,1.12186774067893,0.627,0.364,4.37744412606994e-11,"Tmsb4x",4.37744412606994e-11,"Up"
2.76671956690355e-15,-1.09303917348232,0.62,0.765,4.86167962296293e-11,"Ppia",4.86167962296293e-11,"Down"
5.49173504860351e-15,-1.51964416237718,0.17,0.435,9.65007682740609e-11,"Mdh2",9.65007682740609e-11,"Down"
1.53277225327914e-14,1.26584298255677,0.647,0.455,2.6933874034621e-10,"Nfkbia",2.6933874034621e-10,"Up"
2.2483629832668e-14,1.26210700279576,0.49,0.237,3.95082343419641e-10,"Per1",3.95082343419641e-10,"Up"
2.80741729802498e-14,-1.3424269680469,0.48,0.668,4.9331936760895e-10,"Ybx1",4.9331936760895e-10,"Down"
1.74473668890376e-13,1.79056762932075,0.407,0.183,3.06585130974169e-09,"Tlcd4",3.06585130974169e-09,"Up"
2.70786821990418e-13,1.47302629582433,0.417,0.187,4.75826603601562e-09,"Irf1",4.75826603601562e-09,"Up"
3.3572554460852e-13,1.4584437673275,0.343,0.127,5.89936926986092e-09,"Tagap",5.89936926986092e-09,"Up"
8.03207844505884e-13,1.51476908107641,0.53,0.302,1.41139682436574e-08,"Dnah7b",1.41139682436574e-08,"Up"
8.12752271042125e-13,-1.58808521847906,0.16,0.39,1.42816829067522e-08,"Eif3b",1.42816829067522e-08,"Down"
3.15143707341873e-12,1.04854262559315,0.527,0.29,5.53770522541139e-08,"Fxyd5",5.53770522541139e-08,"Up"
3.36486867313085e-12,1.24285652389616,0.383,0.165,5.91274723242552e-08,"Tmsb10",5.91274723242552e-08,"Up"
4.60419973521213e-12,1.32973397457613,0.37,0.157,8.09049977471476e-08,"H2-T22",8.09049977471476e-08,"Up"
5.6076184870563e-12,-1.47465670760387,0.137,0.36,9.85370720545533e-08,"Atp5g1",9.85370720545533e-08,"Down"
5.77617067581436e-12,1.08968288674318,0.47,0.239,1.0149887111541e-07,"Akna",1.0149887111541e-07,"Up"
3.01608340554618e-11,1.2458905839858,0.353,0.149,5.29986176022575e-07,"Mctp2",5.29986176022575e-07,"Up"
3.9351986218536e-11,-1.49799250475727,0.17,0.378,6.91493101832114e-07,"Ywhae",6.91493101832114e-07,"Down"
1.09015243156222e-10,-1.30230496876702,0.21,0.419,1.91561585274113e-06,"Ldha",1.91561585274113e-06,"Down"
1.09718562556378e-10,1.51708787675223,0.513,0.328,1.92797458124068e-06,"Jun",1.92797458124068e-06,"Up"
1.10897081625168e-10,-1.41648817314757,0.147,0.352,1.94868351831746e-06,"Cct8",1.94868351831746e-06,"Down"
2.40312861386836e-10,1.44687041591776,0.33,0.143,4.22277760028948e-06,"Atf2",4.22277760028948e-06,"Up"
2.70374352214823e-10,-1.12732673959842,0.267,0.471,4.75101811711888e-06,"Atp5a1",4.75101811711888e-06,"Down"
4.36841095996111e-10,-1.41111970559901,0.197,0.392,7.67617173884367e-06,"H2az1",7.67617173884367e-06,"Down"
5.17747900644627e-10,-1.52737152440179,0.15,0.342,9.09786611012738e-06,"Eno1",9.09786611012738e-06,"Down"
7.00564307094919e-10,-1.37810599352557,0.16,0.354,1.23103160042719e-05,"Nono",1.23103160042719e-05,"Down"
7.41791929308191e-10,-1.28247505106986,0.427,0.586,1.30347677818035e-05,"Npm1",1.30347677818035e-05,"Down"
8.82015176361761e-10,1.48727525156261,0.423,0.241,1.54987706790289e-05,"Dusp1",1.54987706790289e-05,"Up"
1.30501992595176e-09,-1.19418004846257,0.23,0.425,2.29318101388242e-05,"Anp32b",2.29318101388242e-05,"Down"
2.24928202749655e-09,-1.06811515661896,0.64,0.738,3.95243837871693e-05,"Ncl",3.95243837871693e-05,"Down"
8.07680106311785e-09,1.03691462334031,0.363,0.183,0.000141925548281107,"Nup210",0.000141925548281107,"Up"
8.12106054002033e-09,1.36635718824712,0.397,0.227,0.000142703275809237,"Sytl3",0.000142703275809237,"Up"
1.04361076155451e-08,1.21371017823665,0.403,0.223,0.000183383283020359,"Nr4a2",0.000183383283020359,"Up"
1.59778934786226e-08,-1.05737649989188,0.21,0.396,0.000280763544206356,"Eif4g1",0.000280763544206356,"Down"
2.03252201576302e-08,1.05843195275874,0.397,0.221,0.000357154768609878,"Tcf7",0.000357154768609878,"Up"
2.17514544345733e-08,-1.15345376731378,0.17,0.35,0.000382216557324321,"Eif3i",0.000382216557324321,"Down"
2.87066671892115e-08,-1.01055465743257,0.227,0.414,0.000504433555848825,"Ddb1",0.000504433555848825,"Down"
3.1001791314773e-08,1.3636508052248,0.427,0.264,0.000544763476983191,"Arhgap21",0.000544763476983191,"Up"
3.29273859520884e-08,-1.16153373118317,0.16,0.336,0.000578600025950097,"Atp5b",0.000578600025950097,"Down"
3.63839376492785e-08,-1.1347357461062,0.19,0.368,0.000639338552373122,"Fndc3a",0.000639338552373122,"Down"
3.85769496783561e-08,1.06813335395103,0.427,0.258,0.000677874159748074,"Nkg7",0.000677874159748074,"Up"
4.71751320854601e-08,1.08554451906605,0.383,0.217,0.000828961421005706,"Wnk3",0.000828961421005706,"Up"
5.66447825607463e-08,-1.03842958649385,0.223,0.4,0.000995362119157433,"Vcp",0.000995362119157433,"Down"
1.18283644856518e-07,1.16359324537151,0.413,0.258,0.00207848020741873,"Nfkbiz",0.00207848020741873,"Up"
1.24611451808602e-07,-1.0248794706276,0.193,0.366,0.00218967243118075,"Rbbp4",0.00218967243118075,"Down"
