"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
3.98408603963719e-20,1.23619817902034,1,0.966,1.1673372096137e-17,"Atf2",1.1673372096137e-17,"Up"
4.16788159037503e-18,1.67568293965712,0.94,0.553,1.22118930597988e-15,"Patz1",1.22118930597988e-15,"Up"
2.00539491627186e-15,1.71023179508874,0.96,0.729,5.87580710467654e-13,"Snd1",5.87580710467654e-13,"Up"
3.63614599200834e-12,1.99726035044052,0.66,0.202,1.06539077565844e-09,"Gmeb1",1.06539077565844e-09,"Up"
4.87349201988672e-12,1.28952076791463,1,0.943,1.42793316182681e-09,"Tead4",1.42793316182681e-09,"Up"
8.4984245981271e-12,1.85147701431906,0.88,0.481,2.49003840725124e-09,"Zkscan6",2.49003840725124e-09,"Up"
1.91304475015464e-11,1.71513633091635,0.46,0.08,5.6052211179531e-09,"Nr1d2",5.6052211179531e-09,"Up"
4.16954313121754e-11,1.59103306537442,0.92,0.718,1.22167613744674e-08,"Zbtb16",1.22167613744674e-08,"Up"
1.23390208380849e-10,1.90116181230852,0.82,0.519,3.61533310555887e-08,"Zbtb40",3.61533310555887e-08,"Up"
1.24617074454266e-10,1.78636035259904,0.62,0.164,3.65128028150999e-08,"Tcf3",3.65128028150999e-08,"Up"
1.36453823737385e-10,1.80198466690924,0.9,0.744,3.99809703550537e-08,"Hsf1",3.99809703550537e-08,"Up"
1.40566378826057e-10,1.60257062427903,0.96,0.76,4.11859489960347e-08,"Rfx2",4.11859489960347e-08,"Up"
1.76688190326678e-10,1.84450525916564,0.9,0.683,5.17696397657165e-08,"Tcf21",5.17696397657165e-08,"Up"
1.93872305384679e-10,2.17298288284414,0.5,0.115,5.6804585477711e-08,"Zfp317",5.6804585477711e-08,"Up"
4.65662241520037e-10,1.73353462593281,0.88,0.553,1.36439036765371e-07,"Egr2",1.36439036765371e-07,"Up"
8.78302168738116e-10,1.35486379752429,0.98,0.897,2.57342535440268e-07,"Fosl1",2.57342535440268e-07,"Up"
9.32182012382868e-10,1.36973467059109,0.98,0.885,2.7312932962818e-07,"Zbtb25",2.7312932962818e-07,"Up"
9.45299108201773e-10,1.59550263183042,0.96,0.584,2.7697263870312e-07,"Hoxa10",2.7697263870312e-07,"Up"
2.58356147447628e-09,1.54067510852209,0.98,0.79,7.5698351202155e-07,"Zbtb7b",7.5698351202155e-07,"Up"
4.21477567843805e-09,1.07383354524268,1,0.989,1.23492927378235e-06,"Bhlhe41",1.23492927378235e-06,"Up"
4.71854513963066e-09,1.90004025418529,0.4,0.08,1.38253372591178e-06,"Rfx1",1.38253372591178e-06,"Up"
5.27091945586362e-09,1.72221916041253,0.92,0.729,1.54437940056804e-06,"Zfp639",1.54437940056804e-06,"Up"
9.78247762507548e-09,1.6440977034923,0.62,0.202,2.86626594414711e-06,"Zfp217",2.86626594414711e-06,"Up"
1.09327111966861e-07,1.31025668986513,0.88,0.599,3.20328438062903e-05,"Zfp654",3.20328438062903e-05,"Up"
1.10582206970565e-07,1.06555439586854,1,1,3.24005866423754e-05,"Runx3",3.24005866423754e-05,"Up"
2.05896818994446e-07,1.42079790725408,0.96,0.752,6.03277679653727e-05,"Sp2",6.03277679653727e-05,"Up"
2.6633417424515e-07,1.36067110192868,0.88,0.718,7.80359130538291e-05,"Bcl11a",7.80359130538291e-05,"Up"
4.55822673840033e-07,1.8009576959124,0.48,0.145,0.00013355604343513,"Crebzf",0.00013355604343513,"Up"
1.18174889618923e-06,1.07983559340118,1,0.95,0.000346252426583444,"Zeb1",0.000346252426583444,"Up"
1.51434526564783e-06,1.31298429182685,0.78,0.496,0.000443703162834814,"Plag1",0.000443703162834814,"Up"
1.86054852203927e-06,1.55094780541795,0.88,0.546,0.000545140716957507,"Max",0.000545140716957507,"Up"
3.36432094460611e-06,1.00817199928322,1,0.989,0.00098574603676959,"Crem",0.00098574603676959,"Up"
3.51449533906451e-06,1.28764279637769,0.9,0.706,0.0010297471343459,"Zbtb18",0.0010297471343459,"Up"
3.8407755080625e-06,1.5594501990137,0.34,0.084,0.00112534722386231,"Stat5b",0.00112534722386231,"Up"
4.54469611768493e-06,1.06440972917474,1,1,0.00133159596248169,"Nfyb",0.00133159596248169,"Up"
4.60523535357267e-06,1.15147709317444,0.86,0.668,0.00134933395859679,"Prdm1",0.00134933395859679,"Up"
7.31951688418924e-06,1.37918273868582,0.94,0.706,0.00214461844706745,"Smad4",0.00214461844706745,"Up"
7.40081424002335e-06,1.05775572041447,0.96,0.767,0.00216843857232684,"Elf2",0.00216843857232684,"Up"
