"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
2.48929105013245e-14,2.89441117193132,0.46,0.008,7.29362277688807e-12,"Nr1d2",7.29362277688807e-12,"Up"
2.07491353875705e-11,1.03044137991609,1,0.992,6.07949666855815e-09,"Bhlhe41",6.07949666855815e-09,"Up"
2.45259781244544e-10,1.66375760498029,0.86,0.508,7.18611159046515e-08,"Prdm1",7.18611159046515e-08,"Up"
1.15872962422665e-09,1.26166739659211,0.92,0.61,3.39507779898409e-07,"Zbtb16",3.39507779898409e-07,"Up"
1.25322075625472e-09,1.44243322463004,0.9,0.602,3.67193681582633e-07,"Hsf1",3.67193681582633e-07,"Up"
1.61408398602715e-09,1.61065103546764,0.92,0.703,4.72926607905954e-07,"Zfp639",4.72926607905954e-07,"Up"
2.22872120930925e-09,1.8902136995892,0.78,0.398,6.53015314327612e-07,"Plag1",6.53015314327612e-07,"Up"
4.11060799837232e-09,1.48294352897391,0.5,0.076,1.20440814352309e-06,"Zfp317",1.20440814352309e-06,"Up"
1.5233983199965e-08,1.14218229390059,0.98,0.873,4.46355707758975e-06,"Fosl1",4.46355707758975e-06,"Up"
3.29848729047179e-08,1.01857807566511,0.96,0.763,9.66456776108234e-06,"Snd1",9.66456776108234e-06,"Up"
4.42127928083754e-08,1.38895574163255,0.88,0.517,1.2954348292854e-05,"Egr2",1.2954348292854e-05,"Up"
1.94960794435213e-07,1.16904982765994,0.9,0.636,5.71235127695174e-05,"Ebf2",5.71235127695174e-05,"Up"
2.36575002785265e-07,1.04882016134133,0.98,0.915,6.93164758160826e-05,"Zbtb25",6.93164758160826e-05,"Up"
8.74551946760172e-07,1.10975176670001,0.6,0.169,0.00025624372040073,"Ash2l",0.00025624372040073,"Up"
1.24482599026421e-06,1.27202559799506,0.76,0.347,0.000364734015147414,"Hand1",0.000364734015147414,"Up"
1.57131789064161e-06,1.16014255696778,0.88,0.72,0.000460396141957991,"Bcl11a",0.000460396141957991,"Up"
2.08600956507551e-06,1.01676014747105,0.96,0.712,0.000611200802567125,"Rfx2",0.000611200802567125,"Up"
1.43668275291244e-05,1.01297263999186,0.82,0.517,0.00420948046603346,"Zbtb40",0.00420948046603346,"Up"
3.17027741990659e-05,-1.17957674978255,0.24,0.585,0.00928891284032631,"Eomes",0.00928891284032631,"Down"
