"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
7.94975163622175e-35,6.23466063357982,0.66,0.027,6.10970212250186e-30,"Ftl1-206",6.10970212250186e-30,"Up"
1.22978450893905e-33,5.60115919624428,0.72,0.05,9.4513858650002e-29,"Ftl1-202",9.4513858650002e-29,"Up"
2.65531083412676e-32,5.22499474520276,0.72,0.057,2.04071258845978e-27,"Ftl1-203",2.04071258845978e-27,"Up"
3.24656051852502e-22,3.01888993156043,0.68,0.092,2.49511162090722e-17,"Afp-201",2.49511162090722e-17,"Up"
2.08726381847882e-20,5.65556323262335,0.36,0.008,1.60414573505371e-15,"Actb-207",1.60414573505371e-15,"Up"
6.50512752655557e-17,3.98859977171587,0.4,0.031,4.99945070925902e-12,"Havcr2-201",4.99945070925902e-12,"Up"
7.43912175031205e-15,3.74434842130392,0.34,0.023,5.71726262998482e-10,"Gapdh-ps16-201",5.71726262998482e-10,"Up"
2.13503753391513e-14,4.3764542175323,0.34,0.027,1.64086174631513e-09,"Itm2b-202",1.64086174631513e-09,"Up"
1.79416395828305e-13,3.61513640320171,0.82,0.263,1.37888676849885e-08,"Spp1-204",1.37888676849885e-08,"Up"
2.68234923341626e-13,2.24879941749729,0.48,0.08,2.06149267984974e-08,"Psg21-201",2.06149267984974e-08,"Up"
3.52866623139098e-13,3.58511504976829,0.4,0.053,2.71192114547322e-08,"Fcrl6-201",2.71192114547322e-08,"Up"
3.87483849290163e-13,3.51137877196666,0.4,0.053,2.97796837533462e-08,"Anxa2-204",2.97796837533462e-08,"Up"
5.15877222851309e-13,-3.95424935739924,0.24,0.725,3.96472280850145e-08,"Set-201",3.96472280850145e-08,"Down"
6.28215792807902e-13,-2.84976619448298,0.34,0.794,4.82808965404585e-08,"Sqstm1-202",4.82808965404585e-08,"Down"
1.49833879783227e-12,-1.65800333602224,0.7,0.966,1.15153329968601e-07,"Ptma-201",1.15153329968601e-07,"Down"
4.3950680964124e-12,3.45232923728198,0.5,0.111,3.37778563481679e-07,"Ptp4a3-203",3.37778563481679e-07,"Up"
4.3950680964124e-12,3.45232923371173,0.5,0.111,3.37778563481679e-07,"Ptp4a3-207",3.37778563481679e-07,"Up"
4.63519659658848e-12,3.07440938859418,0.34,0.038,3.56233399234211e-07,"Aldoa-203",3.56233399234211e-07,"Up"
