"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
5.90517153125961e-19,-2.13850365301306,0.82,1,4.53836052863426e-14,"Eef1a1-201",4.53836052863426e-14,"Down"
2.83967901638231e-13,3.14839109694363,0.74,0.169,2.18240691125046e-08,"Tpbpa-201",2.18240691125046e-08,"Up"
3.12457404203183e-13,-1.66476034594552,0.88,0.992,2.40136013426314e-08,"Actb-201",2.40136013426314e-08,"Down"
5.08927446343083e-13,-2.15193916068423,0.56,0.924,3.91131099612513e-08,"Rack1-201",3.91131099612513e-08,"Down"
1.69442829606866e-12,-2.00556027875175,0.44,0.924,1.30223592266061e-07,"Eef2-201",1.30223592266061e-07,"Down"
2.70374714161645e-12,-1.56953075885949,0.74,0.992,2.0779378282179e-07,"Actg1-202",2.0779378282179e-07,"Down"
5.44265465951315e-12,3.90495380452667,0.48,0.042,4.18289781202224e-07,"Psg21-201",4.18289781202224e-07,"Up"
1.1215008972422e-10,-3.91817098799589,0.18,0.703,8.61918299566521e-06,"Npm1-201",8.61918299566521e-06,"Down"
7.50571328074022e-10,-1.78588207497021,0.68,0.958,5.76844088478009e-05,"Actg1-204",5.76844088478009e-05,"Down"
2.19434664360225e-09,3.28858532033528,0.38,0.034,0.000168644316947408,"Psg21-202",0.000168644316947408,"Up"
2.26330900833789e-09,3.71612872336425,0.34,0.017,0.0001739443505268,"Psg23-201",0.0001739443505268,"Up"
3.97365412010274e-09,-1.75427654754363,0.7,0.924,0.000305391213746376,"Gapdh-202",0.000305391213746376,"Down"
3.97365412010274e-09,-1.75427654754363,0.7,0.924,0.000305391213746376,"Gapdh-201",0.000305391213746376,"Down"
5.82302853726036e-09,-2.44842710037318,0.36,0.763,0.000447523035202608,"Ppia-201",0.000447523035202608,"Down"
5.82302853726036e-09,-2.44842710037318,0.36,0.763,0.000447523035202608,"Ppia-205",0.000447523035202608,"Down"
5.82302853726036e-09,-2.44842710037318,0.36,0.763,0.000447523035202608,"Ppia-206",0.000447523035202608,"Down"
6.50895644625911e-09,4.80957684636837,0.5,0.119,0.000500239338720798,"Fech-208",0.000500239338720798,"Up"
1.57319288447944e-08,-1.44230841558717,0.52,0.941,0.00120906165943783,"Ybx1-201",0.00120906165943783,"Down"
2.73095462641762e-08,-2.32292516231903,0.36,0.788,0.00209884786858699,"Tmsb4x-203",0.00209884786858699,"Down"
3.31275738853548e-08,-1.20153107426402,0.7,0.958,0.00254598656338506,"Ptma-201",0.00254598656338506,"Down"
3.46606710678422e-08,-1.56911256553037,0.72,0.941,0.00266381121424794,"Gapdh-203",0.00266381121424794,"Down"
5.53975415868615e-08,2.73019237719947,0.56,0.161,0.00425752266111665,"Alas2-201",0.00425752266111665,"Up"
7.06316129728191e-08,-2.56391345712389,0.48,0.856,0.00542832198341304,"Ctla2a-201",0.00542832198341304,"Down"
9.70131980491254e-08,-1.32938521167917,0.46,0.873,0.00745585232286748,"Lgals3-203",0.00745585232286748,"Down"
