"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.6552701662099e-29,4.41471578513901,0.703,0.097,1.27214133353896e-24,"Ftl1-206",1.27214133353896e-24,"Up"
5.13893884029939e-24,2.25794685431537,0.932,0.728,3.94948005632369e-19,"Tmsb4x-201",3.94948005632369e-19,"Up"
2.55280255314971e-21,2.01033779075661,0.924,0.508,1.96193087419768e-16,"Gapdh-202",1.96193087419768e-16,"Up"
2.55280255314971e-21,2.01033779075661,0.924,0.508,1.96193087419768e-16,"Gapdh-201",1.96193087419768e-16,"Up"
1.72192409097289e-19,2.41093661501143,0.856,0.436,1.32336754087631e-14,"Ftl1-203",1.32336754087631e-14,"Up"
1.69016764472592e-18,1.67561735317851,0.89,0.677,1.29896144167766e-13,"Ftl1-ps1-202",1.29896144167766e-13,"Up"
1.84355028106104e-18,3.16283597627725,0.856,0.497,1.41684213300665e-13,"Ctla2a-201",1.41684213300665e-13,"Up"
4.02606183453196e-18,2.60672649896957,0.763,0.338,3.09418956231119e-13,"Ftl1-202",3.09418956231119e-13,"Up"
1.1094806849671e-15,-1.1273759671785,0.949,1,8.52680285624615e-11,"Gzmc-201",8.52680285624615e-11,"Down"
4.78762181733882e-14,5.28513956000659,0.373,0.051,3.67947887149758e-09,"Afp-201",3.67947887149758e-09,"Up"
5.51276284125065e-14,1.20984968672821,0.941,0.59,4.23677875401477e-09,"Gapdh-203",4.23677875401477e-09,"Up"
2.96846273111491e-13,-1.75320830124985,0.407,0.79,2.28138234737105e-08,"Itm2b-201",2.28138234737105e-08,"Down"
4.54191278477935e-13,1.65368095877098,0.763,0.431,3.49064165161432e-08,"Ppia-201",3.49064165161432e-08,"Up"
4.54191278477935e-13,1.65368095877098,0.763,0.431,3.49064165161432e-08,"Ppia-206",3.49064165161432e-08,"Up"
1.44957632560957e-12,2.97837242666584,0.449,0.113,1.11405738928398e-07,"Plac8-201",1.11405738928398e-07,"Up"
2.66420974397946e-12,2.56714281303603,0.712,0.421,2.04755175663798e-07,"Ctla2a-209",2.04755175663798e-07,"Up"
2.97551723788395e-12,1.37376572611496,0.763,0.436,2.28680401800333e-07,"Ppia-205",2.28680401800333e-07,"Up"
1.61067385982972e-11,1.23328098111048,0.966,0.928,1.23786728823353e-06,"Tpt1-201",1.23786728823353e-06,"Up"
2.39289008949165e-11,1.27392038542871,0.958,0.903,1.83903174937791e-06,"Actg1-204",1.83903174937791e-06,"Up"
3.25421056240908e-11,2.48718641081536,0.695,0.421,2.50099098563387e-06,"Ctla2a-202",2.50099098563387e-06,"Up"
3.25421056240908e-11,2.48718641081536,0.695,0.421,2.50099098563387e-06,"Ctla2a-204",2.50099098563387e-06,"Up"
4.38560372468327e-11,3.08258873335248,0.39,0.092,3.37051188656808e-06,"Plac8-202",3.37051188656808e-06,"Up"
4.38560372468327e-11,3.08258872584166,0.39,0.092,3.37051188656808e-06,"Plac8-203",3.37051188656808e-06,"Up"
8.97587159040932e-11,-1.90144027441872,0.407,0.749,6.89831635209318e-06,"Tnfrsf9-201",6.89831635209318e-06,"Down"
1.05241501206178e-10,2.34687490475259,0.788,0.574,8.0882303336996e-06,"Tmsb4x-203",8.0882303336996e-06,"Up"
1.58456918472272e-10,-2.40775592552005,0.161,0.528,1.2178048012268e-05,"Alas2-201",1.2178048012268e-05,"Down"
8.85770629842319e-10,2.52764549457314,0.669,0.421,6.80750159859016e-05,"Ctla2a-203",6.80750159859016e-05,"Up"
9.1287733763247e-10,-1.79308862314714,0.297,0.626,7.01582749064058e-05,"Tnfrsf9-204",7.01582749064058e-05,"Down"
4.62835470542163e-09,3.24231282535738,0.347,0.087,0.000355707572530474,"Sub1-201",0.000355707572530474,"Up"
6.17508814305404e-09,-2.66734091500939,0.127,0.415,0.000474580224146275,"Ankrd11-203",0.000474580224146275,"Down"
6.17508814305404e-09,-2.66734091500939,0.127,0.415,0.000474580224146275,"Ankrd11-202",0.000474580224146275,"Down"
7.31818695642424e-09,-1.0491226823573,0.551,0.81,0.000562431940349029,"Pdia3-201",0.000562431940349029,"Down"
9.73938464051657e-09,1.29684879970485,0.771,0.641,0.000748510667162261,"Naca-202",0.000748510667162261,"Up"
1.0689379986184e-08,-2.69752409725147,0.119,0.4,0.000821521609458185,"Ankrd11-201",0.000821521609458185,"Down"
1.89814044581904e-08,2.03524132888087,0.551,0.297,0.00145879685822976,"Serpinb6a-203",0.00145879685822976,"Up"
3.27117063792098e-08,1.90307186699266,0.559,0.308,0.00251402548206779,"Serpinb6a-206",0.00251402548206779,"Up"
3.43587809956799e-08,-2.33253013221331,0.161,0.456,0.00264060975464198,"Ero1a-201",0.00264060975464198,"Down"
4.34339324001987e-08,1.83452860594386,0.551,0.303,0.00333807144068487,"Serpinb6a-201",0.00333807144068487,"Up"
6.52822558730807e-08,1.54933970930782,0.551,0.308,0.00501720249286974,"Tmsb10-203",0.00501720249286974,"Up"
7.31131141386008e-08,-1.40386488256828,0.441,0.744,0.00561903527400803,"Prf1-201",0.00561903527400803,"Down"
8.93287505616322e-08,-1.38432217092776,0.356,0.646,0.00686527179566368,"Sqstm1-201",0.00686527179566368,"Down"
1.10420589630435e-07,1.98488498175979,0.585,0.369,0.00848626399545747,"Myl6-212",0.00848626399545747,"Up"
1.14363369430251e-07,-1.48948750634313,0.169,0.462,0.00878928239419253,"Dnajc1-209",0.00878928239419253,"Down"
1.2955827060939e-07,1.60370619318245,0.712,0.559,0.00995707132941404,"S100a11-201",0.00995707132941404,"Up"
