"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.88903828588032e-38,6.67160217952657,0.86,0.095,8.59101807594889e-34,"Zfp791",8.59101807594889e-34,"Up"
1.04822182910879e-36,5.9421078347915,0.74,0.046,1.84193539810997e-32,"Il31ra",1.84193539810997e-32,"Up"
9.55708048863092e-31,4.43289424342683,0.96,0.263,1.67937018346223e-26,"D130009I18Rik",1.67937018346223e-26,"Up"
8.70012347584344e-29,4.43721978735414,0.84,0.164,1.52878569717521e-24,"Tmtc2",1.52878569717521e-24,"Up"
1.72490010123582e-28,5.89206715229191,0.48,0.008,3.03099445789159e-24,"Sspn",3.03099445789159e-24,"Up"
2.5692792056582e-26,6.19692173382033,0.48,0.015,4.51473742018258e-22,"Mphosph8",4.51473742018258e-22,"Up"
9.94484882984483e-26,5.84899843040002,0.42,0.004,1.74750883638033e-21,"Gnb1l",1.74750883638033e-21,"Up"
1.00691976882592e-24,3.21646056307573,0.98,0.637,1.7693594177809e-20,"Itga9",1.7693594177809e-20,"Up"
1.06991130664804e-24,4.48937262763086,0.92,0.363,1.88004814804193e-20,"Jarid2",1.88004814804193e-20,"Up"
3.9651923011885e-18,3.59468124166734,0.58,0.095,6.96763591164842e-14,"Arhgap21",6.96763591164842e-14,"Up"
4.12571721525253e-18,3.12980753796179,0.78,0.237,7.24971029064175e-14,"Dnah7b",7.24971029064175e-14,"Up"
4.45439194921136e-16,-2.63444416208218,0.34,0.908,7.82725753315421e-12,"H19",7.82725753315421e-12,"Down"
4.9388303801513e-16,3.75634914243435,0.58,0.137,8.67851274400186e-12,"Tlcd4",8.67851274400186e-12,"Up"
5.27619983694286e-16,2.80460431104157,0.4,0.034,9.27133835347599e-12,"Afp",9.27133835347599e-12,"Up"
2.29708372051585e-15,4.00427665587793,0.52,0.095,4.03643551369046e-11,"Fcrl6",4.03643551369046e-11,"Up"
2.85289959397095e-15,1.63461647308099,1,0.844,5.01311516652575e-11,"Peak1",5.01311516652575e-11,"Up"
1.4669811971481e-12,3.46485493906696,0.46,0.088,2.57777935962863e-08,"Cd55",2.57777935962863e-08,"Up"
6.4592561657402e-12,-3.83925187873316,0.1,0.641,1.13502049344387e-07,"Hnrnpab",1.13502049344387e-07,"Down"
1.09075724907991e-11,-1.27768981059208,0.88,0.969,1.91667863808322e-07,"Tpt1",1.91667863808322e-07,"Down"
8.82027319444767e-11,-2.33339592300451,0.3,0.737,1.54989840572835e-06,"Sqstm1",1.54989840572835e-06,"Down"
1.67630265058729e-10,3.32245261590419,0.4,0.08,2.94559901761199e-06,"Rac2",2.94559901761199e-06,"Up"
1.79833544977258e-10,2.24984204809611,0.58,0.179,3.16003505234037e-06,"Epas1",3.16003505234037e-06,"Up"
2.03535635552559e-10,-4.254289378012,0.2,0.641,3.57652818792957e-06,"Peg10",3.57652818792957e-06,"Down"
2.20245878411319e-10,-3.12139510751465,0.3,0.702,3.8701605754437e-06,"Prdx2",3.8701605754437e-06,"Down"
3.22540385782839e-10,2.48910248531364,0.42,0.088,5.66767965897605e-06,"Atf2",5.66767965897605e-06,"Up"
1.42810830031646e-09,1.1300517736743,1,0.882,2.50947190531608e-05,"Zc3h7a",2.50947190531608e-05,"Up"
1.93748685654795e-09,-1.66378261283021,0.58,0.844,3.40455190432607e-05,"Ptma",3.40455190432607e-05,"Down"
4.00723336058758e-09,2.75729859626321,0.42,0.107,7.04151046122449e-05,"Laptm5",7.04151046122449e-05,"Up"
4.57843850855054e-09,-3.56462949862415,0.08,0.538,8.045232147225e-05,"Junb",8.045232147225e-05,"Down"
6.6084583246181e-09,-2.24270140373679,0.18,0.637,0.000116123829680189,"Cfap77",0.000116123829680189,"Down"
7.29568318075666e-09,3.21603055676803,0.54,0.218,0.000128199744852256,"Tmsb4x",0.000128199744852256,"Up"
8.71946773791206e-09,-3.7448595084582,0.06,0.504,0.000153218487090591,"Clic4",0.000153218487090591,"Down"
9.95744547611575e-09,2.78384575087477,0.42,0.111,0.000174972231906306,"Mbnl1",0.000174972231906306,"Up"
1.10032035630693e-08,-2.08292095970002,0.26,0.676,0.000193348293010253,"Ftl1-ps1",0.000193348293010253,"Down"
1.36748292614883e-08,-4.31779232031816,0.06,0.492,0.000240294099782873,"Hsd3b6",0.000240294099782873,"Down"
1.93095952448545e-08,-2.72417535428646,0.24,0.622,0.000339308207642583,"Set",0.000339308207642583,"Down"
1.97914228030821e-08,-2.88345168264369,0.1,0.531,0.000347774881495759,"Cox6c",0.000347774881495759,"Down"
2.0012523697929e-08,-2.32362139912035,0.22,0.618,0.000351660066420007,"Ywhaz",0.000351660066420007,"Down"
2.64836438850399e-08,-3.1086840557651,0.08,0.508,0.000465370590347921,"Otx2os1",0.000465370590347921,"Down"
5.0520135653996e-08,-3.26578501684983,0.06,0.485,0.000887739823712019,"Grik3",0.000887739823712019,"Down"
5.37649399506089e-08,3.79722478067597,0.56,0.252,0.0009447575248121,"Prf1",0.0009447575248121,"Up"
5.45964490654554e-08,-3.24850702541799,0.08,0.492,0.000959368802978183,"Srrm2",0.000959368802978183,"Down"
8.11310653830412e-08,2.91681381462759,0.4,0.115,0.0014256350809108,"Ptp4a3",0.0014256350809108,"Up"
8.63197853410616e-08,-1.61043318823727,0.4,0.74,0.00151681126801313,"Ppia",0.00151681126801313,"Down"
1.10778463947911e-07,-2.45917203106,0.3,0.641,0.0019465991684927,"Cntnap5b",0.0019465991684927,"Down"
1.12885261850347e-07,-3.3786175130142,0.06,0.462,0.0019836198212343,"Ubxn1",0.0019836198212343,"Down"
1.19989164409021e-07,2.22450756549223,0.4,0.111,0.00210844959699532,"Aldoa",0.00210844959699532,"Up"
1.28107799573523e-07,-3.97675540248309,0.02,0.416,0.00225111025410594,"Ppp1r15a",0.00225111025410594,"Down"
1.48309318274762e-07,-1.73929119559281,0.76,0.821,0.00260609134072412,"Fth1",0.00260609134072412,"Down"
2.73903746661055e-07,-3.52690983267499,0.06,0.45,0.00481303663632806,"Krt8",0.00481303663632806,"Down"
3.8759770311789e-07,2.52283334262619,0.36,0.095,0.00681086683918756,"Sat1",0.00681086683918756,"Up"
4.82140026917863e-07,-5.43698167552819,0,0.366,0.00847216455300069,"Rhox6",0.00847216455300069,"Down"
