"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
4.17616946699904e-19,-1.97256729029688,0.7,1,7.33836498741071e-15,"Eef1a1",7.33836498741071e-15,"Down"
6.19084238539602e-16,-2.14114683873581,0.54,0.941,1.08785482396179e-11,"Rack1",1.08785482396179e-11,"Down"
3.00416507174921e-15,-1.75660143150707,0.82,0.992,5.27891886407772e-11,"Actb",5.27891886407772e-11,"Down"
6.81169278864989e-14,-1.7083796936131,0.64,0.992,1.19695065682156e-09,"Actg1",1.19695065682156e-09,"Down"
7.00014706555975e-12,-1.95999300452738,0.38,0.89,1.23006584236016e-07,"Eef2",1.23006584236016e-07,"Down"
1.15114158477896e-11,-1.79363461810526,0.4,0.89,2.02278599277359e-07,"Ppia",2.02278599277359e-07,"Down"
1.1957161826644e-11,-1.96961228966983,0.42,0.864,2.10111247617789e-07,"Btrc",2.10111247617789e-07,"Down"
1.23666326432201e-10,-1.44150060015735,0.6,0.932,2.17306468806664e-06,"6030443J06Rik",2.17306468806664e-06,"Down"
2.53519632749164e-10,-1.82010682946645,0.4,0.822,4.4548469866683e-06,"Uso1",4.4548469866683e-06,"Down"
1.17618174713167e-09,-1.53882071907644,0.5,0.941,2.06678656605977e-05,"Ybx1",2.06678656605977e-05,"Down"
3.12379951364482e-09,-3.53380264430981,0.04,0.534,5.48914050537668e-05,"Pkhd1",5.48914050537668e-05,"Down"
5.97848947947306e-09,3.69821847822441,0.4,0.051,0.000105054017133301,"Epb41",0.000105054017133301,"Up"
1.36231949227412e-08,-2.6681037360214,0.1,0.576,0.000239386781182408,"Vmp1",0.000239386781182408,"Down"
1.82959561379093e-08,4.1318716556706,0.38,0.051,0.000321496541255342,"Fech",0.000321496541255342,"Up"
2.67251030360429e-08,-1.51218559257297,0.46,0.847,0.000469613510549345,"Naca",0.000469613510549345,"Down"
5.52128316166186e-08,-1.13363100575394,0.58,0.924,0.000970199877167222,"Ptma",0.000970199877167222,"Down"
6.71485250691223e-08,-2.50268012681403,0.12,0.576,0.00117993388251462,"Taf1c",0.00117993388251462,"Down"
1.31396654450233e-07,-2.23251885933847,0.2,0.619,0.00230890201199949,"Slc1a1",0.00230890201199949,"Down"
1.508471501743e-07,-2.50844707003292,0.12,0.551,0.0026506861228628,"Cotl1",0.0026506861228628,"Down"
1.58955339236681e-07,-1.06714920253234,0.66,0.949,0.00279316322106696,"Gapdh",0.00279316322106696,"Down"
2.66118800556572e-07,-1.90626347321617,0.22,0.644,0.00467623956338008,"Wnk3",0.00467623956338008,"Down"
3.27043654449058e-07,-2.24663996758313,0.18,0.593,0.00574681109597884,"Npm1",0.00574681109597884,"Down"
3.57428818604055e-07,-1.94443496446865,0.18,0.619,0.00628073920051045,"Eef1b2",0.00628073920051045,"Down"
3.82297837447975e-07,-1.16536232354899,0.54,0.924,0.00671773759963581,"Tmsb4x",0.00671773759963581,"Down"
4.87584338184974e-07,-1.65103022266246,0.24,0.678,0.00856783199058637,"Dis3l2",0.00856783199058637,"Down"
