"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance"
1.86514750767872e-59,8.32046275059656,0.966,0.041,3.27743720049305e-55,"Zfp791",3.27743720049305e-55,"Up"
6.85237363459948e-49,4.88777483577653,0.949,0.19,1.20409909507182e-44,"D130009I18Rik",1.20409909507182e-44,"Up"
4.90898327204635e-48,5.32713719183777,0.975,0.441,8.62606540563985e-44,"Itga9",8.62606540563985e-44,"Up"
1.16094009530498e-46,3.10203671942194,1,0.908,2.04000393546991e-42,"Peak1",2.04000393546991e-42,"Up"
1.22859297628956e-46,4.99466914424248,0.958,0.308,2.15888357793602e-42,"Jarid2",2.15888357793602e-42,"Up"
1.80514050975436e-44,4.99245958922823,0.89,0.144,3.17199290374037e-40,"Tmtc2",3.17199290374037e-40,"Up"
8.02822603241138e-44,2.54110626887361,1,0.969,1.41071987841533e-39,"Zc3h7a",1.41071987841533e-39,"Up"
7.55316483922033e-40,4.02062015074219,0.839,0.118,1.3272421255478e-35,"Il31ra",1.3272421255478e-35,"Up"
5.72321887038917e-38,5.83738739713713,0.695,0.021,1.00568401990479e-33,"Gnb1l",1.00568401990479e-33,"Up"
1.19704779484995e-33,2.25889646464429,0.932,0.492,2.10345238511034e-29,"6030443J06Rik",2.10345238511034e-29,"Up"
1.24096385408564e-24,4.88311662699225,0.517,0.031,2.18062168439929e-20,"Mphosph8",2.18062168439929e-20,"Up"
1.44253535969914e-22,2.04661535927513,0.822,0.467,2.53482313406333e-18,"Uso1",2.53482313406333e-18,"Up"
3.37802089267255e-22,5.74705507741622,0.424,0.005,5.93585831260421e-18,"Pcdh15",5.93585831260421e-18,"Up"
1.56816999222595e-21,2.89461226583008,0.686,0.195,2.75558831033944e-17,"Dnah7b",2.75558831033944e-17,"Up"
2.31074994677288e-21,1.8667062692602,0.924,0.708,4.0604498064693e-17,"Tmsb4x",4.0604498064693e-17,"Up"
8.69496577940088e-20,2.80268977638904,0.602,0.133,1.52787938675632e-15,"Tlcd4",1.52787938675632e-15,"Up"
1.95852566812404e-19,2.65542460195066,0.619,0.154,3.44152130402756e-15,"Slc1a1",3.44152130402756e-15,"Up"
3.87426497023709e-19,1.81647974030726,0.847,0.426,6.80785840570061e-15,"Camk1d",6.80785840570061e-15,"Up"
8.60124812840928e-18,1.47011443730217,0.864,0.579,1.51141132112408e-13,"Btrc",1.51141132112408e-13,"Up"
1.62203213917557e-17,5.0704621012295,0.356,0.01,2.85023487495931e-13,"Sspn",2.85023487495931e-13,"Up"
2.07708606923889e-16,3.0920583300363,0.517,0.113,3.64985564086658e-12,"Arhgap21",3.64985564086658e-12,"Up"
3.05278454249956e-16,-2.32516128506279,0.22,0.677,5.36435299808023e-12,"Cfap77",5.36435299808023e-12,"Down"
5.22553841947497e-16,2.37869140953858,0.576,0.159,9.18231611070142e-12,"Taf1c",9.18231611070142e-12,"Up"
7.03574236018686e-16,2.43838307923113,0.534,0.123,1.23632064753204e-11,"Pkhd1",1.23632064753204e-11,"Up"
1.18414091815781e-15,-1.06151454121974,0.754,0.964,2.08077242138691e-11,"Prf1",2.08077242138691e-11,"Down"
2.94058575256309e-15,1.95546747121694,0.644,0.221,5.16719728440386e-11,"Wnk3",5.16719728440386e-11,"Up"
5.18328545353433e-14,2.19531708962993,0.551,0.169,9.10806919895052e-10,"Clhc1",9.10806919895052e-10,"Up"
5.38981477999004e-14,-1.40060120905217,0.458,0.846,9.4709825313985e-10,"Tnfrsf9",9.4709825313985e-10,"Down"
6.11915207392272e-14,-1.63107442557547,0.347,0.754,1.0752574024297e-09,"Itm2b",1.0752574024297e-09,"Down"
6.78434473228471e-14,3.12323664087804,0.381,0.051,1.19214505635707e-09,"Sprr2a2",1.19214505635707e-09,"Up"
6.92076964759542e-12,1.69297840466043,0.576,0.205,1.21611764247547e-07,"Vmp1",1.21611764247547e-07,"Up"
7.28595613258418e-12,-1.08158820005053,0.585,0.872,1.28028821161769e-07,"Cd55",1.28028821161769e-07,"Down"
