Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SUPERFAMILY	SSF49265	Fibronectin type III	111	223	2.17E-26	T	03-04-2026	IPR036116	Fibronectin type III superfamily	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	429	449	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	1	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	PANTHER	PTHR20859	INTERFERON/INTERLEUKIN RECEPTOR	16	224	3.6E-84	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	22	428	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	CDD	cd00063	FN3	31	121	5.13534E-4	T	03-04-2026	IPR003961	Fibronectin type III	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	14	21	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	2	13	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SUPERFAMILY	SSF49265	Fibronectin type III	30	135	3.73E-22	T	03-04-2026	IPR036116	Fibronectin type III superfamily	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	PIRSF	PIRSF016567	IFNAR1	1	580	0.0	T	03-04-2026	IPR016669	Interferon alpha/beta receptor 1	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Pfam	PF01108	Tissue factor	12	114	4.8E-12	T	03-04-2026	IPR003961	Fibronectin type III	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	MobiDBLite	mobidb-lite	consensus disorder prediction	518	530	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	FunFam	G3DSA:2.60.40.10:FF:000842	Interferon receptor 1 isoform 4	332	428	3.9E-29	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	FunFam	G3DSA:2.60.40.10:FF:000842	Interferon receptor 1 isoform 4	127	229	8.6E-34	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	25	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	FunFam	G3DSA:2.60.40.10:FF:001548	Interferon receptor 1 isoform 4	27	126	7.9E-43	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	229	329	7.8E-24	T	03-04-2026	IPR013783	Immunoglobulin-like fold	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	128	228	8.3E-26	T	03-04-2026	IPR013783	Immunoglobulin-like fold	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Pfam	PF09294	Interferon-alpha/beta receptor, fibronectin type III	335	422	6.4E-8	T	03-04-2026	IPR015373	Interferon/interleukin receptor domain	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Pfam	PF09294	Interferon-alpha/beta receptor, fibronectin type III	127	224	2.6E-21	T	03-04-2026	IPR015373	Interferon/interleukin receptor domain	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	330	429	1.0E-26	T	03-04-2026	IPR013783	Immunoglobulin-like fold	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	427	449	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	21	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	MobiDBLite	mobidb-lite	consensus disorder prediction	514	545	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	450	590	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	ProSiteProfiles	PS50853	Fibronectin type-III domain profile.	332	425	10.130556	T	03-04-2026	IPR003961	Fibronectin type III	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SUPERFAMILY	SSF49265	Fibronectin type III	230	340	4.92E-16	T	03-04-2026	IPR036116	Fibronectin type III superfamily	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	26	124	8.0E-24	T	03-04-2026	IPR013783	Immunoglobulin-like fold	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	23	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SMART	SM00060	FN3_2	128	213	96.0	T	03-04-2026	IPR003961	Fibronectin type III	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SMART	SM00060	FN3_2	29	110	9.4	T	03-04-2026	IPR003961	Fibronectin type III	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SMART	SM00060	FN3_2	332	409	4.4	T	03-04-2026	IPR003961	Fibronectin type III	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SignalP_GRAM_NEGATIVE	SignalP-noTM	SignalP-noTM	1	24	-	T	03-04-2026	-	-	-	-
Ifnar1-201	52888bd610a8bf912e7b719247b499d5	590	SUPERFAMILY	SSF49265	Fibronectin type III	316	422	4.46E-19	T	03-04-2026	IPR036116	Fibronectin type III superfamily	-	-
Ifnar1-203	ab84e298381f92182d87170bac0a4192	283	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	21	-	T	03-04-2026	-	-	-	-
Ifnar1-203	ab84e298381f92182d87170bac0a4192	283	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	1	-	T	03-04-2026	-	-	-	-
Ifnar1-203	ab84e298381f92182d87170bac0a4192	283	Pfam	PF09294	Interferon-alpha/beta receptor, fibronectin type III	127	224	7.0E-22	T	03-04-2026	IPR015373	Interferon/interleukin receptor domain	-	-
Ifnar1-203	ab84e298381f92182d87170bac0a4192	283	SUPERFAMILY	SSF49265	Fibronectin type III	111	223	5.5E-27	T	03-04-2026	IPR036116	Fibronectin type III superfamily	-	-
Ifnar1-203	ab84e298381f92182d87170bac0a4192	283	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	128	229	2.2E-26	T	03-04-2026	IPR013783	Immunoglobulin-like fold	-	-
